00000001d5486d78 (__DATA,__data) non-external _C
00000001d5487fa0 (__DATA,__bss) non-external _CF6464
000000018034ac98 (__TEXT,__const) non-external _CIFP
00000001d5488ca4 (__DATA,__bss) non-external _EMSG
00000001d5488ca5 (__DATA,__bss) non-external _EMSG
000000018034ac68 (__TEXT,__const) non-external _ExpandTr
00000001d5487f90 (__DATA,__bss) non-external _IE3264
000000018034ac28 (__TEXT,__const) non-external _IP
00000001d5487f00 (__DATA,__bss) non-external _KS
00000001d65f1920 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001d65f1918 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
0000000180312cc8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001803390a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180312cf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180312d10 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180312d2c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000180312d48 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180312d64 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180312d7c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180312d94 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018034acd8 (__TEXT,__const) non-external _P32Tr
000000018034abf0 (__TEXT,__const) non-external _PC1
00000001d5487ef8 (__DATA,__bss) non-external _PC1ROT
000000018034abb0 (__TEXT,__const) non-external _PC2
00000001d5487f80 (__DATA,__bss) non-external _PC2ROT
000000018034aba0 (__TEXT,__const) non-external _Rotates
000000018034acf8 (__TEXT,__const) non-external _S
00000001d5487f98 (__DATA,__bss) non-external _SPE
0000000180324c5c (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180324ca0 (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180324dc4 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180324d70 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001d5486e90 (__DATA,__data) non-external __C_lconv
00000001d3301c10 (__DATA_CONST,__const) non-external __C_messages_locale
00000001d3301c30 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001d3301cd8 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001d3301f28 (__DATA_CONST,__const) non-external __C_time_locale
00000001d5486fe0 (__DATA,__data) external __CurrentRuneLocale
00000001d5487230 (__DATA,__constrw) external __DefaultRuneLocale
00000001d6a8d3d0 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180326420 (__TEXT,__text) non-external __EUC_free_extra
0000000180325ee0 (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180326090 (__TEXT,__text) non-external __EUC_mbrtowc
0000000180326404 (__TEXT,__text) non-external __EUC_mbsinit
000000018032622c (__TEXT,__text) non-external __EUC_wcrtomb
0000000180339780 (__TEXT,__text) external __Exit
0000000180326448 (__TEXT,__text) non-external (was a private external) __GB18030_init
000000018032648c (__TEXT,__text) non-external __GB18030_mbrtowc
000000018032670c (__TEXT,__text) non-external __GB18030_mbsinit
0000000180326600 (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180326728 (__TEXT,__text) non-external (was a private external) __GB2312_init
000000018032676c (__TEXT,__text) non-external __GB2312_mbrtowc
00000001803268e4 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180326890 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180326900 (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180326944 (__TEXT,__text) non-external __GBK_mbrtowc
0000000180326a68 (__TEXT,__text) non-external __GBK_mbsinit
0000000180326a14 (__TEXT,__text) non-external __GBK_wcrtomb
0000000180326ee0 (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180326f24 (__TEXT,__text) non-external __MSKanji_mbrtowc
000000018032706c (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180327004 (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001802d8560 (__TEXT,__text) external __NSGetArgc
00000001802d8554 (__TEXT,__text) external __NSGetArgv
00000001802d3410 (__TEXT,__text) external __NSGetEnviron
00000001802d34d4 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001802d7880 (__TEXT,__text) external __NSGetProgname
00000001d5488d90 (__DATA,__common) external __PathLocale
