                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff8119199ae (__TEXT,__text) external _pcre_assign_jit_stack
00007ff84292d7f0 (__DATA,__common) external _pcre_callout
00007ff8118f3cab (__TEXT,__text) external _pcre_compile
00007ff8118f3cc0 (__TEXT,__text) external _pcre_compile2
00007ff8118fe9fc (__TEXT,__text) external _pcre_config
00007ff8119196f8 (__TEXT,__text) external _pcre_copy_named_substring
00007ff81191969f (__TEXT,__text) external _pcre_copy_substring
00007ff8118feaa0 (__TEXT,__text) external _pcre_dfa_exec
00007ff811905ff0 (__TEXT,__text) external _pcre_exec
00007ff84292d7d8 (__DATA,__data) external _pcre_free
00007ff81191b978 (__TEXT,__text) external _pcre_free_study
00007ff811919992 (__TEXT,__text) external _pcre_free_substring
00007ff8119198b0 (__TEXT,__text) external _pcre_free_substring_list
00007ff811919130 (__TEXT,__text) external _pcre_fullinfo
00007ff81191994b (__TEXT,__text) external _pcre_get_named_substring
00007ff8119193c4 (__TEXT,__text) external _pcre_get_stringnumber
00007ff8119194b2 (__TEXT,__text) external _pcre_get_stringtable_entries
00007ff8119198be (__TEXT,__text) external _pcre_get_substring
00007ff8119197cc (__TEXT,__text) external _pcre_get_substring_list
00007ff8119199b4 (__TEXT,__text) external _pcre_jit_free_unused_memory
00007ff8119199a0 (__TEXT,__text) external _pcre_jit_stack_alloc
00007ff8119199a8 (__TEXT,__text) external _pcre_jit_stack_free
00007ff8119199ba (__TEXT,__text) external _pcre_maketables
00007ff84292d7d0 (__DATA,__data) external _pcre_malloc
00007ff8118f3ac0 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00007ff81191a1e1 (__TEXT,__text) external _pcre_refcount
00007ff84292d7e8 (__DATA,__data) external _pcre_stack_free
00007ff84292d7f8 (__DATA,__common) external _pcre_stack_guard
00007ff84292d7e0 (__DATA,__data) external _pcre_stack_malloc
00007ff81191a230 (__TEXT,__text) external _pcre_study
00007ff81191bf5c (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
