0000000298ed0f10 (__DATA_DIRTY,__common) external _AfterColour
0000000298ed2b30 (__DATA_DIRTY,__common) external _ApplyExtTspWithoutProfile
0000000298ed4408 (__DATA_DIRTY,__common) external _AsmMacroMaxNestingDepth
0000000298ecb480 (__DATA_DIRTY,__common) external _BBSectionsDetectSourceDrift
                 (undefined) external _BZ2_bzBuffToBuffCompress (from libbz2)
                 (undefined) external _BZ2_bzBuffToBuffDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
0000000298ed0e28 (__DATA_DIRTY,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
0000000298ecc318 (__DATA_DIRTY,__common) external _CheapRematWeight
0000000298ed0ff8 (__DATA_DIRTY,__common) external _CommonColour
0000000298ecc0c0 (__DATA_DIRTY,__common) external _CopyWeight
0000000298ed0810 (__DATA_DIRTY,__common) external _DisableBitcodeVersionUpgrade
0000000298ed2a70 (__DATA_DIRTY,__common) external _EnableExtTspBlockPlacement
0000000298ecfdb8 (__DATA_DIRTY,__common) external _EnableLTOInternalization
0000000298ed4288 (__DATA_DIRTY,__common) external _EnableVPlanNativePath
0000000298ed41c8 (__DATA_DIRTY,__common) external _EnableVPlanPredication
0000000298ecbf40 (__DATA_DIRTY,__common) external _EvictInterferenceCutoff
0000000298ecc3e0 (__DATA_DIRTY,__common) external _ExpensiveRematWeight
0000000298ecaa90 (__DATA_DIRTY,__common) external _FSEC
0000000298ed20b0 (__DATA_DIRTY,__common) external _ForceFusion
0000000295ab3be8 (__DATA,__common) external _ForceSummaryEdgesCold
0000000298ed1f30 (__DATA_DIRTY,__common) external _FuseMatrix
0000000298ed1870 (__DATA_DIRTY,__common) external _GenerateMergedBaseProfiles
0000000298ec99a8 (__DATA_DIRTY,__common) external _InlinerFunctionImportStats
00000002419853c0 (__TEXT,__text) external _LLVMABIAlignmentOfType
0000000241985338 (__TEXT,__text) external _LLVMABISizeOfType
000000024106b978 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
000000024106b980 (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
0000000241ac02fc (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00000002417a2098 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00000002408b98f4 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
0000000240eb0e90 (__TEXT,__text) external _LLVMAddAlias
0000000240eb0eec (__TEXT,__text) external _LLVMAddAlias2
00000002417a21ac (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
000000024124b75c (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
0000000241987fe8 (__TEXT,__text) external _LLVMAddAnalysisPasses
000000024124b530 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
0000000240eb1674 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00000002417a303c (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00000002417a2150 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00000002417a2208 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
0000000240eb2708 (__TEXT,__text) external _LLVMAddCallSiteAttribute
000000024124b590 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
0000000240eb3f90 (__TEXT,__text) external _LLVMAddCase
0000000240eb3fc8 (__TEXT,__text) external _LLVMAddClause
000000024124b5ec (__TEXT,__text) external _LLVMAddConstantMergePass
0000000241b309d8 (__TEXT,__text) external _LLVMAddCoroCleanupPass
0000000241b3086c (__TEXT,__text) external _LLVMAddCoroEarlyPass
0000000241b30960 (__TEXT,__text) external _LLVMAddCoroElidePass
0000000241b308e4 (__TEXT,__text) external _LLVMAddCoroSplitPass
00000002417a2ddc (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00000002417a20f4 (__TEXT,__text) external _LLVMAddDCEPass
000000024124b648 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00000002417a2310 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00000002417a2d20 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
0000000240eb3f94 (__TEXT,__text) external _LLVMAddDestination
00000002417a2eb0 (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00000002417a2e38 (__TEXT,__text) external _LLVMAddEarlyCSEPass
0000000240eb1028 (__TEXT,__text) external _LLVMAddFunction
000000024124b6a4 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
000000024124b700 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00000002417a23c8 (__TEXT,__text) external _LLVMAddGVNPass
0000000240eb0970 (__TEXT,__text) external _LLVMAddGlobal
