0000000209668d7c (__TEXT,__text) external _AAAFSCGetMetadata
0000000209669148 (__TEXT,__text) external _AAAFSCSetMetadata
0000000209668180 (__TEXT,__text) external _AAAFSCStreamOpen
000000020966888c (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00000002096689c8 (__TEXT,__text) external _AAAFSCStreamOpenWithState
000000020960026c (__TEXT,__text) external _AAArchiveStreamCancel
0000000209600218 (__TEXT,__text) external _AAArchiveStreamClose
0000000209614014 (__TEXT,__text) external _AAArchiveStreamProcess
00000002096001c8 (__TEXT,__text) external _AAArchiveStreamReadBlob
00000002096001b0 (__TEXT,__text) external _AAArchiveStreamReadHeader
00000002096001fc (__TEXT,__text) external _AAArchiveStreamWriteBlob
00000002096001e4 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00000002096015b0 (__TEXT,__text) external _AAArchiveStreamWritePathList
0000000209604df8 (__TEXT,__text) external _AAAssetBuilderAddFilter
0000000209604d0c (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
0000000209604c58 (__TEXT,__text) external _AAAssetBuilderCreate
0000000209604d00 (__TEXT,__text) external _AAAssetBuilderDestroy
000000020965e788 (__TEXT,__text) external _AAAssetBuilderGenerate
0000000209604ed0 (__TEXT,__text) external _AAAssetBuilderGetParameter
0000000209604e00 (__TEXT,__text) external _AAAssetBuilderSetParameter
00000002096054fc (__TEXT,__text) external _AAAssetExtractorCreate
0000000209605a40 (__TEXT,__text) external _AAAssetExtractorDestroy
000000020960641c (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
0000000209606390 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
0000000209605f08 (__TEXT,__text) external _AAAssetExtractorWrite
000000020966fd84 (__TEXT,__text) external _AAAsyncByteStreamCancel
000000020966fd98 (__TEXT,__text) external _AAAsyncByteStreamClose
000000020966f798 (__TEXT,__text) external _AAAsyncByteStreamGetRange
000000020966fbe8 (__TEXT,__text) external _AAAsyncByteStreamProcess
000000020962fcf8 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
0000000209615054 (__TEXT,__text) external _AAByteRangeAdd
0000000209614f54 (__TEXT,__text) external _AAByteRangeClone
0000000209614e8c (__TEXT,__text) external _AAByteRangeCreate
0000000209614f10 (__TEXT,__text) external _AAByteRangeDestroy
0000000209615260 (__TEXT,__text) external _AAByteRangeFirst
00000002096153b8 (__TEXT,__text) external _AAByteRangeNext
00000002096151e8 (__TEXT,__text) external _AAByteRangeOffsetAtSize
0000000209615164 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00000002096150e0 (__TEXT,__text) external _AAByteRangeSub
0000000209666fe4 (__TEXT,__text) external _AAByteStreamCancel
0000000209666ff8 (__TEXT,__text) external _AAByteStreamClose
