                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001930ddd18 (__TEXT,__text) external _pcre_assign_jit_stack
00000001d8fac1b8 (__DATA,__common) external _pcre_callout
00000001930bd820 (__TEXT,__text) external _pcre_compile
00000001930bd834 (__TEXT,__text) external _pcre_compile2
00000001930c73f4 (__TEXT,__text) external _pcre_config
00000001930dd980 (__TEXT,__text) external _pcre_copy_named_substring
00000001930dd910 (__TEXT,__text) external _pcre_copy_substring
00000001930c74c4 (__TEXT,__text) external _pcre_dfa_exec
00000001930ce004 (__TEXT,__text) external _pcre_exec
00000001dba004a0 (__AUTH,__data) external _pcre_free
00000001930dfb40 (__TEXT,__text) external _pcre_free_study
00000001930ddcfc (__TEXT,__text) external _pcre_free_substring
00000001930ddbd0 (__TEXT,__text) external _pcre_free_substring_list
00000001930dd380 (__TEXT,__text) external _pcre_fullinfo
00000001930ddc80 (__TEXT,__text) external _pcre_get_named_substring
00000001930dd640 (__TEXT,__text) external _pcre_get_stringnumber
00000001930dd754 (__TEXT,__text) external _pcre_get_stringtable_entries
00000001930ddbe0 (__TEXT,__text) external _pcre_get_substring
00000001930ddac4 (__TEXT,__text) external _pcre_get_substring_list
00000001930ddd1c (__TEXT,__text) external _pcre_jit_free_unused_memory
00000001930ddd0c (__TEXT,__text) external _pcre_jit_stack_alloc
00000001930ddd14 (__TEXT,__text) external _pcre_jit_stack_free
00000001930ddd20 (__TEXT,__text) external _pcre_maketables
00000001dba00498 (__AUTH,__data) external _pcre_malloc
00000001930bd584 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00000001930de57c (__TEXT,__text) external _pcre_refcount
00000001dba004b0 (__AUTH,__data) external _pcre_stack_free
00000001d8fac1c0 (__DATA,__common) external _pcre_stack_guard
00000001dba004a8 (__AUTH,__data) external _pcre_stack_malloc
00000001930de5e0 (__TEXT,__text) external _pcre_study
00000001930e0188 (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
