00000001ead85ae0 (__DATA,__data) external _NDR_record
00000001804a8914 (__TEXT,__text) non-external __Xexception_raise
00000001804a87fc (__TEXT,__text) non-external __Xexception_raise_state
00000001804a869c (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180496ab8 (__TEXT,__text) external _____sigwait_nocancel
00000001804bddb8 (__TEXT,__const) external ____kernelVersionNumber
00000001804bdd80 (__TEXT,__const) external ____kernelVersionString
0000000180496ae4 (__TEXT,__text) external ___abort_with_payload
000000018049268c (__TEXT,__text) external ___accept
0000000180496b10 (__TEXT,__text) external ___accept_nocancel
0000000180496b3c (__TEXT,__text) external ___access_extended
0000000180496b68 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180491af0 (__TEXT,__text) external ___bind
000000018048dabc (__TEXT,__text) external ___bsdthread_create
000000018048ba84 (__TEXT,__text) external ___bsdthread_ctl
000000018048fc90 (__TEXT,__text) external ___bsdthread_register
000000018048cb60 (__TEXT,__text) external ___bsdthread_terminate
0000000180496300 (__TEXT,__text) external ___carbon_delete
0000000180496b94 (__TEXT,__text) external ___channel_get_info
0000000180496bc0 (__TEXT,__text) external ___channel_get_opt
0000000180496bec (__TEXT,__text) external ___channel_open
0000000180496c18 (__TEXT,__text) external ___channel_set_opt
0000000180496c44 (__TEXT,__text) external ___channel_sync
000000018048da04 (__TEXT,__text) external ___chmod
000000018048f728 (__TEXT,__text) external ___chmod_extended
000000018048b568 (__TEXT,__text) external ___close_nocancel
0000000180496c70 (__TEXT,__text) external ___coalition
0000000180496c9c (__TEXT,__text) external ___coalition_info
0000000180496cc8 (__TEXT,__text) external ___coalition_ledger
000000018048bbdc (__TEXT,__text) external ___commpage_gettimeofday
000000018048bbe4 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
000000018048e344 (__TEXT,__text) external ___connect
000000018048e1ac (__TEXT,__text) external ___connect_nocancel
0000000180496cf4 (__TEXT,__text) external ___copyfile
0000000180496d20 (__TEXT,__text) external ___crossarch_trap
000000018048a6d8 (__TEXT,__text) external ___csrctl
00000001804a0890 (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180496d4c (__TEXT,__text) external ___debug_syscall_reject
0000000180496d78 (__TEXT,__text) external ___debug_syscall_reject_config
000000018049632c (__TEXT,__text) external ___delete
000000018048cb34 (__TEXT,__text) external ___disable_threadsignal
000000018048a608 (__TEXT,__text) external ___error
0000000180496da4 (__TEXT,__text) external ___execve
0000000180491530 (__TEXT,__text) external ___exit
000000018048e600 (__TEXT,__text) external ___fchmod
000000018048f838 (__TEXT,__text) external ___fchmod_extended
000000018048a8a8 (__TEXT,__text) external ___fcntl
000000018048e154 (__TEXT,__text) external ___fcntl_nocancel
00000001804918ac (__TEXT,__text) external ___fork
0000000180496dd0 (__TEXT,__text) external ___fs_snapshot
0000000180498230 (__TEXT,__text) external ___fstat
000000018048f80c (__TEXT,__text) external ___fstat64_extended
0000000180496dfc (__TEXT,__text) external ___fstat_extended
0000000180498288 (__TEXT,__text) external ___fstatat
00000001804982e0 (__TEXT,__text) external ___fstatfs
0000000180496e28 (__TEXT,__text) external ___fsync_nocancel
000000018049346c (__TEXT,__text) external ___get_remove_counter
000000018048a624 (__TEXT,__text) external ___getattrlist
000000018048b9a8 (__TEXT,__text) external ___getdirentries64
0000000180498414 (__TEXT,__text) external ___getfsstat
000000018048f6d0 (__TEXT,__text) external ___gethostuuid
0000000180495ca8 (__TEXT,__text) external ___getlogin
000000018048e4d8 (__TEXT,__text) external ___getpeername
000000018048a168 (__TEXT,__text) external ___getpid
000000018048c0ac (__TEXT,__text) external ___getrlimit
0000000180496e54 (__TEXT,__text) external ___getsgroups
00000001804919b8 (__TEXT,__text) external ___getsockname
000000018048b868 (__TEXT,__text) external ___gettid
