
/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
000000000003f1c0 (__DATA,__data) external _NDR_record
0000000000019bfb (__TEXT,__text) non-external __Xexception_raise
0000000000019ca3 (__TEXT,__text) non-external __Xexception_raise_state
0000000000019d95 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000000b520 (__TEXT,__text) external _____sigwait_nocancel
000000000002a918 (__TEXT,__const) external ____kernelVersionNumber
000000000002a8e0 (__TEXT,__const) external ____kernelVersionString
000000000000b538 (__TEXT,__text) external ___abort_with_payload
0000000000007cdc (__TEXT,__text) external ___accept
000000000000b550 (__TEXT,__text) external ___accept_nocancel
000000000000b568 (__TEXT,__text) external ___access_extended
000000000000b580 (__TEXT,__text) external ___aio_suspend_nocancel
00000000000071d0 (__TEXT,__text) external ___bind
0000000000003f00 (__TEXT,__text) external ___bsdthread_create
0000000000002698 (__TEXT,__text) external ___bsdthread_ctl
0000000000005a04 (__TEXT,__text) external ___bsdthread_register
0000000000003340 (__TEXT,__text) external ___bsdthread_terminate
000000000000caae (__TEXT,__text) non-external ___bzero
000000000000aece (__TEXT,__text) external ___carbon_delete
000000000000b598 (__TEXT,__text) external ___channel_get_info
000000000000b5b0 (__TEXT,__text) external ___channel_get_opt
000000000000b5c8 (__TEXT,__text) external ___channel_open
000000000000b5e0 (__TEXT,__text) external ___channel_set_opt
000000000000b5f8 (__TEXT,__text) external ___channel_sync
0000000000003e8c (__TEXT,__text) external ___chmod
0000000000005580 (__TEXT,__text) external ___chmod_extended
000000000000234c (__TEXT,__text) external ___close_nocancel
000000000000b610 (__TEXT,__text) external ___coalition
000000000000b628 (__TEXT,__text) external ___coalition_info
000000000000b640 (__TEXT,__text) external ___coalition_ledger
0000000000002763 (__TEXT,__text) external ___commpage_gettimeofday
000000000000276a (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000000000045e8 (__TEXT,__text) external ___connect
0000000000004470 (__TEXT,__text) external ___connect_nocancel
000000000000b658 (__TEXT,__text) external ___copyfile
000000000000b670 (__TEXT,__text) external ___crossarch_trap
0000000000001724 (__TEXT,__text) external ___csrctl
0000000000012f6f (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000000b688 (__TEXT,__text) external ___debug_syscall_reject
000000000000b6a0 (__TEXT,__text) external ___debug_syscall_reject_config
000000000000aee8 (__TEXT,__text) external ___delete
0000000000003328 (__TEXT,__text) external ___disable_threadsignal
000000000000168a (__TEXT,__text) external ___error
000000000000b6b8 (__TEXT,__text) external ___execve
0000000000006d58 (__TEXT,__text) external ___exit
00000000000047fc (__TEXT,__text) external ___fchmod
00000000000056b0 (__TEXT,__text) external ___fchmod_extended
0000000000001940 (__TEXT,__text) external ___fcntl
0000000000004440 (__TEXT,__text) external ___fcntl_nocancel
0000000000007038 (__TEXT,__text) external ___fork
000000000000b6d0 (__TEXT,__text) external ___fs_snapshot
0000000000005698 (__TEXT,__text) external ___fstat64_extended
000000000000b6e8 (__TEXT,__text) external ___fstat_extended
000000000000b700 (__TEXT,__text) external ___fsync_nocancel
0000000000008860 (__TEXT,__text) external ___get_remove_counter
00000000000016a4 (__TEXT,__text) external ___getattrlist
0000000000002620 (__TEXT,__text) external ___getdirentries64
0000000000005550 (__TEXT,__text) external ___gethostuuid
000000000000a9d0 (__TEXT,__text) external ___getlogin
00000000000046ec (__TEXT,__text) external ___getpeername
00000000000012e0 (__TEXT,__text) external ___getpid
0000000000002b34 (__TEXT,__text) external ___getrlimit
000000000000b718 (__TEXT,__text) external ___getsgroups
00000000000070dc (__TEXT,__text) external ___getsockname
000000000000252c (__TEXT,__text) external ___gettid
0000000000003f45 (__TEXT,__text) external ___gettimeofday
0000000000003f30 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000000b730 (__TEXT,__text) external ___getwgroups
000000000000b748 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000000003b78 (__TEXT,__text) external ___guarded_open_np
000000000000b760 (__TEXT,__text) external ___identitysvc
0000000000003d53 (__TEXT,__text) external ___inc_remove_counter
000000000000a9b8 (__TEXT,__text) external ___initgroups
00000000000045d0 (__TEXT,__text) external ___ioctl
0000000000004860 (__TEXT,__text) external ___iopolicysys
000000000000b778 (__TEXT,__text) external ___kdebug_trace
00000000000031b0 (__TEXT,__text) external ___kdebug_trace64
000000000000b790 (__TEXT,__text) external ___kdebug_trace_string
0000000000005784 (__TEXT,__text) external ___kdebug_typefilter
000000000002a988 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
000000000002a950 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
000000000000777c (__TEXT,__text) external ___kill
0000000000005f30 (__TEXT,__text) external ___kqueue_workloop_ctl
0000000000005710 (__TEXT,__text) external ___lchown
000000000000579b (__TEXT,__text) external ___libkernel_init
000000000000cc58 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000000000cba8 (__TEXT,__text) external ___libkernel_init_late
00000000000059f3 (__TEXT,__text) external ___libkernel_platform_init
00000000000012d3 (__TEXT,__text) external ___libkernel_voucher_init
0000000000007cc4 (__TEXT,__text) external ___listen
000000000000b7a8 (__TEXT,__text) external ___log_data
00000000000023ac (__TEXT,__text) external ___lseek
0000000000005598 (__TEXT,__text) external ___lstat64_extended
000000000000b7c0 (__TEXT,__text) external ___lstat_extended
000000000000b7d8 (__TEXT,__text) external ___mac_execve
000000000000b7f0 (__TEXT,__text) external ___mac_get_fd
000000000000b808 (__TEXT,__text) external ___mac_get_file
000000000000b820 (__TEXT,__text) external ___mac_get_link
000000000000b838 (__TEXT,__text) external ___mac_get_mount
000000000000b850 (__TEXT,__text) external ___mac_get_pid
000000000000b868 (__TEXT,__text) external ___mac_get_proc
000000000000b880 (__TEXT,__text) external ___mac_getfsstat
000000000000b898 (__TEXT,__text) external ___mac_mount
000000000000b8b0 (__TEXT,__text) external ___mac_set_fd
000000000000b8c8 (__TEXT,__text) external ___mac_set_file
000000000000b8e0 (__TEXT,__text) external ___mac_set_link
0000000000007c78 (__TEXT,__text) external ___mac_set_proc
0000000000002448 (__TEXT,__text) external ___mac_syscall
000000000000b8f8 (__TEXT,__text) external ___mach_bridge_remote_time
000000000000b910 (__TEXT,__text) external ___mach_eventlink_signal
000000000000b928 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000000000b940 (__TEXT,__text) external ___mach_eventlink_wait_until
000000000000b958 (__TEXT,__text) external ___map_with_linking_np
000000000000b970 (__TEXT,__text) external ___memorystatus_available_memory
000000000000b988 (__TEXT,__text) external ___microstackshot
000000000000b9a0 (__TEXT,__text) external ___mkdir_extended
000000000000b9b8 (__TEXT,__text) external ___mkfifo_extended
0000000000001a38 (__TEXT,__text) external ___mmap
0000000000003f18 (__TEXT,__text) external ___mprotect
000000000000b9d0 (__TEXT,__text) external ___msgctl
000000000000b9e8 (__TEXT,__text) external ___msgrcv_nocancel
000000000000ba00 (__TEXT,__text) external ___msgsnd_nocancel
000000000000ba18 (__TEXT,__text) external ___msgsys
0000000000005ee4 (__TEXT,__text) external ___msync
000000000000ba30 (__TEXT,__text) external ___msync_nocancel
0000000000003c64 (__TEXT,__text) external ___munmap
000000000000ba48 (__TEXT,__text) external ___nexus_create
000000000000ba60 (__TEXT,__text) external ___nexus_deregister
000000000000ba78 (__TEXT,__text) external ___nexus_destroy
000000000000ba90 (__TEXT,__text) external ___nexus_get_opt
000000000000baa8 (__TEXT,__text) external ___nexus_open
000000000000bac0 (__TEXT,__text) external ___nexus_register
000000000000bad8 (__TEXT,__text) external ___nexus_set_opt
00000000000016d4 (__TEXT,__text) external ___open
0000000000005680 (__TEXT,__text) external ___open_dprotected_np
000000000000aea0 (__TEXT,__text) external ___open_extended
0000000000001988 (__TEXT,__text) external ___open_nocancel
0000000000002364 (__TEXT,__text) external ___openat
000000000000baf0 (__TEXT,__text) external ___openat_dprotected_np
0000000000005740 (__TEXT,__text) external ___openat_nocancel
000000000003f238 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000000001731b (__TEXT,__text) external ___os_nexus_flow_add
0000000000017384 (__TEXT,__text) external ___os_nexus_flow_del
00000000000174a6 (__TEXT,__text) external ___os_nexus_get_llink_info
00000000000171a0 (__TEXT,__text) external ___os_nexus_ifattach
0000000000017286 (__TEXT,__text) external ___os_nexus_ifdetach
0000000000003fe8 (__TEXT,__text) external ___persona
0000000000005efc (__TEXT,__text) external ___pipe
000000000000bb08 (__TEXT,__text) external ___poll_nocancel
0000000000006abc (__TEXT,__text) external ___posix_spawn
000000000000bb20 (__TEXT,__text) external ___pread_nocancel
000000000000bb38 (__TEXT,__text) external ___preadv_nocancel
0000000000001f9c (__TEXT,__text) external ___proc_info
000000000000bb50 (__TEXT,__text) external ___proc_info_extended_id
000000000000713c (__TEXT,__text) external ___process_policy
0000000000005d34 (__TEXT,__text) external ___pselect
000000000000bb68 (__TEXT,__text) external ___pselect_nocancel
0000000000003ab8 (__TEXT,__text) external ___psynch_cvbroad
0000000000003f88 (__TEXT,__text) external ___psynch_cvclrprepost
0000000000004b84 (__TEXT,__text) external ___psynch_cvsignal
0000000000003aa0 (__TEXT,__text) external ___psynch_cvwait
0000000000003358 (__TEXT,__text) external ___psynch_mutexdrop
0000000000003224 (__TEXT,__text) external ___psynch_mutexwait
000000000000bb80 (__TEXT,__text) external ___psynch_rw_downgrade
000000000000bb98 (__TEXT,__text) external ___psynch_rw_longrdlock
000000000000521c (__TEXT,__text) external ___psynch_rw_rdlock
0000000000005204 (__TEXT,__text) external ___psynch_rw_unlock
000000000000bbb0 (__TEXT,__text) external ___psynch_rw_unlock2
000000000000bbc8 (__TEXT,__text) external ___psynch_rw_upgrade
00000000000051ec (__TEXT,__text) external ___psynch_rw_wrlock
000000000000bbe0 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000000000ac14 (__TEXT,__text) external ___pthread_canceled
00000000000067b4 (__TEXT,__text) external ___pthread_chdir
000000000000679c (__TEXT,__text) external ___pthread_fchdir
0000000000007c48 (__TEXT,__text) external ___pthread_kill
000000000000bbf8 (__TEXT,__text) external ___pthread_markcancel
0000000000006d00 (__TEXT,__text) external ___pthread_sigmask
0000000000008044 (__TEXT,__text) external ___ptrace
000000000000bc10 (__TEXT,__text) external ___pwrite_nocancel
000000000000bc28 (__TEXT,__text) external ___pwritev_nocancel
00000000000027fc (__TEXT,__text) external ___read_nocancel
000000000000bc40 (__TEXT,__text) external ___readv_nocancel
000000000000bc58 (__TEXT,__text) external ___reboot
000000000000bc70 (__TEXT,__text) external ___record_system_event
0000000000004618 (__TEXT,__text) external ___recvfrom
00000000000044e8 (__TEXT,__text) external ___recvfrom_nocancel
0000000000004938 (__TEXT,__text) external ___recvmsg
000000000000bc88 (__TEXT,__text) external ___recvmsg_nocancel
0000000000040050 (__DATA_DIRTY,__bss) non-external ___remove_counter
0000000000003d3c (__TEXT,__text) external ___rename
000000000000bca0 (__TEXT,__text) external ___renameat
000000000000bcb8 (__TEXT,__text) external ___renameatx_np
0000000000003d74 (__TEXT,__text) external ___rmdir
000000000000b7d8 (__TEXT,__text) external ___sandbox_me
000000000000b898 (__TEXT,__text) external ___sandbox_mm
0000000000002448 (__TEXT,__text) external ___sandbox_ms
