00007ffb1f6d42cf (__TEXT,__text) external _AAAFSCGetMetadata
00007ffb1f6d4658 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffb1f6d3674 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffb1f6d3db9 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffb1f6d3ebf (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffb1f6665df (__TEXT,__text) external _AAArchiveStreamCancel
00007ffb1f6665a8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffb1f67b327 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffb1f66655a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffb1f666540 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffb1f66658e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffb1f666574 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffb1f667b9a (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffb1f66b8e2 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffb1f66b818 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffb1f66b76c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffb1f66b807 (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffb1f6c931c (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffb1f66b980 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffb1f66b8ed (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffb1f66bfee (__TEXT,__text) external _AAAssetExtractorCreate
00007ffb1f66c5ff (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffb1f66d018 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffb1f66cfa0 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffb1f66caf0 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffb1f6db4f5 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffb1f6db50a (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffb1f6daee4 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffb1f6db393 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffb1f697b2e (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffb1f67c260 (__TEXT,__text) external _AAByteRangeAdd
00007ffb1f67c164 (__TEXT,__text) external _AAByteRangeClone
00007ffb1f67c0c6 (__TEXT,__text) external _AAByteRangeCreate
00007ffb1f67c13e (__TEXT,__text) external _AAByteRangeDestroy
00007ffb1f67c42a (__TEXT,__text) external _AAByteRangeFirst
00007ffb1f67c537 (__TEXT,__text) external _AAByteRangeNext
00007ffb1f67c3bf (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffb1f67c34e (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffb1f67c2dc (__TEXT,__text) external _AAByteRangeSub
00007ffb1f6d26f5 (__TEXT,__text) external _AAByteStreamCancel
00007ffb1f6d270a (__TEXT,__text) external _AAByteStreamClose
00007ffb1f6d2741 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffb1f6d278a (__TEXT,__text) external _AAByteStreamFlush
00007ffb1f6d26bd (__TEXT,__text) external _AAByteStreamPRead
00007ffb1f6d27be (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffb1f6d2685 (__TEXT,__text) external _AAByteStreamPWrite
00007ffb1f6abfe3 (__TEXT,__text) external _AAByteStreamProcess
00007ffb1f6d26a1 (__TEXT,__text) external _AAByteStreamRead
00007ffb1f6d26d9 (__TEXT,__text) external _AAByteStreamSeek
00007ffb1f6d27a4 (__TEXT,__text) external _AAByteStreamTruncate
00007ffb1f6d25da (__TEXT,__text) external _AAByteStreamWrite
00007ffb1f695f25 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffb1f6955e3 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffb1f6a910b (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffb1f6d719d (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffb1f6d7b07 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffb1f69f2e4 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffb1f6665f4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffb1f66666f (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffb1f666665 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffb1f66665c (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffb1f666697 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffb1f66668d (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffb1f666683 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffb1f666679 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffb1f6d35d0 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffb1f6d366a (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffb1f6d362e (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffb1f6d3625 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffb1f6d3642 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffb1f6d3656 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffb1f6d3638 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffb1f6d3660 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffb1f6d364c (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffb1f6d1b0f (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffb1f6d2f79 (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffb1f6da3b8 (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffb1f6cfcb9 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffb1f6c7e9e (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffb1f6c8c0a (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffb1f6c8bf9 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffb1f6c8aa4 (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffb1f6c8b66 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffb1f6c8bad (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffb1f6c8b0c (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffb1f6c930f (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffb1f6c9305 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffb1f6c8d54 (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffb1f6c8d4c (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffb1f6c923e (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffb1f6c8ef7 (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffb1f6c4ee8 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffb1f6c56e0 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffb1f6c56cf (__TEXT,__text) external _AAEntryXATBlobClear
00007ffb1f6c557a (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffb1f6c563c (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffb1f6c5683 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffb1f6c55e2 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffb1f6c5d29 (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffb1f6c5d1f (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffb1f6c582a (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffb1f6c5822 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffb1f6c5c58 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffb1f6c595b (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffb1f6cfa0d (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffb1f6cf8c9 (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffb1f6cf96b (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffb1f6cf9b2 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffb1f6cf931 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffb1f6cfcaf (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffb1f6cfca6 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffb1f6bc2c0 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffb1f6b98ed (__TEXT,__text) external _AAFieldKeySetClear
00007ffb1f6b97be (__TEXT,__text) external _AAFieldKeySetClone
00007ffb1f6b98fb (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffb1f6b93f0 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffb1f6b9458 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffb1f6b9798 (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffb1f6b9f02 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffb1f6b9efa (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffb1f6b9998 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffb1f6b9c22 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffb1f6b9b63 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffb1f6b9e02 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffb1f6b9e96 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffb1f6b9f11 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffb1f6d27d8 (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffb1f6d2b2d (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffb1f6db96c (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffb1f6c3049 (__TEXT,__text) external _AAHeaderAssign
00007ffb1f6c3620 (__TEXT,__text) external _AAHeaderClear
00007ffb1f6c2f9d (__TEXT,__text) external _AAHeaderClone
00007ffb1f6c2eb0 (__TEXT,__text) external _AAHeaderCreate
00007ffb1f6c3205 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffb1f6c324c (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffb1f6c2f57 (__TEXT,__text) external _AAHeaderDestroy
00007ffb1f6c470c (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffb1f6c4702 (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffb1f6c2da0 (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffb1f6c2d41 (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffb1f6c380a (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffb1f6c2e2d (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffb1f6c36ff (__TEXT,__text) external _AAHeaderGetFieldString
00007ffb1f6c3913 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffb1f6c2d49 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffb1f6c367a (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffb1f6c3645 (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffb1f6c46f8 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffb1f6c3298 (__TEXT,__text) external _AAHeaderRemoveField
00007ffb1f6c44f1 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffb1f6c3a36 (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffb1f6c40b5 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffb1f6c3e7f (__TEXT,__text) external _AAHeaderSetFieldString
00007ffb1f6c4301 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffb1f6c3c81 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffb1f6d2f85 (__TEXT,__text) external _AAMagicInputStreamOpen
