00007ff80c7f23b2 (__TEXT,__text) non-external _Annihilate
00007ff80c8364f0 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80c836da7 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80c83500a (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80c7f21a7 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80c80ee08 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80c7e287c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80c7f248e (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80c7e2a7a (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80c8334d7 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80c833e7b (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80c7e2dab (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80c7f9cd4 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80c806609 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80c807208 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80c805a0a (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80c805cea (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80c8068e9 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80c8050eb (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80c7ebb38 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80c7ed46f (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80c7eec36 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80c7f03fd (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80c7ebca8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80c826d54 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80c828ff4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80c82a012 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80c82b030 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80c82c04e (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80c82d06c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80c82e08a (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80c82f0a8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80c83016b (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80c826fb8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80c827fd6 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80c803346 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80c816190 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80c809e7c (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80c802a25 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80c809d53 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80c7f82c8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80c7f8399 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80c7f8474 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80c7f8364 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80c7fc904 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80c7fc8fb (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80c7fc7dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80c7fee52 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80c7fc8bd (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80c7fc8a4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80c7f827c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80c7fee17 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80c7fed87 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80c7fec20 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80c7fed0e (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80c7fc810 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80c7fc928 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80c7f7ffe (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80c7f800b (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80c7f302c (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80c7e3fe5 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80c7e5ecc (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80c7e3d68 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80c7e3eb7 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80c7eaf74 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80c7e6fd0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80c7e3fbb (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80c7e3cc0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80c7eaf87 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80c7eaff9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80c7fb010 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80c8016c6 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80c8248b8 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80c7f22be (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80c7f247b (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80c80d848 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80c80625c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80c806e5b (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80c80565d (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80c805f70 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80c806b6f (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80c805371 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80c80646e (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80c80706d (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80c80586f (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80c8062eb (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80c806eea (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80c8056ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80c7f80d0 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80c7f3018 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80c8333b6 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80c80d7e4 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80c7f2165 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80c807ef1 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80c8266d1 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80c834ef2 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80c802c9a (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80c812e38 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80c813394 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80c8128dc (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80c85a390 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80c7f8133 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80c80297a (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80c7f2488 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80c7f3067 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80c80eb3b (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80c88e578 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80c88e572 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80c88e560 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80c80f559 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80c811afc (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80c7f1c44 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80c83122e (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80c811163 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80c811ef8 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80c80d855 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80c7f80e4 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80c7f2302 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80c802f36 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80c808245 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80c807f14 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80c810298 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80c7f1f31 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80c811496 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80c7f1cf9 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80c8113ce (__TEXT,__text) non-external _BuildHistograms
00007ff80c83a3b0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80c83a4b0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80c7eb004 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80c7f21f6 (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80c833c62 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80c809cde (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80c8358c1 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80c7fa9a0 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80c816364 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80c8174f8 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80c820d94 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80c81821f (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80c81c017 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80c81d464 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80c81e94d (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80c8194de (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80c81ffa2 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80c821e4a (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80c81a9db (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80c822fb8 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80c83a2a0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80c7fcdf4 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80c7fab25 (__TEXT,__text) non-external _DecodeContextMap
00007ff80c7fd923 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80c7fd37b (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80c7f973c (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80c7f9d36 (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80c7f1bc4 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80c8107b0 (__TEXT,__text) non-external _EncodeContextMap
00007ff80c7e7105 (__TEXT,__text) non-external _EncodeData
00007ff80c809aed (__TEXT,__text) non-external _EvaluateNode
00007ff80c85a410 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80c897a90 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80c8b0540 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80c7eb387 (__TEXT,__text) non-external _GetBrotliStorage
00007ff80c7eb3f5 (__TEXT,__text) non-external _GetHashTable
00007ff80c83a1a0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80c8b09f0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80c83a120 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80c8090a4 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80c7e6fee (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80c7fc9d7 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80c804685 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80c80463b (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80c804566 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80c7eb323 (__TEXT,__text) non-external _PrepareH54
00007ff80c7eb2bc (__TEXT,__text) non-external _PrepareH6
00007ff80c7fb0b4 (__TEXT,__text) non-external _ProcessCommands
00007ff80c7f9f08 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80c7fca8d (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80c7fd5ac (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80c7fcfd9 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80c7fc933 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80c7fbbd0 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80c7f95e4 (__TEXT,__text) non-external _SaveErrorCode
00007ff80c80b294 (__TEXT,__text) non-external _SetCost
00007ff80c80da70 (__TEXT,__text) non-external _Shift
00007ff80c7eb04a (__TEXT,__text) non-external _ShouldCompress
00007ff80c83a2b0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80c7f233d (__TEXT,__text) non-external _SortPointers
00007ff80c83a880 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80c88f2f0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80c88f0f0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80c81014f (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80c811831 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80c810ddb (__TEXT,__text) non-external _StoreSymbol
00007ff80c810f92 (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80c81057d (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80c812082 (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80c809258 (__TEXT,__text) non-external _UpdateNodes
00007ff80c7fc7a8 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80c7f95f8 (__TEXT,__text) non-external _WriteRingBuffer
00007ff80c809116 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff8426c4d78 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80c7fff18 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80c896440 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80c88e8d0 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80c83a5c0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80c896640 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80c8330f0 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80c7dbee1 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80c7d9c96 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80c832fc6 (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80c833320 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80c7d9b54 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80c7e37b0 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80c896e30 (__TEXT,__const) non-external _base_dist
00007ff80c896db0 (__TEXT,__const) non-external _base_length
00007ff80c83329e (__TEXT,__text) non-external _bi_flush
00007ff80c7dd926 (__TEXT,__text) non-external _bi_windup
00007ff80c896d90 (__TEXT,__const) non-external _bl_order
00007ff80c88e640 (__TEXT,__const) non-external _breverse.brev8
00007ff80c8315fe (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80c831633 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80c8317f5 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80c831718 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80c83166f (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80c7dc903 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80c7dd51b (__TEXT,__text) non-external _compress_block
00007ff80c7df76b (__TEXT,__text) external _compression_decode_buffer
00007ff80c7df691 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80c826a03 (__TEXT,__text) external _compression_encode_buffer
00007ff80c8268d3 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80c7ddae0 (__TEXT,__text) external _compression_stream_destroy
00007ff80c8015d4 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80c80157e (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80c801536 (__TEXT,__text) external _compression_stream_get_state_size
00007ff80c8014b4 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80c7d9580 (__TEXT,__text) external _compression_stream_init
00007ff80c80146e (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80c80162a (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80c7da238 (__TEXT,__text) external _compression_stream_process
00007ff80c7dfe0f (__TEXT,__text) external _compression_stream_reinit
