00007ffb1c372626 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb1c3725ba (__TEXT,__text) non-external +[CBOR cborNil]
00007ffb1c3725f0 (__TEXT,__text) non-external +[CBOR cborTrue]
00007ffb1c371f8f (__TEXT,__text) non-external +[CBOR cborWithArray:]
00007ffb1c372121 (__TEXT,__text) non-external +[CBOR cborWithData:]
00007ffb1c37248e (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
00007ffb1c37202f (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
00007ffb1c3720cf (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
00007ffb1c371f11 (__TEXT,__text) non-external +[CBOR cborWithDouble:]
00007ffb1c37265c (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
00007ffb1c3721c1 (__TEXT,__text) non-external +[CBOR cborWithEncodedTag24Data:]
00007ffb1c371e93 (__TEXT,__text) non-external +[CBOR cborWithFloat:]
00007ffb1c37235c (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
00007ffb1c371e15 (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
00007ffb1c371ca8 (__TEXT,__text) non-external +[CBOR cborWithInteger:]
00007ffb1c3722bc (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
00007ffb1c371d66 (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
00007ffb1c36b9a0 (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
00007ffb1c36c04e (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
00007ffb1c36c00a (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
00007ffb1c37442a (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
00007ffb1c3777c4 (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
00007ffb1c36d840 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
00007ffb1c36d85a (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
00007ffb1c36d86f (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:noCopy:]
00007ffb1c36de75 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1c36e127 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType0And1FromBuffer:length:tag:]
00007ffb1c36e5d8 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:]
00007ffb1c36edfc (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1c36f384 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1c36fbe0 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
00007ffb1c36ff70 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00007ffb1c36c09e (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00007ffb1c36c0b2 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00007ffb1c375831 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00007ffb1c3777d1 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00007ffb1c37285c (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00007ffb1c370e5d (__TEXT,__text) non-external -[CBOR array]
00007ffb1c370c68 (__TEXT,__text) non-external -[CBOR boolValue]
00007ffb1c372816 (__TEXT,__text) non-external -[CBOR cachedHash]
00007ffb1c370514 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb1c370dc1 (__TEXT,__text) non-external -[CBOR data]
00007ffb1c370ef7 (__TEXT,__text) non-external -[CBOR date]
00007ffb1c371568 (__TEXT,__text) non-external -[CBOR description]
00007ffb1c370eaa (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb1c370bad (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb1c372733 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb1c370a3a (__TEXT,__text) non-external -[CBOR hash]
00007ffb1c37097d (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb1c37054f (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb1c371452 (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb1c371467 (__TEXT,__text) non-external -[CBOR isDate]
00007ffb1c371510 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb1c370a4c (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb1c37143d (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb1c371423 (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb1c370afe (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb1c370c01 (__TEXT,__text) non-external -[CBOR numeric]
00007ffb1c37282a (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb1c372820 (__TEXT,__text) non-external -[CBOR setCachedHash:]
00007ffb1c372834 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb1c3727a8 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb1c3727da (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb1c37280c (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb1c370cc6 (__TEXT,__text) non-external -[CBOR string]
00007ffb1c37279e (__TEXT,__text) non-external -[CBOR tag]
00007ffb1c372794 (__TEXT,__text) non-external -[CBOR type]
00007ffb1c370b53 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
