                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
00000001804b51e8 (__TEXT,__text) non-external _LI_get_thread_info
00000001804caf88 (__TEXT,__text) external _LI_get_thread_item
00000001804bf660 (__TEXT,__text) external _LI_get_thread_list
00000001804b45b4 (__TEXT,__text) external _LI_ils_create
00000001804b51b0 (__TEXT,__text) external _LI_set_thread_item
00000001804b9d3c (__TEXT,__text) external _LI_set_thread_list
00000001804ca778 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001804cc78c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001804d23b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001804ca784 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001804d23d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001804d2490 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001804d24b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001804d24bc (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
00000001804ca7a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001804d23f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001804d240c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001804ca778 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001804d2418 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001804d2424 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
