00007ffa1e8deef1 (__TEXT,__text) external _CGLGetCurrentContext
00007ffa1e8deed4 (__TEXT,__text) external _CGLSetCurrentContext
00007ffa1e8d4d7e (__TEXT,__text) external _glAccum
00007ffa1e8db0c8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa1e8dd7da (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa1e8d7bcd (__TEXT,__text) external _glActiveTexture
00007ffa1e8dc4dd (__TEXT,__text) external _glActiveTextureARB
00007ffa1e8d4d97 (__TEXT,__text) external _glAlphaFunc
00007ffa1e8d4db0 (__TEXT,__text) external _glAreTexturesResident
00007ffa1e8d4dcf (__TEXT,__text) external _glArrayElement
00007ffa1e8dd030 (__TEXT,__text) external _glAttachObjectARB
00007ffa1e8d8fc1 (__TEXT,__text) external _glAttachShader
00007ffa1e8d4de8 (__TEXT,__text) external _glBegin
00007ffa1e8d9baa (__TEXT,__text) external _glBeginConditionalRender
00007ffa1e8dede5 (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa1e8d878e (__TEXT,__text) external _glBeginQuery
00007ffa1e8dcd59 (__TEXT,__text) external _glBeginQueryARB
00007ffa1e8dae9d (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1e8d9abc (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1e8de020 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1e8d948a (__TEXT,__text) external _glBindAttribLocation
00007ffa1e8dd46c (__TEXT,__text) external _glBindAttribLocationARB
00007ffa1e8d882e (__TEXT,__text) external _glBindBuffer
00007ffa1e8dcdf9 (__TEXT,__text) external _glBindBufferARB
00007ffa1e8d9b16 (__TEXT,__text) external _glBindBufferBase
00007ffa1e8ddfff (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa1e8ddfdb (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1e8d9aef (__TEXT,__text) external _glBindBufferRange
00007ffa1e8ddfb4 (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1e8d9ef4 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1e8de570 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa1e8da5f7 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1e8d973a (__TEXT,__text) external _glBindFramebuffer
00007ffa1e8ddd4a (__TEXT,__text) external _glBindFramebufferEXT
00007ffa1e8dbb8b (__TEXT,__text) external _glBindProgramARB
00007ffa1e8db108 (__TEXT,__text) external _glBindProgramPipeline
00007ffa1e8d967c (__TEXT,__text) external _glBindRenderbuffer
00007ffa1e8ddc8c (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa1e8da694 (__TEXT,__text) external _glBindSampler
00007ffa1e8d4e01 (__TEXT,__text) external _glBindTexture
00007ffa1e8dadb8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa1e8d9981 (__TEXT,__text) external _glBindVertexArray
00007ffa1e8dea94 (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa1e8d4e1c (__TEXT,__text) external _glBitmap
00007ffa1e8d7599 (__TEXT,__text) external _glBlendColor
00007ffa1e8ddc1c (__TEXT,__text) external _glBlendColorEXT
00007ffa1e8d75b3 (__TEXT,__text) external _glBlendEquation
00007ffa1e8ddc36 (__TEXT,__text) external _glBlendEquationEXT
00007ffa1e8d956a (__TEXT,__text) external _glBlendEquationSeparate
00007ffa1e8ded67 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa1e8ddc52 (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa1e8daf38 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa1e8dd5be (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa1e8daf1a (__TEXT,__text) external _glBlendEquationi
00007ffa1e8dd5a0 (__TEXT,__text) external _glBlendEquationiARB
00007ffa1e8d4e3a (__TEXT,__text) external _glBlendFunc
00007ffa1e8d84f4 (__TEXT,__text) external _glBlendFuncSeparate
00007ffa1e8ddbaa (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa1e8daf7a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa1e8dd600 (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa1e8daf59 (__TEXT,__text) external _glBlendFunci
