00000001e88d1ea0 (__TEXT,__text) external _AddFileExtent
00000001e88bbcec (__TEXT,__text) external _AllocateNode
00000001e88b51c0 (__TEXT,__text) external _BTClosePath
00000001e88b68d8 (__TEXT,__text) external _BTDeleteRecord
00000001e88b6aa8 (__TEXT,__text) external _BTFlushPath
00000001e88b6a44 (__TEXT,__text) external _BTGetInformation
00000001e88b6b90 (__TEXT,__text) external _BTGetLastSync
00000001e88b6c44 (__TEXT,__text) external _BTGetUserData
00000001e88b6bec (__TEXT,__text) external _BTHasContiguousNodes
00000001e88b60ac (__TEXT,__text) external _BTInsertRecord
00000001e88b54e0 (__TEXT,__text) external _BTInvalidateHint
00000001e88b6aa0 (__TEXT,__text) external _BTIsDirty
00000001e88b54fc (__TEXT,__text) external _BTIterateRecord
00000001e88b5ab0 (__TEXT,__text) external _BTIterateRecords
00000001e88b4e08 (__TEXT,__text) external _BTOpenPath
00000001e88ea6c0 (__TEXT,__text) non-external _BTOpenPath.cold.1
00000001e88c1b1c (__TEXT,__text) external _BTReleaseReserve
00000001e88eb344 (__TEXT,__text) non-external _BTReleaseReserve.cold.1
00000001e88b6acc (__TEXT,__text) external _BTReloadData
00000001e88b63c0 (__TEXT,__text) external _BTReplaceRecord
00000001e88c18ac (__TEXT,__text) external _BTReserveSetup
00000001e88c18f0 (__TEXT,__text) external _BTReserveSpace
00000001e88b521c (__TEXT,__text) external _BTSearchRecord
00000001e88b6bc0 (__TEXT,__text) external _BTSetLastSync
00000001e88b6ce0 (__TEXT,__text) external _BTSetUserData
00000001e88b668c (__TEXT,__text) external _BTUpdateRecord
00000001e88c1bec (__TEXT,__text) external _BTUpdateReserve
00000001e88bc478 (__TEXT,__text) external _BTZeroUnusedNodes
00000001e88de668 (__TEXT,__text) external _BestBlockSizeFit
00000001e88d5f04 (__TEXT,__text) external _BlockAllocate
00000001e88d693c (__TEXT,__text) external _BlockDeallocate
00000001e88d7acc (__TEXT,__text) non-external _BlockFindAny
00000001e88ed578 (__TEXT,__text) non-external _BlockFindAny.cold.1
00000001e88d7ea4 (__TEXT,__text) non-external _BlockFindContiguous
00000001e88d7948 (__TEXT,__text) non-external _BlockFindKnown
00000001e88d71a0 (__TEXT,__text) external _BlockMarkAllocated
00000001e88d71a8 (__TEXT,__text) non-external _BlockMarkAllocatedInternal
00000001e88d73ac (__TEXT,__text) external _BlockMarkFree
00000001e88d6ab4 (__TEXT,__text) non-external _BlockMarkFreeInternal
00000001e88d73b4 (__TEXT,__text) external _BlockMarkFreeUnused
                 (undefined) external _CC_MD5_Final (from libSystem)
                 (undefined) external _CC_MD5_Init (from libSystem)
                 (undefined) external _CC_MD5_Update (from libSystem)
00000001e88bc6ac (__TEXT,__text) external _CalcKeyRecordSize
00000001e88bc454 (__TEXT,__text) external _CalcMapBits
00000001e88bccd8 (__TEXT,__text) external _CheckInsertParams
00000001e88e2ab0 (__TEXT,__text) external _ClearNode
00000001e88b6ddc (__TEXT,__text) external _CompareExtendedCatalogKeys
00000001e88d1e58 (__TEXT,__text) weak external _CompareExtentKeysPlus
00000001e88d4050 (__TEXT,__text) external _ConvertUnicodeToUTF8Mangled
00000001e88d3fc0 (__TEXT,__text) external _CountFilenameExtensionChars
00000001e88d201c (__TEXT,__text) non-external _CreateExtentRecord
00000001e88d42fc (__TEXT,__text) external _DIROPS_LookupInternal
00000001e88d422c (__TEXT,__text) external _DIROPS_RemoveInternal
00000001e88d346c (__TEXT,__text) non-external _DeleteExtentRecord
00000001e88e300c (__TEXT,__text) external _DeleteOffset
00000001e88e2f58 (__TEXT,__text) external _DeleteRecord
00000001e88e1914 (__TEXT,__text) external _DeleteTree
00000001e88ee024 (__TEXT,__text) non-external _DeleteTree.cold.1
00000001e88ee0fc (__TEXT,__text) non-external _DeleteTree.cold.2
00000001e88bc0b8 (__TEXT,__text) external _ExtendBTree
00000001e88b3b94 (__TEXT,__text) external _ExtendBTreeFile
00000001e88ea40c (__TEXT,__text) non-external _ExtendBTreeFile.cold.1
00000001e88d22b8 (__TEXT,__text) external _ExtendFileC
00000001e88e8840 (__TEXT,__text) external _FSOPS_GetOffsetFromClusterNum
00000001e88d3d80 (__TEXT,__text) external _FastUnicodeCompare
00000001e88d327c (__TEXT,__text) non-external _FindExtentRecord
00000001e88bc86c (__TEXT,__text) external _FindIteratorPosition
00000001e88ea9b4 (__TEXT,__text) non-external _FindIteratorPosition.cold.1
00000001e88d1dc8 (__TEXT,__text) external _FlushExtentFile
00000001e88bbfb4 (__TEXT,__text) external _FreeNode
00000001e88b3750 (__TEXT,__text) external _GetBTreeBlock
00000001e88e31fc (__TEXT,__text) external _GetChildNodeNum
00000001e88d3eb0 (__TEXT,__text) external _GetEmbeddedFileID
00000001e88dcd5c (__TEXT,__text) external _GetFileInfo
00000001e88bbe84 (__TEXT,__text) non-external _GetMapNode
00000001e88e29b4 (__TEXT,__text) external _GetNewNode
00000001e88e2820 (__TEXT,__text) external _GetNode
00000001e88e31a0 (__TEXT,__text) external _GetNodeDataSize
