00000001ffd33998 (__TEXT,__text) non-external _Done_iODBC
00000001ffd52a90 (__TEXT,__const) non-external _FunctionNumbers
00000001ffd51908 (__TEXT,__text) non-external _GetPrivateProfileString
00000001ffd33814 (__TEXT,__text) non-external _Init_iODBC
000000020db24dbc (__DATA,__common) non-external _ODBCSharedTraceFlag
00000001ffd31f54 (__TEXT,__text) external _SQLAllocConnect
00000001ffd31e68 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00000001ffd33784 (__TEXT,__text) external _SQLAllocEnv
00000001ffd335e0 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00000001ffd3d810 (__TEXT,__text) external _SQLAllocHandle
00000001ffd3d928 (__TEXT,__text) non-external _SQLAllocHandleStd
00000001ffd3d56c (__TEXT,__text) non-external _SQLAllocHandle_Internal
00000001ffd36464 (__TEXT,__text) external _SQLAllocStmt
00000001ffd35fa8 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00000001ffd3b4c8 (__TEXT,__text) external _SQLBindCol
00000001ffd43510 (__TEXT,__text) external _SQLBindParam
00000001ffd3a934 (__TEXT,__text) external _SQLBindParameter
00000001ffd2edc4 (__TEXT,__text) external _SQLBrowseConnect
00000001ffd2ef0c (__TEXT,__text) external _SQLBrowseConnectA
00000001ffd2f054 (__TEXT,__text) external _SQLBrowseConnectW
00000001ffd2e880 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00000001ffd4301c (__TEXT,__text) external _SQLBulkOperations
00000001ffd3739c (__TEXT,__text) external _SQLCancel
00000001ffd43554 (__TEXT,__text) external _SQLCloseCursor
00000001ffd42a60 (__TEXT,__text) external _SQLColAttribute
00000001ffd42c08 (__TEXT,__text) external _SQLColAttributeA
00000001ffd42db0 (__TEXT,__text) external _SQLColAttributeW
00000001ffd42374 (__TEXT,__text) non-external _SQLColAttribute_Internal
00000001ffd3d074 (__TEXT,__text) external _SQLColAttributes
00000001ffd3d21c (__TEXT,__text) external _SQLColAttributesA
00000001ffd3d3c4 (__TEXT,__text) external _SQLColAttributesW
00000001ffd3cbc0 (__TEXT,__text) non-external _SQLColAttributes_Internal
00000001ffd27b4c (__TEXT,__text) external _SQLColumnPrivileges
00000001ffd27d30 (__TEXT,__text) external _SQLColumnPrivilegesA
00000001ffd27f14 (__TEXT,__text) external _SQLColumnPrivilegesW
00000001ffd278b8 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00000001ffd2838c (__TEXT,__text) external _SQLColumns
00000001ffd28570 (__TEXT,__text) external _SQLColumnsA
00000001ffd28754 (__TEXT,__text) external _SQLColumnsW
00000001ffd280f8 (__TEXT,__text) non-external _SQLColumns_Internal
00000001ffd2c04c (__TEXT,__text) external _SQLConnect
00000001ffd2c7dc (__TEXT,__text) external _SQLConnectA
00000001ffd2c93c (__TEXT,__text) external _SQLConnectW
00000001ffd2c1ac (__TEXT,__text) non-external _SQLConnect_Internal
00000001ffd5252c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00000001ffd421f8 (__TEXT,__text) external _SQLCopyDesc
00000001ffd37ec8 (__TEXT,__text) external _SQLDataSources
00000001ffd38010 (__TEXT,__text) external _SQLDataSourcesA
00000001ffd38158 (__TEXT,__text) external _SQLDataSourcesW
00000001ffd37a64 (__TEXT,__text) non-external _SQLDataSources_Internal
000000020db24d40 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000020db24d60 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000020db24d68 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00000001ffd3c5e4 (__TEXT,__text) external _SQLDescribeCol
00000001ffd3c7d8 (__TEXT,__text) external _SQLDescribeColA
00000001ffd3c9cc (__TEXT,__text) external _SQLDescribeColW
00000001ffd3c348 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00000001ffd30d0c (__TEXT,__text) external _SQLDescribeParam
00000001ffd2f19c (__TEXT,__text) external _SQLDisconnect
00000001ffd2e40c (__TEXT,__text) external _SQLDriverConnect
00000001ffd2e588 (__TEXT,__text) external _SQLDriverConnectA
00000001ffd2e704 (__TEXT,__text) external _SQLDriverConnectW
00000001ffd2ca9c (__TEXT,__text) non-external _SQLDriverConnect_Internal
00000001ffd52558 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00000001ffd52584 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00000001ffd38760 (__TEXT,__text) external _SQLDrivers
00000001ffd388a8 (__TEXT,__text) external _SQLDriversA
00000001ffd389f0 (__TEXT,__text) external _SQLDriversW
00000001ffd3837c (__TEXT,__text) non-external _SQLDrivers_Internal
000000020db24d44 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000020db24d70 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000020db24d78 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00000001ffd42f58 (__TEXT,__text) external _SQLEndTran
00000001ffd34124 (__TEXT,__text) external _SQLError
00000001ffd3424c (__TEXT,__text) external _SQLErrorA
00000001ffd34374 (__TEXT,__text) external _SQLErrorW
00000001ffd30214 (__TEXT,__text) external _SQLExecDirect
00000001ffd30364 (__TEXT,__text) external _SQLExecDirectA
00000001ffd304b4 (__TEXT,__text) external _SQLExecDirectW
00000001ffd2ffb8 (__TEXT,__text) non-external _SQLExecDirect_Internal
00000001ffd2fcf0 (__TEXT,__text) external _SQLExecute
00000001ffd31404 (__TEXT,__text) external _SQLExtendedFetch
00000001ffd31148 (__TEXT,__text) external _SQLFetch
00000001ffd4320c (__TEXT,__text) external _SQLFetchScroll
00000001ffd30f8c (__TEXT,__text) non-external _SQLFetch_Internal
00000001ffd28c8c (__TEXT,__text) external _SQLForeignKeys
00000001ffd28f48 (__TEXT,__text) external _SQLForeignKeysA
00000001ffd29204 (__TEXT,__text) external _SQLForeignKeysW
00000001ffd28938 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00000001ffd320c8 (__TEXT,__text) external _SQLFreeConnect
00000001ffd32018 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00000001ffd338ec (__TEXT,__text) external _SQLFreeEnv
00000001ffd33860 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00000001ffd3da40 (__TEXT,__text) external _SQLFreeHandle
00000001ffd368b8 (__TEXT,__text) external _SQLFreeStmt
00000001ffd366ac (__TEXT,__text) non-external _SQLFreeStmt_Internal
00000001ffd4f118 (__TEXT,__text) non-external _SQLGetConfigMode
00000001ffd40348 (__TEXT,__text) external _SQLGetConnectAttr
00000001ffd407fc (__TEXT,__text) external _SQLGetConnectAttrA
00000001ffd40950 (__TEXT,__text) external _SQLGetConnectAttrW
00000001ffd4049c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00000001ffd32e98 (__TEXT,__text) external _SQLGetConnectOption
00000001ffd32fc4 (__TEXT,__text) external _SQLGetConnectOptionA
00000001ffd330f0 (__TEXT,__text) external _SQLGetConnectOptionW
00000001ffd3ba18 (__TEXT,__text) external _SQLGetCursorName
00000001ffd3bb80 (__TEXT,__text) external _SQLGetCursorNameA
00000001ffd3bce8 (__TEXT,__text) external _SQLGetCursorNameW
00000001ffd3b81c (__TEXT,__text) non-external _SQLGetCursorName_Internal
00000001ffd3158c (__TEXT,__text) external _SQLGetData
00000001ffd40d14 (__TEXT,__text) external _SQLGetDescField
00000001ffd40e88 (__TEXT,__text) external _SQLGetDescFieldA
00000001ffd40ffc (__TEXT,__text) external _SQLGetDescFieldW
00000001ffd40aa4 (__TEXT,__text) non-external _SQLGetDescField_Internal
00000001ffd4191c (__TEXT,__text) external _SQLGetDescRec
00000001ffd41b50 (__TEXT,__text) external _SQLGetDescRecA
00000001ffd41d84 (__TEXT,__text) external _SQLGetDescRecW
00000001ffd41720 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00000001ffd35c84 (__TEXT,__text) external _SQLGetDiagField
00000001ffd35d90 (__TEXT,__text) external _SQLGetDiagFieldA
00000001ffd35e9c (__TEXT,__text) external _SQLGetDiagFieldW
00000001ffd34e08 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00000001ffd34aa8 (__TEXT,__text) external _SQLGetDiagRec
00000001ffd34bc8 (__TEXT,__text) external _SQLGetDiagRecA
00000001ffd34ce8 (__TEXT,__text) external _SQLGetDiagRecW
00000001ffd3449c (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00000001ffd3e140 (__TEXT,__text) external _SQLGetEnvAttr
00000001ffd39628 (__TEXT,__text) external _SQLGetFunctions
00000001ffd3922c (__TEXT,__text) external _SQLGetInfo
00000001ffd39380 (__TEXT,__text) external _SQLGetInfoA
00000001ffd394d4 (__TEXT,__text) external _SQLGetInfoW
00000001ffd38c14 (__TEXT,__text) non-external _SQLGetInfo_Internal
00000001ffd51fa0 (__TEXT,__text) non-external _SQLGetKeywordValue
00000001ffd51fec (__TEXT,__text) non-external _SQLGetKeywordValueW
00000001ffd51ae4 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00000001ffd51ce4 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00000001ffd3e9b8 (__TEXT,__text) external _SQLGetStmtAttr
00000001ffd3eb30 (__TEXT,__text) external _SQLGetStmtAttrA
00000001ffd3eca8 (__TEXT,__text) external _SQLGetStmtAttrW
00000001ffd3e324 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00000001ffd37104 (__TEXT,__text) external _SQLGetStmtOption
00000001ffd37250 (__TEXT,__text) external _SQLGetStmtOptionA
00000001ffd36f24 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00000001ffd25b4c (__TEXT,__text) external _SQLGetTypeInfo
00000001ffd25c8c (__TEXT,__text) external _SQLGetTypeInfoA
00000001ffd25dcc (__TEXT,__text) external _SQLGetTypeInfoW
00000001ffd2598c (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00000001ffd31904 (__TEXT,__text) external _SQLMoreResults
00000001ffd2f59c (__TEXT,__text) external _SQLNativeSql
00000001ffd2f708 (__TEXT,__text) external _SQLNativeSqlA
00000001ffd2f874 (__TEXT,__text) external _SQLNativeSqlW
00000001ffd2f324 (__TEXT,__text) non-external _SQLNativeSql_Internal
00000001ffd30b04 (__TEXT,__text) external _SQLNumParams
00000001ffd3c134 (__TEXT,__text) external _SQLNumResultCols
00000001ffd3087c (__TEXT,__text) external _SQLParamData
00000001ffd3ad34 (__TEXT,__text) external _SQLParamOptions
00000001ffd39f9c (__TEXT,__text) external _SQLPrepare
00000001ffd3a0ec (__TEXT,__text) external _SQLPrepareA
00000001ffd3a23c (__TEXT,__text) external _SQLPrepareW
00000001ffd39d88 (__TEXT,__text) non-external _SQLPrepare_Internal
00000001ffd296f0 (__TEXT,__text) external _SQLPrimaryKeys
00000001ffd29898 (__TEXT,__text) external _SQLPrimaryKeysA
00000001ffd29a40 (__TEXT,__text) external _SQLPrimaryKeysW
00000001ffd294c0 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00000001ffd29e7c (__TEXT,__text) external _SQLProcedureColumns
00000001ffd2a060 (__TEXT,__text) external _SQLProcedureColumnsA
00000001ffd2a244 (__TEXT,__text) external _SQLProcedureColumnsW
00000001ffd29be8 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00000001ffd2a658 (__TEXT,__text) external _SQLProcedures
00000001ffd2a800 (__TEXT,__text) external _SQLProceduresA
00000001ffd2a9a8 (__TEXT,__text) external _SQLProceduresW
00000001ffd2a428 (__TEXT,__text) non-external _SQLProcedures_Internal
00000001ffd30604 (__TEXT,__text) external _SQLPutData
00000001ffd4e84c (__TEXT,__text) non-external _SQLReadFileDSN
