00007ff909e77405 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff909e7741c (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff909e68bd8 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00007ff909e68a48 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff909e68f00 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff909e77899 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff909e7a64d (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff909e7a6d4 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff909e77ba5 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff909e77049 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff909e7026a (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff909e79a8b (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00007ff909e702b3 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff909e708aa (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff909e79c6b (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff909e79cd5 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff909e70249 (__TEXT,__text) non-external +[MIS isAvailable]
00007ff909e707b4 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff909e79c03 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff909e79c37 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff909e70702 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff909e79bcf (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff909e704b7 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff909e79aa3 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff909e79b0d (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff909e79b41 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff909e79b75 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff909e70acd (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff909e79df3 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff909e79e73 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff909e709a9 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff909e79d09 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff909e79d73 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff909e76444 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff909e7a395 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff909e7a3ef (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff909e6a81a (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff909e6a942 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff909e690be (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff909e63b34 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff909e77fb6 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff909e637e9 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff909e77f9e (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00007ff909e6fdf9 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff909e6afe6 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff909e62026 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff909e6a3a2 (__TEXT,__text) non-external +[SPLog exec]
00007ff909e794a2 (__TEXT,__text) non-external +[SPLog exec].cold.1
00007ff909e6a626 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff909e6a306 (__TEXT,__text) non-external +[SPLog generic]
00007ff909e79472 (__TEXT,__text) non-external +[SPLog generic].cold.1
00007ff909e6a354 (__TEXT,__text) non-external +[SPLog kext]
00007ff909e7948a (__TEXT,__text) non-external +[SPLog kext].cold.1
00007ff909e6a3f0 (__TEXT,__text) non-external +[SPLog measurements]
00007ff909e794ba (__TEXT,__text) non-external +[SPLog measurements].cold.1
00007ff909e6a48c (__TEXT,__text) non-external +[SPLog sampling]
00007ff909e794ea (__TEXT,__text) non-external +[SPLog sampling].cold.1
00007ff909e6a61a (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff909e6a43e (__TEXT,__text) non-external +[SPLog signposts]
00007ff909e794d2 (__TEXT,__text) non-external +[SPLog signposts].cold.1
00007ff909e6a4da (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff909e79502 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00007ff909e73017 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff909e72849 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff909e719bc (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff909e7a001 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff909e717f8 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff909e717da (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff909e71e34 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff909e71979 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff909e71816 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff909e75c43 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff909e61aa8 (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00007ff909e63238 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff909e6315e (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff909e63017 (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff909e62e5d (__TEXT,__text) non-external -[AKELData init]
00007ff909e631ff (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff909e63125 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff909e62c03 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff909e6310f (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff909e77869 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff909e777e1 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff909e7788f (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff909e7787b (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff909e77833 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff909e77885 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff909e689ff (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff909e68104 (__TEXT,__text) non-external -[BundleData dealloc]
00007ff909e79081 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff909e68611 (__TEXT,__text) non-external -[BundleData doReload]
00007ff909e689bb (__TEXT,__text) non-external -[BundleData forceReload]
00007ff909e6819f (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff909e680f6 (__TEXT,__text) non-external -[BundleData init]
00007ff909e689d7 (__TEXT,__text) non-external -[BundleData isSigned]
00007ff909e6864d (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff909e68959 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff909e68306 (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff909e790df (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff909e79113 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff909e689f5 (__TEXT,__text) non-external -[BundleData timestamp]
00007ff909e689cd (__TEXT,__text) non-external -[BundleData url]
00007ff909e689eb (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff909e689e1 (__TEXT,__text) non-external -[BundleData version]
00007ff909e771c7 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff909e77199 (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff909e77105 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff909e771ac (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff909e77054 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff909e771a3 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff909e771b6 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff909e7661a (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff909e640e5 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff909e6409b (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff909e64080 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff909e6404a (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff909e64065 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff909e640ca (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff909e640a5 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff909e6408a (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff909e64054 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff909e6406f (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff909e640d4 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff909e640c0 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff909e640b6 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff909e75b16 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff909e7557c (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00007ff909e759a5 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff909e74860 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff909e74904 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff909e74ca3 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff909e74d58 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff909e74bc3 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff909e759d7 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff909e74fc0 (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00007ff909e75803 (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00007ff909e7a339 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00007ff909e73eb6 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff909e75257 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff909e74b31 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
