00007ff8400bce70 (__DATA,__data) external _NDR_record
00007ff800c06fe8 (__TEXT,__text) non-external __Xexception_raise
00007ff800c07090 (__TEXT,__text) non-external __Xexception_raise_state
00007ff800c0719a (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800bf3810 (__TEXT,__text) external _____sigwait_nocancel
00007ff800c1d868 (__TEXT,__const) external ____kernelVersionNumber
00007ff800c1d830 (__TEXT,__const) external ____kernelVersionString
00007ff800bf3828 (__TEXT,__text) external ___abort_with_payload
00007ff800bf3840 (__TEXT,__text) external ___accept
00007ff800bf3858 (__TEXT,__text) external ___accept_nocancel
00007ff800bf3870 (__TEXT,__text) external ___access_extended
00007ff800bf3888 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800bf38a0 (__TEXT,__text) external ___bind
00007ff800bf38b8 (__TEXT,__text) external ___bsdthread_create
00007ff800bf38d0 (__TEXT,__text) external ___bsdthread_ctl
00007ff800bf38e8 (__TEXT,__text) external ___bsdthread_register
00007ff800bf3900 (__TEXT,__text) external ___bsdthread_terminate
00007ff800c06346 (__TEXT,__text) external ___carbon_delete
00007ff800bf3918 (__TEXT,__text) external ___channel_get_info
00007ff800bf3930 (__TEXT,__text) external ___channel_get_opt
00007ff800bf3948 (__TEXT,__text) external ___channel_open
00007ff800bf3960 (__TEXT,__text) external ___channel_set_opt
00007ff800bf3978 (__TEXT,__text) external ___channel_sync
00007ff800bf3990 (__TEXT,__text) external ___chmod
00007ff800bf39a8 (__TEXT,__text) external ___chmod_extended
00007ff800bf39c0 (__TEXT,__text) external ___close_nocancel
00007ff800bf39d8 (__TEXT,__text) external ___coalition
00007ff800bf39f0 (__TEXT,__text) external ___coalition_info
00007ff800bf3a08 (__TEXT,__text) external ___coalition_ledger
00007ff800bf97d3 (__TEXT,__text) external ___commpage_gettimeofday
00007ff800bf97da (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800bf3a20 (__TEXT,__text) external ___connect
00007ff800bf3a38 (__TEXT,__text) external ___connect_nocancel
00007ff800bf3a50 (__TEXT,__text) external ___copyfile
00007ff800bf3a68 (__TEXT,__text) external ___crossarch_trap
00007ff800bf3a80 (__TEXT,__text) external ___csrctl
00007ff800bfeaec (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800bf3a98 (__TEXT,__text) external ___debug_syscall_reject
00007ff800bf3ab0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800bf3ac8 (__TEXT,__text) external ___delete
00007ff800bf3ae0 (__TEXT,__text) external ___disable_threadsignal
00007ff800bf9ef4 (__TEXT,__text) external ___error
00007ff800bf3af8 (__TEXT,__text) external ___execve
00007ff800bf3b10 (__TEXT,__text) external ___exit
00007ff800bf3b28 (__TEXT,__text) external ___fchmod
00007ff800bf3b40 (__TEXT,__text) external ___fchmod_extended
00007ff800bf3b58 (__TEXT,__text) external ___fcntl
00007ff800bf3b70 (__TEXT,__text) external ___fcntl_nocancel
00007ff800bf3b88 (__TEXT,__text) external ___fork
00007ff800bf3bc0 (__TEXT,__text) external ___fs_snapshot
00007ff800bf3bd8 (__TEXT,__text) external ___fstat64_extended
00007ff800bf3bf0 (__TEXT,__text) external ___fstat_extended
00007ff800bf3c08 (__TEXT,__text) external ___fsync_nocancel
00007ff800c03f35 (__TEXT,__text) external ___get_remove_counter
00007ff800bf3c20 (__TEXT,__text) external ___getattrlist
00007ff800bf3c38 (__TEXT,__text) external ___getdirentries64
00007ff800bf3c50 (__TEXT,__text) external ___gethostuuid
00007ff800bf3c68 (__TEXT,__text) external ___getlogin
00007ff800bf3c80 (__TEXT,__text) external ___getpeername
00007ff800bf3c98 (__TEXT,__text) external ___getpid
00007ff800bf3ccc (__TEXT,__text) external ___getrlimit
00007ff800bf3ce4 (__TEXT,__text) external ___getsgroups
00007ff800bf3cfc (__TEXT,__text) external ___getsockname
00007ff800bf3d14 (__TEXT,__text) external ___gettid
00007ff800bf3d41 (__TEXT,__text) external ___gettimeofday
00007ff800bf3d2c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800bf3d6c (__TEXT,__text) external ___getwgroups
00007ff800bf3d84 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff800bf3d9c (__TEXT,__text) external ___guarded_open_np
00007ff800bf3db4 (__TEXT,__text) external ___identitysvc
00007ff800c03f40 (__TEXT,__text) external ___inc_remove_counter
00007ff800bf3dcc (__TEXT,__text) external ___initgroups
00007ff800bf3de4 (__TEXT,__text) external ___ioctl
00007ff800bf3dfc (__TEXT,__text) external ___iopolicysys
00007ff800bf3e14 (__TEXT,__text) external ___kdebug_trace
00007ff800bf3e2c (__TEXT,__text) external ___kdebug_trace64
00007ff800bf3e44 (__TEXT,__text) external ___kdebug_trace_string
00007ff800bf3e5c (__TEXT,__text) external ___kdebug_typefilter
00007ff800c1d8d8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800c1d8a0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800bf3e74 (__TEXT,__text) external ___kill
00007ff800bf3e8c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800bf3ea4 (__TEXT,__text) external ___lchown
00007ff800bf6486 (__TEXT,__text) external ___libkernel_init
00007ff800bf64b9 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800bf64b8 (__TEXT,__text) external ___libkernel_init_late
00007ff800bf6313 (__TEXT,__text) external ___libkernel_platform_init
00007ff800bf633a (__TEXT,__text) external ___libkernel_voucher_init
00007ff800bf3ebc (__TEXT,__text) external ___listen
00007ff800bf3ed4 (__TEXT,__text) external ___log_data
00007ff800bf3eec (__TEXT,__text) external ___lseek
00007ff800bf3f04 (__TEXT,__text) external ___lstat64_extended
00007ff800bf3f1c (__TEXT,__text) external ___lstat_extended
00007ff800bf3f34 (__TEXT,__text) external ___mac_execve
00007ff800bf3f4c (__TEXT,__text) external ___mac_get_fd
00007ff800bf3f64 (__TEXT,__text) external ___mac_get_file
00007ff800bf3f7c (__TEXT,__text) external ___mac_get_link
00007ff800bf3f94 (__TEXT,__text) external ___mac_get_mount
00007ff800bf3fac (__TEXT,__text) external ___mac_get_pid
00007ff800bf3fc4 (__TEXT,__text) external ___mac_get_proc
00007ff800bf3fdc (__TEXT,__text) external ___mac_getfsstat
00007ff800bf3ff4 (__TEXT,__text) external ___mac_mount
00007ff800bf400c (__TEXT,__text) external ___mac_set_fd
00007ff800bf4024 (__TEXT,__text) external ___mac_set_file
00007ff800bf403c (__TEXT,__text) external ___mac_set_link
00007ff800bf4054 (__TEXT,__text) external ___mac_set_proc
00007ff800bf406c (__TEXT,__text) external ___mac_syscall
00007ff800bf4084 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800bf409c (__TEXT,__text) external ___mach_eventlink_signal
00007ff800bf40b4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800bf40cc (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800bf40e4 (__TEXT,__text) external ___map_with_linking_np
00007ff800bf40fc (__TEXT,__text) external ___memorystatus_available_memory
00007ff800bf4114 (__TEXT,__text) external ___microstackshot
00007ff800bf412c (__TEXT,__text) external ___mkdir_extended
00007ff800bf4144 (__TEXT,__text) external ___mkfifo_extended
00007ff800bf415c (__TEXT,__text) external ___mmap
00007ff800bf4174 (__TEXT,__text) external ___mprotect
00007ff800bf418c (__TEXT,__text) external ___msgctl
00007ff800bf41a4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800bf41bc (__TEXT,__text) external ___msgsnd_nocancel
00007ff800bf41d4 (__TEXT,__text) external ___msgsys
00007ff800bf41ec (__TEXT,__text) external ___msync
00007ff800bf4204 (__TEXT,__text) external ___msync_nocancel
00007ff800bf421c (__TEXT,__text) external ___munmap
00007ff800bf4234 (__TEXT,__text) external ___nexus_create
00007ff800bf424c (__TEXT,__text) external ___nexus_deregister
00007ff800bf4264 (__TEXT,__text) external ___nexus_destroy
00007ff800bf427c (__TEXT,__text) external ___nexus_get_opt
00007ff800bf4294 (__TEXT,__text) external ___nexus_open
00007ff800bf42ac (__TEXT,__text) external ___nexus_register
00007ff800bf42c4 (__TEXT,__text) external ___nexus_set_opt
00007ff800bf42dc (__TEXT,__text) external ___open
00007ff800bf42f4 (__TEXT,__text) external ___open_dprotected_np
00007ff800bf430c (__TEXT,__text) external ___open_extended
00007ff800bf4324 (__TEXT,__text) external ___open_nocancel
00007ff800bf433c (__TEXT,__text) external ___openat
00007ff800bf4354 (__TEXT,__text) external ___openat_dprotected_np
00007ff800bf436c (__TEXT,__text) external ___openat_nocancel
00007ff8400bcee8 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800c03533 (__TEXT,__text) external ___os_nexus_flow_add
00007ff800c035a6 (__TEXT,__text) external ___os_nexus_flow_del
00007ff800c036de (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff800c03359 (__TEXT,__text) external ___os_nexus_ifattach
00007ff800c0346a (__TEXT,__text) external ___os_nexus_ifdetach
00007ff800bf4384 (__TEXT,__text) external ___oslog_coproc
00007ff800bf439c (__TEXT,__text) external ___oslog_coproc_reg
00007ff800bf43b4 (__TEXT,__text) external ___persona
00007ff800bf43cc (__TEXT,__text) external ___pipe
00007ff800bf43e8 (__TEXT,__text) external ___poll_nocancel
00007ff800bf4400 (__TEXT,__text) external ___posix_spawn
00007ff800bf4418 (__TEXT,__text) external ___pread_nocancel
00007ff800bf4430 (__TEXT,__text) external ___preadv_nocancel
00007ff800bf4448 (__TEXT,__text) external ___proc_info
00007ff800bf4460 (__TEXT,__text) external ___proc_info_extended_id
00007ff800bf4478 (__TEXT,__text) external ___process_policy
00007ff800bf4490 (__TEXT,__text) external ___pselect
00007ff800bf44a8 (__TEXT,__text) external ___pselect_nocancel
00007ff800bf44c0 (__TEXT,__text) external ___psynch_cvbroad
00007ff800bf44d8 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff800bf44f0 (__TEXT,__text) external ___psynch_cvsignal
00007ff800bf4508 (__TEXT,__text) external ___psynch_cvwait
00007ff800bf4520 (__TEXT,__text) external ___psynch_mutexdrop
00007ff800bf4538 (__TEXT,__text) external ___psynch_mutexwait
00007ff800bf4550 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800bf4568 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff800bf4580 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800bf4598 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800bf45b0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800bf45c8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800bf45e0 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800bf45f8 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800bf4610 (__TEXT,__text) external ___pthread_canceled
00007ff800bf4628 (__TEXT,__text) external ___pthread_chdir
00007ff800bf4640 (__TEXT,__text) external ___pthread_fchdir
00007ff800bf4658 (__TEXT,__text) external ___pthread_kill
