0000000182bba330 (__DATA,__data) non-external _C
0000000182bc6cf8 (__DATA,__bss) non-external _EMSG
0000000182bc6cf9 (__DATA,__bss) non-external _EMSG
0000000182bbc050 (__DATA,__bss) non-external _NXArgc_pointer
0000000182bbc048 (__DATA,__bss) non-external _NXArgv_pointer
0000000180a3edb8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180a7c874 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180a3edcc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180a55f10 (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180a55f60 (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180a56084 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180a56030 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
0000000180b9a728 (__DATA_CONST,__const) non-external __C_messages_locale
0000000180b9a748 (__DATA_CONST,__const) non-external __C_monetary_locale
0000000180b9a7f0 (__DATA_CONST,__const) non-external __C_numeric_locale
0000000180b9aa40 (__DATA_CONST,__const) non-external __C_time_locale
0000000182bbabb0 (__DATA,__data) external __CurrentRuneLocale
0000000182bbb240 (__DATA,__constrw) external __DefaultRuneLocale
0000000182be15b8 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180a58004 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
0000000180a58088 (__TEXT,__text) non-external __EUC_CN_mbrtowc
0000000180a580d0 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
0000000180a580bc (__TEXT,__text) non-external __EUC_CN_wcrtomb
0000000180a580d4 (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
0000000180a581c8 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
0000000180a5824c (__TEXT,__text) non-external __EUC_JP_mbrtowc
0000000180a58294 (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
0000000180a58280 (__TEXT,__text) non-external __EUC_JP_wcrtomb
0000000180a58298 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
0000000180a580f4 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
0000000180a58178 (__TEXT,__text) non-external __EUC_KR_mbrtowc
0000000180a581c0 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
0000000180a581ac (__TEXT,__text) non-external __EUC_KR_wcrtomb
0000000180a581c4 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
0000000180a58320 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
0000000180a583a4 (__TEXT,__text) non-external __EUC_TW_mbrtowc
0000000180a583ec (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
0000000180a583d8 (__TEXT,__text) non-external __EUC_TW_wcrtomb
0000000180a583f0 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
0000000180a5829c (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180a583f4 (__TEXT,__text) non-external __EUC_mbrtowc_impl
0000000180a580d8 (__TEXT,__text) non-external __EUC_mbsinit
0000000180a58518 (__TEXT,__text) non-external __EUC_wcrtomb_impl
0000000180a7d0cc (__TEXT,__text) external __Exit
0000000180a58710 (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180a58760 (__TEXT,__text) non-external __GB18030_mbrtowc
0000000180a589dc (__TEXT,__text) non-external __GB18030_mbsinit
0000000180a588d0 (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180a589f8 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180a58a48 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180a58bbc (__TEXT,__text) non-external __GB2312_mbsinit
0000000180a58b68 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180a58bd8 (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180a58c28 (__TEXT,__text) non-external __GBK_mbrtowc
0000000180a58d4c (__TEXT,__text) non-external __GBK_mbsinit
0000000180a58cf8 (__TEXT,__text) non-external __GBK_wcrtomb
0000000180a5a26c (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180a5a2bc (__TEXT,__text) non-external __MSKanji_mbrtowc
0000000180a5a404 (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180a5a39c (__TEXT,__text) non-external __MSKanji_wcrtomb
0000000180a3e24c (__TEXT,__text) external __NSGetArgc
0000000180a3e240 (__TEXT,__text) external __NSGetArgv
0000000180a3e258 (__TEXT,__text) external __NSGetEnviron
0000000180a3e270 (__TEXT,__text) external __NSGetMachExecuteHeader
0000000180a3e264 (__TEXT,__text) external __NSGetProgname
0000000182bc6df0 (__DATA,__common) external __PathLocale
0000000180a85b48 (__TEXT,__text) external __Read_RuneMagi
0000000180a7c89c (__TEXT,__text) non-external (was a private external) __UTF2_init
