                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
000000027866ccb8 (__TEXT,__text) non-external _sbuf_extend
000000027866cde0 (__TEXT,__text) non-external _sbuf_put_byte
000000027866c9c8 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
000000027866c998 (__TEXT,__text) external _usbuf_bcat
000000027866cabc (__TEXT,__text) external _usbuf_bcpy
000000027866cb04 (__TEXT,__text) external _usbuf_cat
000000027866c854 (__TEXT,__text) external _usbuf_clear
000000027866c828 (__TEXT,__text) external _usbuf_clear_flags
000000027866c898 (__TEXT,__text) external _usbuf_count_drain
000000027866cb4c (__TEXT,__text) external _usbuf_cpy
000000027866d030 (__TEXT,__text) external _usbuf_data
000000027866d060 (__TEXT,__text) external _usbuf_delete
000000027866d0c8 (__TEXT,__text) external _usbuf_done
000000027866c8b4 (__TEXT,__text) external _usbuf_drain
000000027866d10c (__TEXT,__text) external _usbuf_end_section
000000027866cf8c (__TEXT,__text) external _usbuf_error
000000027866cf94 (__TEXT,__text) external _usbuf_finish
000000027866c820 (__TEXT,__text) external _usbuf_get_flags
000000027866c4b8 (__TEXT,__text) external _usbuf_hexdump
000000027866d038 (__TEXT,__text) external _usbuf_len
000000027866c710 (__TEXT,__text) external _usbuf_new
000000027866ce84 (__TEXT,__text) external _usbuf_nl_terminate
000000027866cd80 (__TEXT,__text) external _usbuf_printf
000000027866c6b4 (__TEXT,__text) external _usbuf_printf_drain
000000027866c684 (__TEXT,__text) external _usbuf_putbuf
000000027866cdac (__TEXT,__text) external _usbuf_putc
000000027866c8ac (__TEXT,__text) external _usbuf_set_drain
000000027866c840 (__TEXT,__text) external _usbuf_set_flags
000000027866c870 (__TEXT,__text) external _usbuf_setpos
000000027866d0d4 (__TEXT,__text) external _usbuf_start_section
000000027866cee4 (__TEXT,__text) external _usbuf_trim
000000027866cbac (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
