00007ffb00f71e62 (__TEXT,__text) non-external _DiToMD5
00007ffb00f720e2 (__TEXT,__text) non-external _DiToSHA1
00007ffb00f5af89 (__TEXT,__text) external _DriverExecutableMain
00007ffb401da4c8 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb00f5a8f0 (__TEXT,__text) external _IOCallOnce
00007ffb401da788 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb401da690 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb401da880 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb401daa30 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb00f578a1 (__TEXT,__text) external _IODelay
00007ffb401dabe0 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb401dad90 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb00f5b55b (__TEXT,__text) external _IODriverKitTest
00007ffb00f82c72 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb00f82c9d (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb00f82cc0 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb00f82ceb (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb00f82d0e (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb00f82d31 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb00f82d54 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb00f82d77 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb401daf40 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb401db0f0 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb00f5784d (__TEXT,__text) external _IOFree
00007ffb00f57887 (__TEXT,__text) external _IOFreeData
00007ffb00f5b540 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb401db9c0 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb401db2d0 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb00f578b4 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb00f5a5d8 (__TEXT,__text) external _IOLockAlloc
00007ffb00f5a631 (__TEXT,__text) external _IOLockAssert
00007ffb00f826c6 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffb00f5a5fd (__TEXT,__text) external _IOLockFree
00007ffb00f5a613 (__TEXT,__text) external _IOLockLock
00007ffb00f5a61d (__TEXT,__text) external _IOLockTryLock
00007ffb00f5a627 (__TEXT,__text) external _IOLockUnlock
00007ffb00f57650 (__TEXT,__text) external _IOLog
00007ffb00f57510 (__TEXT,__text) external _IOLogBuffer
00007ffb00f576ee (__TEXT,__text) external _IOLogv
00007ffb00f577f7 (__TEXT,__text) external _IOMalloc
00007ffb00f57857 (__TEXT,__text) external _IOMallocData
00007ffb00f57817 (__TEXT,__text) external _IOMallocTyped
00007ffb00f57821 (__TEXT,__text) external _IOMallocZero
00007ffb00f5786b (__TEXT,__text) external _IOMallocZeroData
00007ffb00f57838 (__TEXT,__text) external _IOMallocZeroTyped
00007ffb401db480 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb401db630 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb00f57934 (__TEXT,__text) external _IOParseBootArgNumber
00007ffb00f57da8 (__TEXT,__text) external _IOParseBootArgString
00007ffb00f597fd (__TEXT,__text) external _IORPCMessageFromMach
00007ffb00f82461 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb00f82496 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffb00f5a844 (__TEXT,__text) external _IORWLockAlloc
00007ffb00f827de (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb00f5a887 (__TEXT,__text) external _IORWLockFree
00007ffb00f5a8ae (__TEXT,__text) external _IORWLockRead
00007ffb00f82801 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb00f5a8da (__TEXT,__text) external _IORWLockUnlock
00007ffb00f82847 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb00f5a8c4 (__TEXT,__text) external _IORWLockWrite
00007ffb00f82824 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb00f5a6b4 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb00f5a6ea (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffb00f5a7ac (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb00f82775 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb00f5a700 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb00f826e9 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb00f8270c (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb00f5a7e0 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb00f82798 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb00f827bb (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb00f5a758 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb00f8272f (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb00f82752 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb00f5a64e (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb00f5a674 (__TEXT,__text) external _IORecursiveLockFree
00007ffb00f5a6a0 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb00f5a68a (__TEXT,__text) external _IORecursiveLockLock
00007ffb00f5a6aa (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb00f5a696 (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb401dba60 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb401db7e0 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb401dc090 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb401dc240 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb401dbee0 (__DATA_CONST,__const) external _IOService_Class
00007ffb401db880 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb00f57891 (__TEXT,__text) external _IOSleep
00007ffb401db920 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb00f5a967 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb00f5a902 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb00f5a931 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb00f5a946 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb401de040 (__DATA_CONST,__const) external _IOThread_Class
00007ffb401dc3f0 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb401dc5a0 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb00f5afcf (__TEXT,__text) external _IOUserServerMain
00007ffb00f82af1 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb00f82c2c (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb00f82c4f (__TEXT,__text) non-external _IOUserServerMain.cold.11
00007ffb00f82b14 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb00f82b37 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb00f82b5a (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb00f82b7d (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb00f82ba0 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffb00f82bc3 (__TEXT,__text) non-external _IOUserServerMain.cold.7
