00007ff943312370 (__DATA,__bss) non-external _AGCPrinter
00007ff90a03f563 (__TEXT,__text) external _AIRNTClone
00007ff90a03f4b1 (__TEXT,__text) external _AIRNTDispose
00007ff90a03fb9c (__TEXT,__text) external _AIRNTDisposeCompilationContext
00007ff90a0404a8 (__TEXT,__text) external _AIRNTEmitAssembly
00007ff90a043923 (__TEXT,__text) external _AIRNTEmitBuiltinExecutableImage
00007ff90a0405c6 (__TEXT,__text) external _AIRNTEmitDylibImage
00007ff90a043093 (__TEXT,__text) external _AIRNTEmitExecutableImage
00007ff90a040537 (__TEXT,__text) external _AIRNTEmitObject
00007ff90a044bb4 (__TEXT,__text) external _AIRNTEmitPipelineImage
00007ff90a047f30 (__TEXT,__text) external _AIRNTEmitPipelineImages
00007ff90a03fbff (__TEXT,__text) external _AIRNTGetDefaultArch
00007ff90a03e7c0 (__TEXT,__text) external _AIRNTGetLLVMVersion
00007ff90a04ae00 (__TEXT,__text) external _AIRNTGetLegalizationPasses
00007ff90a0402c4 (__TEXT,__text) external _AIRNTGetPreferredAIRArch
00007ff90a03fc2d (__TEXT,__text) external _AIRNTGetSupportedArchs
00007ff90a0402ee (__TEXT,__text) external _AIRNTGetSupportedBitcodeVersion
00007ff90a03fe1f (__TEXT,__text) external _AIRNTGetSupportedImpls
00007ff90a03fbf2 (__TEXT,__text) external _AIRNTGetVendorName
00007ff90a03fbe0 (__TEXT,__text) external _AIRNTGetVersion
00007ff90a03e7c8 (__TEXT,__text) external _AIRNTInit
00007ff90a03f5f7 (__TEXT,__text) external _AIRNTInitCompilationContext
00007ff90a0402f9 (__TEXT,__text) external _AIRNTParseCommandLineOptions
00007ff90a03fee3 (__TEXT,__text) external _AIRNTSupportsArch
00007ff90a040498 (__TEXT,__text) external _AIRNTSupportsEmitBuiltinExecutableImage
00007ff90a040490 (__TEXT,__text) external _AIRNTSupportsEmitExecutableImage
00007ff90a04000d (__TEXT,__text) external _AIRNTSupportsTarget
00007ff90a0404a0 (__TEXT,__text) external _AIRNTSupportsThreads
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFURLCopyFileSystemPath (from CoreFoundation)
00007ff909ea6bce (__TEXT,__text) external _GLCompilerBuildRequest
00007ff909ea6bc0 (__TEXT,__text) external _GLCompilerCreate
00007ff909ea6bc8 (__TEXT,__text) external _GLCompilerDelete
00007ff909ea6bd6 (__TEXT,__text) external _GLCompilerLogBuildRequest
00007ff909ea6bde (__TEXT,__text) external _GLCompilerReleaseReply
                 (undefined) external _LLVMAGXRuntimeMajorVersion (from libLLVM)
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
00007ff909eac0f7 (__TEXT,__text) external _MTLCompilerBuildRequest
00007ff909ea9805 (__TEXT,__text) external _MTLCompilerBuildRequestWithOptions
00007ff909eac0a6 (__TEXT,__text) external _MTLCompilerBuildRequestWithSerializedBitcode
00007ff909ea6be4 (__TEXT,__text) external _MTLCompilerCreate
00007ff909ea975e (__TEXT,__text) external _MTLCompilerDelete
00007ff909eac173 (__TEXT,__text) external _MTLCompilerReleaseReply
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
00007ff909f50b1f (__TEXT,__text) non-external __Z10parseMDIntPKcPKN4llvm6MDNodeERjS5_
00007ff909ea806a (__TEXT,__text) non-external __Z11initPrinterRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEb13AGCTargetArch
00007ff909f517a3 (__TEXT,__text) non-external __Z11parseMDTypeIN4llvm6MDNodeEEbPKcPKS1_RjRPT_
00007ff909f50bcf (__TEXT,__text) non-external __Z12parseMDUint3PKN4llvm6MDNodeEPKcRjRNSt3__15arrayIjLm3EEE
00007ff909f092a6 (__TEXT,__text) non-external __Z12pixelTypeMapv
00007ff909eb64b9 (__TEXT,__text) non-external __Z12printHexDumpRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKhmjPKcb
00007ff909ea8b00 (__TEXT,__text) non-external __Z12printMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKcz
00007ff909f0871a (__TEXT,__text) non-external __Z13bufferTypeMapv
00007ff909f50d3e (__TEXT,__text) non-external __Z13parseMDAccessPKN4llvm6MDNodeERjR14ResourceAccess
00007ff909f51873 (__TEXT,__text) non-external __Z13parseMDBufferPKN4llvm6MDNodeEjRjS3_S3_S3_RPS0_R14ResourceAccessRbS3_S8_
00007ff909ed46a0 (__TEXT,__text) non-external __Z14attribute_nameRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00007ff909f50ddb (__TEXT,__text) non-external __Z14parseMDSamplerPKN4llvm6MDNodeERjS3_Rb
00007ff909f50f38 (__TEXT,__text) non-external __Z14parseMDTexturePKN4llvm6MDNodeERjS3_R14ResourceAccessRbS6_S6_S3_
00007ff909eb42d3 (__TEXT,__text) non-external __Z16dumpShaderToFilePKc
00007ff90a03c8f8 (__TEXT,__text) non-external __Z17SimplifyGenericIRPN4llvm6ModuleEb
00007ff90a04ae5b (__TEXT,__text) non-external __Z19GetAGCActiveTargetsv
00007ff909f50ca7 (__TEXT,__text) non-external __Z20parseMDLocationIndexPKN4llvm6MDNodeERjS3_S3_
00007ff90a03d4f2 (__TEXT,__text) non-external __Z21EraseInstructionChainPN4llvm5ValueE
00007ff909eb5d3d (__TEXT,__text) non-external __Z21isValidToPrintMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEE
00007ff909ffef17 (__TEXT,__text) non-external __Z27AGCLLVMCreateG9TargetConfig13AGCTargetArch
00007ff909feef86 (__TEXT,__text) non-external __Z28AGCLLVMCreateG14TargetConfig13AGCTargetArch
00007ff909ff0b58 (__TEXT,__text) non-external __Z28AGCLLVMCreateG15TargetConfig13AGCTargetArch
00007ff909eacc42 (__TEXT,__text) non-external __Z28validateUserLocalMemoryUsagejjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00007ff909eace27 (__TEXT,__text) non-external __Z32validateUserMeshLocalMemoryUsagejjjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00007ff909f2dac4 (__TEXT,__text) non-external __Z36getComputeControlFlowBitcodeFileNameRK10AGCLLVMCtx
00007ff909ead3c6 (__TEXT,__text) non-external __Z37validateMaxTotalThreadsPerThreadgroupjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERj
00007ff90a02a37a (__TEXT,__text) non-external __Z45newObjectArrayWithIntersectionShadersIfNeededI27_AGCFragmentContextStateAGPEP17AGCLLVMObjectBaseP17AGCLLVMUserShaderR10AGCLLVMCtxPN4llvm6ModuleEPKT_
00007ff94330fab8 (__DATA,__bss) non-external __ZGVZ12pixelTypeMapvE23localPixelFormatTypeMap
00007ff94330fa98 (__DATA,__bss) non-external __ZGVZ13bufferTypeMapvE18localBufferTypeMap
00007ff9433123a8 (__DATA,__bss) non-external __ZGVZ19GetAGCActiveTargetsvE12active_impls
00007ff943311618 (__DATA,__bss) non-external __ZGVZ21agcStreamToken2StringjE15mapToken2String
00007ff943312098 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG5TargetConfig13AGCTargetArchE5g5pC0
00007ff943312128 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9gA0
00007ff9433120e0 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9pA0
00007ff943311670 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG10TargetConfig13AGCTargetArchE6g10pB0
00007ff943311748 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11gA0
00007ff943311700 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mA0
00007ff9433117d8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mB0
00007ff9433116b8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pA0
00007ff943311790 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pB0
00007ff943311820 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pA0
00007ff943311868 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pB0
00007ff94301fb08 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cA0
00007ff943311900 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cB0
00007ff9433118b0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dA0
00007ff943311948 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dB0
00007ff94301f9e8 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gA0
00007ff94301fa78 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gB0
00007ff94301f9a0 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pA0
00007ff94301fa30 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pB0
00007ff94301fac0 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sA0
00007ff94301fb58 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sB0
00007ff943311a20 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gA0
00007ff943311a68 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gB0
00007ff943311990 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pA0
00007ff9433119d8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pB0
00007ff943311e58 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cA0
00007ff943311ea0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB0
00007ff943311ee8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB1
00007ff943311f30 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15dA0
00007ff943311f78 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15dB0
00007ff943311ca8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gA0
00007ff943311cf0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gB0
00007ff943311d38 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gC0
00007ff943311c60 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15pB0
00007ff943311d80 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sA0
00007ff943311dc8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB0
00007ff943311e10 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB1
00007ff943311fc0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pA0
00007ff943312008 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pB0
