000000018276dda8 (__DATA,__data) external _NDR_record
00000001806749b4 (__TEXT,__text) non-external __Xexception_raise
00000001806748a0 (__TEXT,__text) non-external __Xexception_raise_state
000000018067473c (__TEXT,__text) non-external __Xexception_raise_state_identity
000000018065cccc (__TEXT,__text) external _____sigwait_nocancel
000000018068eaf8 (__TEXT,__const) external ____kernelVersionNumber
000000018068eac0 (__TEXT,__const) external ____kernelVersionString
000000018065ccf8 (__TEXT,__text) external ___abort_with_payload
000000018065cd24 (__TEXT,__text) external ___accept
000000018065cd50 (__TEXT,__text) external ___accept_nocancel
000000018065cd7c (__TEXT,__text) external ___access_extended
000000018065cda8 (__TEXT,__text) external ___aio_suspend_nocancel
000000018065cdd4 (__TEXT,__text) external ___bind
000000018065ce00 (__TEXT,__text) external ___bsdthread_create
000000018065ce2c (__TEXT,__text) external ___bsdthread_ctl
000000018065ce58 (__TEXT,__text) external ___bsdthread_register
000000018065ce84 (__TEXT,__text) external ___bsdthread_terminate
0000000180673908 (__TEXT,__text) external ___carbon_delete
000000018065ceb0 (__TEXT,__text) external ___channel_get_info
000000018065cedc (__TEXT,__text) external ___channel_get_opt
000000018065cf08 (__TEXT,__text) external ___channel_open
000000018065cf34 (__TEXT,__text) external ___channel_set_opt
000000018065cf60 (__TEXT,__text) external ___channel_sync
000000018065cf8c (__TEXT,__text) external ___chmod
000000018065cfb8 (__TEXT,__text) external ___chmod_extended
000000018065cfe4 (__TEXT,__text) external ___close_nocancel
000000018065d010 (__TEXT,__text) external ___coalition
000000018065d03c (__TEXT,__text) external ___coalition_info
000000018065d068 (__TEXT,__text) external ___coalition_ledger
0000000180665224 (__TEXT,__text) external ___commpage_gettimeofday
000000018066522c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
000000018065d094 (__TEXT,__text) external ___connect
000000018065d0c0 (__TEXT,__text) external ___connect_nocancel
000000018065d0ec (__TEXT,__text) external ___copyfile
000000018065d118 (__TEXT,__text) external ___crossarch_trap
000000018065d144 (__TEXT,__text) external ___csrctl
000000018066ab40 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000018065d170 (__TEXT,__text) external ___debug_syscall_reject
000000018065d19c (__TEXT,__text) external ___debug_syscall_reject_config
000000018065d1c8 (__TEXT,__text) external ___delete
000000018065d1f4 (__TEXT,__text) external ___disable_threadsignal
00000001806659f8 (__TEXT,__text) external ___error
000000018065d220 (__TEXT,__text) external ___execve
000000018065d24c (__TEXT,__text) external ___exit
000000018065d278 (__TEXT,__text) external ___fchmod
000000018065d2a4 (__TEXT,__text) external ___fchmod_extended
000000018065d2d0 (__TEXT,__text) external ___fcntl
000000018065d2fc (__TEXT,__text) external ___fcntl_nocancel
000000018065d328 (__TEXT,__text) external ___fork
000000018065d374 (__TEXT,__text) external ___fs_snapshot
000000018065d3a0 (__TEXT,__text) external ___fstat64_extended
000000018065d3cc (__TEXT,__text) external ___fstat_extended
000000018065d3f8 (__TEXT,__text) external ___fsync_nocancel
0000000180671240 (__TEXT,__text) external ___get_remove_counter
000000018065d424 (__TEXT,__text) external ___getattrlist
000000018065d450 (__TEXT,__text) external ___getdirentries64
000000018065d47c (__TEXT,__text) external ___gethostuuid
000000018065d4a8 (__TEXT,__text) external ___getlogin
000000018065d4d4 (__TEXT,__text) external ___getpeername
000000018065d500 (__TEXT,__text) external ___getpid
000000018065d550 (__TEXT,__text) external ___getrlimit
000000018065d57c (__TEXT,__text) external ___getsgroups
000000018065d5a8 (__TEXT,__text) external ___getsockname
000000018065d5d4 (__TEXT,__text) external ___gettid
000000018065d62c (__TEXT,__text) external ___gettimeofday
000000018065d600 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000018065d65c (__TEXT,__text) external ___getwgroups
000000018065d688 (__TEXT,__text) external ___guarded_open_dprotected_np
000000018065d6b4 (__TEXT,__text) external ___guarded_open_np
000000018065d6e0 (__TEXT,__text) external ___identitysvc
0000000180671254 (__TEXT,__text) external ___inc_remove_counter
000000018065d70c (__TEXT,__text) external ___initgroups
000000018065d738 (__TEXT,__text) external ___ioctl
000000018065d764 (__TEXT,__text) external ___iopolicysys
000000018065d790 (__TEXT,__text) external ___kdebug_trace
000000018065d7bc (__TEXT,__text) external ___kdebug_trace64
000000018065d7e8 (__TEXT,__text) external ___kdebug_trace_string
000000018065d814 (__TEXT,__text) external ___kdebug_typefilter
000000018068eb68 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
000000018068eb30 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
000000018065d840 (__TEXT,__text) external ___kill
000000018065d86c (__TEXT,__text) external ___kqueue_workloop_ctl
000000018065d898 (__TEXT,__text) external ___lchown
0000000180661d44 (__TEXT,__text) external ___libkernel_init
0000000180661df8 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180661df4 (__TEXT,__text) external ___libkernel_init_late
0000000180661b6c (__TEXT,__text) external ___libkernel_platform_init
0000000180661ba4 (__TEXT,__text) external ___libkernel_voucher_init
000000018065d8c4 (__TEXT,__text) external ___listen
000000018065d8f0 (__TEXT,__text) external ___log_data
000000018065d91c (__TEXT,__text) external ___lseek
000000018065d948 (__TEXT,__text) external ___lstat64_extended
000000018065d974 (__TEXT,__text) external ___lstat_extended
000000018065d9a0 (__TEXT,__text) external ___mac_execve
000000018065d9cc (__TEXT,__text) external ___mac_get_fd
000000018065d9f8 (__TEXT,__text) external ___mac_get_file
000000018065da24 (__TEXT,__text) external ___mac_get_link
000000018065da50 (__TEXT,__text) external ___mac_get_mount
000000018065da7c (__TEXT,__text) external ___mac_get_pid
000000018065daa8 (__TEXT,__text) external ___mac_get_proc
000000018065dad4 (__TEXT,__text) external ___mac_getfsstat
000000018065db00 (__TEXT,__text) external ___mac_mount
000000018065db2c (__TEXT,__text) external ___mac_set_fd
000000018065db58 (__TEXT,__text) external ___mac_set_file
000000018065db84 (__TEXT,__text) external ___mac_set_link
000000018065dbb0 (__TEXT,__text) external ___mac_set_proc
