00000001e4299b74 (__TEXT,__text) non-external _DiToMD5
00000001e4299ee4 (__TEXT,__text) non-external _DiToSHA1
00000001e427f3c8 (__TEXT,__text) external _DriverExecutableMain
00000002104e93a8 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
00000002104e9668 (__AUTH_CONST,__const) external _IOCommandPool_Class
00000002104e9570 (__AUTH_CONST,__const) external _IOCommand_Class
00000002104e9760 (__AUTH_CONST,__const) external _IODMACommand_Class
00000002104e9910 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001e427bbb4 (__TEXT,__text) external _IODelay
00000002104e9ac0 (__AUTH_CONST,__const) external _IODispatchQueue_Class
00000002104e9c70 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001e427f958 (__TEXT,__text) external _IODriverKitTest
00000001e42aa3f0 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001e42aa424 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001e42aa450 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001e42aa484 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001e42aa4b0 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001e42aa4dc (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001e42aa508 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001e42aa534 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00000002104e9e20 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001e427bb80 (__TEXT,__text) external _IOFree
00000001e427bba4 (__TEXT,__text) external _IOFreeData
00000001e427f928 (__TEXT,__text) external _IOGetExecutableSDKVersion
00000002104ea6c0 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
00000002104e9fd0 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001e427bbc0 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001e427e688 (__TEXT,__text) external _IOLockAlloc
00000001e427e6c8 (__TEXT,__text) external _IOLockAssert
00000001e42a9cd0 (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001e427e6ac (__TEXT,__text) external _IOLockFree
00000001e427e6bc (__TEXT,__text) external _IOLockLock
00000001e427e6c0 (__TEXT,__text) external _IOLockTryLock
00000001e427e6c4 (__TEXT,__text) external _IOLockUnlock
00000001e427ba58 (__TEXT,__text) external _IOLog
00000001e427b8fc (__TEXT,__text) external _IOLogBuffer
00000001e427ba84 (__TEXT,__text) external _IOLogv
00000001e427bb60 (__TEXT,__text) external _IOMalloc
00000001e427bb84 (__TEXT,__text) external _IOMallocData
00000001e427bb74 (__TEXT,__text) external _IOMallocZero
00000001e427bb98 (__TEXT,__text) external _IOMallocZeroData
00000002104ea180 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
00000002104ea330 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001e427bc60 (__TEXT,__text) external _IOParseBootArgNumber
00000001e427c1b0 (__TEXT,__text) external _IOParseBootArgString
00000001e427d6fc (__TEXT,__text) external _IORPCMessageFromMach
00000001e42a99d8 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001e42a9a18 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001e427e930 (__TEXT,__text) external _IORWLockAlloc
00000001e42a9e30 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001e427e974 (__TEXT,__text) external _IORWLockFree
00000001e427e9b8 (__TEXT,__text) external _IORWLockRead
00000001e42a9e5c (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001e427e9f8 (__TEXT,__text) external _IORWLockUnlock
00000001e42a9eb4 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001e427e9d8 (__TEXT,__text) external _IORWLockWrite
00000001e42a9e88 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001e427e750 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001e427e78c (__TEXT,__text) external _IORecursiveConditionLockFree
00000001e427e874 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001e42a9dac (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001e427e79c (__TEXT,__text) external _IORecursiveConditionLockLock
00000001e42a9cfc (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001e42a9d28 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001e427e8b8 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001e42a9dd8 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001e42a9e04 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001e427e804 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001e42a9d54 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001e42a9d80 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001e427e708 (__TEXT,__text) external _IORecursiveLockAlloc
00000001e427e72c (__TEXT,__text) external _IORecursiveLockFree
00000001e427e748 (__TEXT,__text) external _IORecursiveLockHaveLock
00000001e427e73c (__TEXT,__text) external _IORecursiveLockLock
00000001e427e74c (__TEXT,__text) external _IORecursiveLockTryLock
00000001e427e744 (__TEXT,__text) external _IORecursiveLockUnlock
00000002104ea760 (__AUTH_CONST,__const) external _IOReportLegend_Class
00000002104ea4e0 (__AUTH_CONST,__const) external _IOReporter_Class
00000002104ead90 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00000002104eaf40 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00000002104eabe0 (__AUTH_CONST,__const) external _IOService_Class
00000002104ea580 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001e427bba8 (__TEXT,__text) external _IOSleep
00000002104ea620 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000002104ecd40 (__AUTH_CONST,__const) external _IOThread_Class
00000002104eb0f0 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000002104eb2a0 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e427f41c (__TEXT,__text) external _IOUserServerMain
00000001e42aa238 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e42aa3c4 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e42aa264 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e42aa290 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001e42aa2bc (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e42aa2e8 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e42aa314 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e42aa340 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e42aa36c (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e42aa398 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00000002104eb620 (__AUTH_CONST,__const) external _IOUserServer_Class
000000020f55d7b0 (__DATA_DIRTY,__common) external _IOVMPageSize
00000002104eb7d0 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e4299d48 (__TEXT,__text) external _MD5Final
00000001e4299aac (__TEXT,__text) external _MD5Init
00000001e4299cd0 (__TEXT,__text) non-external _MD5ToDi
00000001e4299be0 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00000002104eb980 (__AUTH_CONST,__const) external _OSAction_Class
00000002104eb340 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00000002104eca80 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e4289750 (__TEXT,__text) external _OSArrayAppendValue
00000001e42893c4 (__TEXT,__text) external _OSArrayApply
00000001e4288ff8 (__TEXT,__text) external _OSArrayCreate
00000001e4288564 (__TEXT,__text) external _OSArrayGetCount
00000001e42897f8 (__TEXT,__text) external _OSArrayGetStringValue
00000001e42898a8 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e4289784 (__TEXT,__text) external _OSArrayGetValue
00000001e4289748 (__TEXT,__text) external _OSArrayReplaceValue
00000001e4289824 (__TEXT,__text) external _OSArraySetStringValue
00000001e42899b0 (__TEXT,__text) external _OSArraySetUInt64Value
00000001e4289570 (__TEXT,__text) external _OSArraySetValue
00000002104ebb30 (__AUTH_CONST,__const) external _OSArray_Class
00000002104ebc28 (__AUTH_CONST,__const) external _OSBoolean_Class
00000002104ebd20 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e4287384 (__TEXT,__text) external _OSCollectionTypeID
00000001e42ab1a8 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e42872b4 (__TEXT,__text) external _OSCollectionTypeName
00000001e42ab150 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00000002104ebe18 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e428c940 (__TEXT,__text) external _OSCollectionsInitialize
00000002104ebf10 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e428740c (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e42ab200 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e428a368 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001e42ab780 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e428a23c (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e42883a0 (__TEXT,__text) external _OSDataAppendBytes
00000001e4288304 (__TEXT,__text) external _OSDataCreate
00000001e4288298 (__TEXT,__text) external _OSDataGetBytes
00000001e428824c (__TEXT,__text) external _OSDataGetBytesPtr
00000001e4288288 (__TEXT,__text) external _OSDataGetLength
00000002104ec070 (__AUTH_CONST,__const) external _OSData_Class
00000001e4288570 (__TEXT,__text) external _OSDictionaryApply
00000001e42884f0 (__TEXT,__text) external _OSDictionaryCreate
00000001e4288558 (__TEXT,__text) external _OSDictionaryGetCount
00000001e4288d24 (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e4288eac (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e4288c80 (__TEXT,__text) external _OSDictionaryGetValue
00000001e4288e28 (__TEXT,__text) external _OSDictionarySetStringValue
