00000001803435dc (__TEXT,__text) external _OSAtomicAdd32
0000000180343698 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180343794 (__TEXT,__text) external _OSAtomicAdd64
0000000180343914 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001803438a0 (__TEXT,__text) external _OSAtomicAnd32
000000018034424c (__TEXT,__text) external _OSAtomicAnd32Barrier
00000001803441b8 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001803437b8 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001803435c8 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180343658 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180342654 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180343644 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180343858 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180343944 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180343878 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001803437c4 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
000000018034388c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
000000018034366c (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180342ba4 (__TEXT,__text) external _OSAtomicDecrement32
000000018034370c (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180343904 (__TEXT,__text) external _OSAtomicDecrement64
00000001803438b0 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180340d30 (__TEXT,__text) external _OSAtomicDequeue
0000000180340ff0 (__TEXT,__text) external _OSAtomicEnqueue
000000018034578c (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180345774 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180342b94 (__TEXT,__text) external _OSAtomicIncrement32
00000001803436fc (__TEXT,__text) external _OSAtomicIncrement32Barrier
000000018034345c (__TEXT,__text) external _OSAtomicIncrement64
0000000180343848 (__TEXT,__text) external _OSAtomicIncrement64Barrier
000000018034386c (__TEXT,__text) external _OSAtomicOr32
0000000180343680 (__TEXT,__text) external _OSAtomicOr32Barrier
000000018034393c (__TEXT,__text) external _OSAtomicOr32Orig
0000000180345ab4 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
00000001803438c0 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180344208 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000001803441c4 (__TEXT,__text) external _OSAtomicTestAndSet
00000001803437d8 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180345abc (__TEXT,__text) external _OSAtomicXor32
000000018034368c (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180345ac8 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180345ad0 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
000000018034363c (__TEXT,__text) external _OSMemoryBarrier
0000000180343438 (__TEXT,__text) external _OSSpinLockLock
00000001803437a0 (__TEXT,__text) external _OSSpinLockTry
0000000180343454 (__TEXT,__text) external _OSSpinLockUnlock
0000000180346658 (__TEXT,__const) non-external _UUID_NULL
0000000180346668 (__TEXT,__const) non-external __0x
000000018034676d (__TEXT,__cstring) non-external __H
0000000180345b00 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
