00007ffd0b560cb4 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffd0b561031 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffd0b5600e4 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffd0b5607f2 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffd0b5608fa (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffd0b4e8eef (__TEXT,__text) external _AAArchiveStreamCancel
00007ffd0b4e8eb8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffd0b4fee66 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffd0b4e8e6a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffd0b4e8e50 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffd0b4e8e9e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffd0b4e8e84 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffd0b4ea4ff (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffd0b4ee1ae (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffd0b4ee0f3 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffd0b4ee034 (__TEXT,__text) external _AAAssetBuilderCreate
00007ffd0b4ee0e2 (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffd0b555d10 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffd0b4ee24c (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffd0b4ee1b9 (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffd0b4ee8a3 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffd0b4eee72 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffd0b4ef8dc (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffd0b4ef867 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffd0b4ef383 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffd0b568680 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffd0b568695 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffd0b56809b (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffd0b56852a (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffd0b51f99e (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffd0b4ffd74 (__TEXT,__text) external _AAByteRangeAdd
00007ffd0b4ffc72 (__TEXT,__text) external _AAByteRangeClone
00007ffd0b4ffbd6 (__TEXT,__text) external _AAByteRangeCreate
00007ffd0b4ffc4c (__TEXT,__text) external _AAByteRangeDestroy
00007ffd0b4fff40 (__TEXT,__text) external _AAByteRangeFirst
00007ffd0b50004e (__TEXT,__text) external _AAByteRangeNext
00007ffd0b4ffed6 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffd0b4ffe64 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffd0b4ffdf0 (__TEXT,__text) external _AAByteRangeSub
00007ffd0b55f1d4 (__TEXT,__text) external _AAByteStreamCancel
00007ffd0b55f1e9 (__TEXT,__text) external _AAByteStreamClose
00007ffd0b55f220 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffd0b55f269 (__TEXT,__text) external _AAByteStreamFlush
00007ffd0b55f19c (__TEXT,__text) external _AAByteStreamPRead
00007ffd0b55f29d (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffd0b55f164 (__TEXT,__text) external _AAByteStreamPWrite
00007ffd0b53892d (__TEXT,__text) external _AAByteStreamProcess
00007ffd0b55f180 (__TEXT,__text) external _AAByteStreamRead
00007ffd0b55f1b8 (__TEXT,__text) external _AAByteStreamSeek
00007ffd0b55f283 (__TEXT,__text) external _AAByteStreamTruncate
00007ffd0b55f0b3 (__TEXT,__text) external _AAByteStreamWrite
00007ffd0b51deb2 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffd0b51d5d1 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffd0b535ad6 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffd0b563a58 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffd0b5643a5 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffd0b5272e8 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffd0b4e8f04 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffd0b4e8f7d (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffd0b4e8f73 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffd0b4e8f6a (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffd0b4e8fa5 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffd0b4e8f9b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
