000000018ab6dd58 (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
000000018ab6cca4 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
000000018ab6e05c (__TEXT,__text) external _BZ2_bzCompress
000000018ab6e1e8 (__TEXT,__text) external _BZ2_bzCompressEnd
000000018ab6de6c (__TEXT,__text) external _BZ2_bzCompressInit
000000018ab6ce90 (__TEXT,__text) external _BZ2_bzDecompress
000000018ab6dcd4 (__TEXT,__text) external _BZ2_bzDecompressEnd
000000018ab6cdb8 (__TEXT,__text) external _BZ2_bzDecompressInit
000000018ab747e0 (__TEXT,__text) external _BZ2_bzRead
000000018ab74738 (__TEXT,__text) external _BZ2_bzReadClose
000000018ab749e8 (__TEXT,__text) external _BZ2_bzReadGetUnused
000000018ab745ac (__TEXT,__text) external _BZ2_bzReadOpen
000000018ab74248 (__TEXT,__text) external _BZ2_bzWrite
000000018ab74390 (__TEXT,__text) external _BZ2_bzWriteClose
000000018ab743a0 (__TEXT,__text) external _BZ2_bzWriteClose64
000000018ab740f8 (__TEXT,__text) external _BZ2_bzWriteOpen
000000018ab74d64 (__TEXT,__text) external _BZ2_bzclose
000000018ab74cac (__TEXT,__text) external _BZ2_bzdopen
000000018ab74e28 (__TEXT,__text) external _BZ2_bzerror
000000018ab74d5c (__TEXT,__text) external _BZ2_bzflush
000000018ab73c8c (__TEXT,__text) external _BZ2_bzlibVersion
000000018ab74a5c (__TEXT,__text) external _BZ2_bzopen
000000018ab74cc0 (__TEXT,__text) external _BZ2_bzread
000000018ab74d10 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
