000000018e184688 (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
000000018e183688 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
000000018e184970 (__TEXT,__text) external _BZ2_bzCompress
000000018e184b08 (__TEXT,__text) external _BZ2_bzCompressEnd
000000018e18478c (__TEXT,__text) external _BZ2_bzCompressInit
000000018e183868 (__TEXT,__text) external _BZ2_bzDecompress
000000018e1845f8 (__TEXT,__text) external _BZ2_bzDecompressEnd
000000018e183790 (__TEXT,__text) external _BZ2_bzDecompressInit
000000018e18ade4 (__TEXT,__text) external _BZ2_bzRead
000000018e18ad50 (__TEXT,__text) external _BZ2_bzReadClose
000000018e18afe8 (__TEXT,__text) external _BZ2_bzReadGetUnused
000000018e18abc0 (__TEXT,__text) external _BZ2_bzReadOpen
000000018e18a868 (__TEXT,__text) external _BZ2_bzWrite
000000018e18a9ac (__TEXT,__text) external _BZ2_bzWriteClose
000000018e18a9bc (__TEXT,__text) external _BZ2_bzWriteClose64
000000018e18a71c (__TEXT,__text) external _BZ2_bzWriteOpen
000000018e18b34c (__TEXT,__text) external _BZ2_bzclose
000000018e18b28c (__TEXT,__text) external _BZ2_bzdopen
000000018e18b414 (__TEXT,__text) external _BZ2_bzerror
000000018e18b344 (__TEXT,__text) external _BZ2_bzflush
000000018e18a2b8 (__TEXT,__text) external _BZ2_bzlibVersion
000000018e18b05c (__TEXT,__text) external _BZ2_bzopen
000000018e18b2a0 (__TEXT,__text) external _BZ2_bzread
000000018e18b2f8 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
