00007ff81bf7b2a3 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81bf80ac2 (__TEXT,__text) non-external +[CalCalendar calendar]
00007ff81bf8522e (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
00007ff81bf80698 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00007ff81bf8088c (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00007ff81bf804a1 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00007ff81bf80221 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00007ff81bf7a572 (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00007ff81bf79f2e (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00007ff81bf79e20 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00007ff81bf7fabe (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00007ff81bf7a35e (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00007ff81bf7d0c6 (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
00007ff81bf7cfcb (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00007ff81bf7fd5f (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00007ff81bf7fe7a (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00007ff81bf7ffbe (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00007ff81bf800dd (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00007ff81bf7f912 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00007ff81bf81b11 (__TEXT,__text) non-external +[CalEvent event]
00007ff81bf82282 (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
00007ff81bf83dca (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00007ff81bf83e96 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
00007ff81bf83ee3 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
00007ff81bf831d6 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
00007ff81bf831b5 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00007ff81bf855c1 (__TEXT,__text) non-external +[CalTask task]
00007ff81bf81ade (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
00007ff81bf7c41a (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00007ff81bf7c430 (__TEXT,__text) non-external -[CalAlarm acknowledged]
00007ff81bf7c38c (__TEXT,__text) non-external -[CalAlarm action]
00007ff81bf819d6 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00007ff81bf7c224 (__TEXT,__text) non-external -[CalAlarm description]
00007ff81bf81a48 (__TEXT,__text) non-external -[CalAlarm ekAlarm]
00007ff81bf7c3ee (__TEXT,__text) non-external -[CalAlarm emailAddress]
00007ff81bf8140a (__TEXT,__text) non-external -[CalAlarm hash]
00007ff81bf811e1 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
00007ff81bf7b2bc (__TEXT,__text) non-external -[CalAlarm init]
00007ff81bf81420 (__TEXT,__text) non-external -[CalAlarm isEqual:]
00007ff81bf81a7a (__TEXT,__text) non-external -[CalAlarm relatedToString]
00007ff81bf81304 (__TEXT,__text) non-external -[CalAlarm relatedTo]
00007ff81bf7c404 (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00007ff81bf7b318 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00007ff81bf7b5aa (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00007ff81bf7b312 (__TEXT,__text) non-external -[CalAlarm setAction:]
00007ff81bf81a52 (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00007ff81bf7b5d6 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00007ff81bf81275 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00007ff81bf81a84 (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00007ff81bf7b32e (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00007ff81bf7b5c0 (__TEXT,__text) non-external -[CalAlarm setSound:]
00007ff81bf81ab6 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00007ff81bf7b5ec (__TEXT,__text) non-external -[CalAlarm setUrl:]
00007ff81bf7c3d8 (__TEXT,__text) non-external -[CalAlarm sound]
00007ff81bf8136a (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00007ff81bf81aac (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00007ff81bf7c3c2 (__TEXT,__text) non-external -[CalAlarm url]
00007ff81bf7cfbb (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00007ff81bf7c97a (__TEXT,__text) non-external -[CalAttendee address]
00007ff81bf7c990 (__TEXT,__text) non-external -[CalAttendee commonName]
00007ff81bf7cf17 (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00007ff81bf7c8a0 (__TEXT,__text) non-external -[CalAttendee description]
00007ff81bf7cf89 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00007ff81bf7cc25 (__TEXT,__text) non-external -[CalAttendee hash]
00007ff81bf7cb91 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00007ff81bf7cc3b (__TEXT,__text) non-external -[CalAttendee isEqual:]
00007ff81bf7cf93 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00007ff81bf7c9a6 (__TEXT,__text) non-external -[CalAttendee status]
00007ff81bf811d1 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00007ff81bf7c1dd (__TEXT,__text) non-external -[CalCalendar color]
00007ff81bf81135 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00007ff81bf7c03b (__TEXT,__text) non-external -[CalCalendar description]
00007ff81bf8119f (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00007ff81bf80c6a (__TEXT,__text) non-external -[CalCalendar hash]
00007ff81bf80bd6 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00007ff81bf80adb (__TEXT,__text) non-external -[CalCalendar init]
00007ff81bf7a348 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff81bf80c80 (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff81bf7c192 (__TEXT,__text) non-external -[CalCalendar notes]
00007ff81bf7a332 (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff81bf811a9 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00007ff81bf7a31c (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff81bf7a306 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff81bf7c17c (__TEXT,__text) non-external -[CalCalendar title]
00007ff81bf7c1f3 (__TEXT,__text) non-external -[CalCalendar type]
00007ff81bf7a937 (__TEXT,__text) non-external -[CalCalendar uid]
00007ff81bf85599 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00007ff81bf7b39e (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff81bf845e6 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff81bf7bd25 (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff81bf7bcbb (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff81bf854cb (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff81bf7bc63 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff81bf7baee (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff81bf85535 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00007ff81bf845c8 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff81bf854b5 (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff81bf84484 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
