00000001e8202898 (__DATA,__bss) non-external _AGCPrinter
00000001a78fcb5c (__TEXT,__text) external _AIRNTClone
00000001a78fca74 (__TEXT,__text) external _AIRNTDispose
00000001a78fd070 (__TEXT,__text) external _AIRNTDisposeCompilationContext
00000001a78fdae0 (__TEXT,__text) external _AIRNTEmitAssembly
00000001a7900d00 (__TEXT,__text) external _AIRNTEmitBuiltinExecutableImage
00000001a78fdc20 (__TEXT,__text) external _AIRNTEmitDylibImage
00000001a79003f4 (__TEXT,__text) external _AIRNTEmitExecutableImage
00000001a78fdb80 (__TEXT,__text) external _AIRNTEmitObject
00000001a79029e4 (__TEXT,__text) external _AIRNTEmitPipelineImage
00000001a7905dc0 (__TEXT,__text) external _AIRNTEmitPipelineImages
00000001a78fd0fc (__TEXT,__text) external _AIRNTGetDefaultArch
00000001a78fbe74 (__TEXT,__text) external _AIRNTGetLLVMVersion
00000001a7908834 (__TEXT,__text) external _AIRNTGetLegalizationPasses
00000001a78fd114 (__TEXT,__text) external _AIRNTGetSupportedArchs
00000001a78fd908 (__TEXT,__text) external _AIRNTGetSupportedBitcodeVersion
00000001a78fd380 (__TEXT,__text) external _AIRNTGetSupportedImpls
00000001a78fd0f0 (__TEXT,__text) external _AIRNTGetVendorName
00000001a78fd0dc (__TEXT,__text) external _AIRNTGetVersion
00000001a78fbe7c (__TEXT,__text) external _AIRNTInit
00000001a78fcc00 (__TEXT,__text) external _AIRNTInitCompilationContext
00000001a78fd910 (__TEXT,__text) external _AIRNTParseCommandLineOptions
00000001a78fd474 (__TEXT,__text) external _AIRNTSupportsArch
00000001a78fdad0 (__TEXT,__text) external _AIRNTSupportsEmitBuiltinExecutableImage
00000001a78fdac8 (__TEXT,__text) external _AIRNTSupportsEmitExecutableImage
00000001a78fd5d4 (__TEXT,__text) external _AIRNTSupportsTarget
00000001a78fdad8 (__TEXT,__text) external _AIRNTSupportsThreads
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithBytes (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyFileSystemPath (from CoreFoundation)
00000001a7758e14 (__TEXT,__text) external _GLCompilerBuildRequest
00000001a7758e08 (__TEXT,__text) external _GLCompilerCreate
00000001a7758e10 (__TEXT,__text) external _GLCompilerDelete
00000001a7758e1c (__TEXT,__text) external _GLCompilerLogBuildRequest
00000001a7758e24 (__TEXT,__text) external _GLCompilerReleaseReply
                 (undefined) external _LLVMAGXRuntimeMajorVersion (from libLLVM)
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
00000001a775e51c (__TEXT,__text) external _MTLCompilerBuildRequest
00000001a775be9c (__TEXT,__text) external _MTLCompilerBuildRequestWithOptions
00000001a775e4c0 (__TEXT,__text) external _MTLCompilerBuildRequestWithSerializedBitcode
00000001a7758e28 (__TEXT,__text) external _MTLCompilerCreate
00000001a775bdac (__TEXT,__text) external _MTLCompilerDelete
00000001a775e5a0 (__TEXT,__text) external _MTLCompilerReleaseReply
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
