                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff812e28b83 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff812e2599a (__TEXT,__text) external _FSp_profile_init
00007ff812e259a7 (__TEXT,__text) external _FSp_profile_init_path
00007ff812e28b8e (__TEXT,__text) external _FSp_put_svc_key
00007ff812e28b99 (__TEXT,__text) external _FSp_read_service_key
00007ff8438200c0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff8438200e0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff843820090 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff843820070 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff843820030 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff843820050 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff843820010 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff843820170 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff843820138 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff843820100 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff843820148 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff843820128 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff812e28cea (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff812e28cdf (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff812e28c5f (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff812e28bd0 (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff812e28bfc (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff812e28ed9 (__TEXT,__text) external _KClientAddServiceKey
00007ff812e28ba4 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff812e28f3c (__TEXT,__text) external _KClientDecrypt
00007ff812e28d6e (__TEXT,__text) external _KClientDecryptCompat
00007ff812e28c6a (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff812e28bdb (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff812e28c07 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff812e28c49 (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007ff812e28f89 (__TEXT,__text) external _KClientDisposePrincipal
00007ff812e28e1e (__TEXT,__text) external _KClientDisposeSession
00007ff812e28d0b (__TEXT,__text) external _KClientDisposeSessionCompat
00007ff812e28f31 (__TEXT,__text) external _KClientEncrypt
00007ff812e28d63 (__TEXT,__text) external _KClientEncryptCompat
00007ff812e28eef (__TEXT,__text) external _KClientGetAuthenticatorForService
00007ff812e28f5d (__TEXT,__text) external _KClientGetCCacheReference
00007ff812e28e29 (__TEXT,__text) external _KClientGetClientPrincipal
00007ff812e28c54 (__TEXT,__text) external _KClientGetCredentialsDeprecated
00007ff812e28f1b (__TEXT,__text) external _KClientGetEncryptedServiceReply
00007ff812e28c96 (__TEXT,__text) external _KClientGetErrorTextDeprecated
00007ff812e28e8c (__TEXT,__text) external _KClientGetExpirationTime
00007ff812e28e55 (__TEXT,__text) external _KClientGetLocalAddress
00007ff812e28baf (__TEXT,__text) external _KClientGetLocalRealmDeprecated
00007ff812e28c80 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
00007ff812e28be6 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
00007ff812e28bf1 (__TEXT,__text) external _KClientGetNthServerDeprecated
