00000001804e387c (__TEXT,__text) external _OSAtomicAdd32
00000001804e393c (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001804e3a38 (__TEXT,__text) external _OSAtomicAdd64
00000001804e3bb0 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001804e3b40 (__TEXT,__text) external _OSAtomicAnd32
00000001804e4660 (__TEXT,__text) external _OSAtomicAnd32Barrier
00000001804e45d4 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001804e3a5c (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001804e3868 (__TEXT,__text) external _OSAtomicCompareAndSwap32
00000001804e38fc (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
00000001804e28f4 (__TEXT,__text) external _OSAtomicCompareAndSwap64
00000001804e38e8 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001804e3af8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001804e3be0 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001804e3b18 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001804e3a68 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001804e3b2c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001804e3910 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001804e2e34 (__TEXT,__text) external _OSAtomicDecrement32
00000001804e39b0 (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001804e3ba0 (__TEXT,__text) external _OSAtomicDecrement64
00000001804e3b50 (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001804e0ff0 (__TEXT,__text) external _OSAtomicDequeue
00000001804e12cc (__TEXT,__text) external _OSAtomicEnqueue
00000001804e5dd8 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001804e71ac (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
00000001804e5d70 (__TEXT,__text) external _OSAtomicFifoEnqueue
00000001804e71ac (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
00000001804e2e24 (__TEXT,__text) external _OSAtomicIncrement32
00000001804e39a0 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001804e36fc (__TEXT,__text) external _OSAtomicIncrement64
00000001804e3ae8 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001804e3b0c (__TEXT,__text) external _OSAtomicOr32
00000001804e3924 (__TEXT,__text) external _OSAtomicOr32Barrier
00000001804e3bd8 (__TEXT,__text) external _OSAtomicOr32Orig
00000001804e696c (__TEXT,__text) external _OSAtomicOr32OrigBarrier
00000001804e3b60 (__TEXT,__text) external _OSAtomicTestAndClear
00000001804e4620 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000001804e45e0 (__TEXT,__text) external _OSAtomicTestAndSet
00000001804e3a7c (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001804e6974 (__TEXT,__text) external _OSAtomicXor32
00000001804e3930 (__TEXT,__text) external _OSAtomicXor32Barrier
00000001804e6980 (__TEXT,__text) external _OSAtomicXor32Orig
00000001804e6988 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
00000001804e38e0 (__TEXT,__text) external _OSMemoryBarrier
00000001804e36d8 (__TEXT,__text) external _OSSpinLockLock
00000001804e3a44 (__TEXT,__text) external _OSSpinLockTry
00000001804e36f4 (__TEXT,__text) external _OSSpinLockUnlock
00000001804e7958 (__TEXT,__const) non-external _UUID_NULL
00000001804e7ab0 (__TEXT,__cstring) non-external __0x
