000000018cdecd89 (__TEXT,__const) non-external _DOWNCASE_TBL
000000018cded88c (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018cded38c (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018cdece8c (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018cded78c (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018cded28c (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018cdda7dc (__TEXT,__text) non-external _active_outbound_item_reset
000000018cddf424 (__TEXT,__text) non-external _add_hd_table_incremental
000000018cde3080 (__TEXT,__text) non-external _bubble_down
000000018cde3004 (__TEXT,__text) non-external _bubble_up
000000018cdda704 (__TEXT,__text) non-external _buf_chain_new
000000018cde4350 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018cdda5b8 (__TEXT,__text) non-external _default_calloc
000000018cdda974 (__TEXT,__text) non-external _default_free
000000018cdda654 (__TEXT,__text) non-external _default_malloc
000000018cdda7d8 (__TEXT,__text) non-external _default_realloc
000000018cddf6f8 (__TEXT,__text) non-external _emit_newname_block
000000018cddf014 (__TEXT,__text) non-external _emit_string
000000018cde1d40 (__TEXT,__text) non-external _emit_table_size
000000018cde5e80 (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018cddf7d8 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018cde5470 (__TEXT,__text) non-external _free_streams
000000018cde6668 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018cde1b98 (__TEXT,__text) non-external _hd_context_free
000000018cde0070 (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018cde2ed8 (__TEXT,__text) non-external _hd_get_table_entry
000000018cde1004 (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018cde10c4 (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018cde0f20 (__TEXT,__text) non-external _hd_inflate_read_huff
000000018cde0e08 (__TEXT,__text) non-external _hd_inflate_read_len
000000018cde1c28 (__TEXT,__text) non-external _hd_ringbuf_get
000000018cde8d48 (__TEXT,__const) non-external _huff_decode_table
000000018cde8540 (__TEXT,__const) non-external _huff_sym_table
000000018cddd790 (__TEXT,__text) non-external _insert
000000018cde236c (__TEXT,__text) non-external _insert_link_dep
000000018cdde1c8 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
000000018cde20c0 (__TEXT,__text) non-external _map_resize
00000001d7d447b8 (__AUTH,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000018cddb230 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000018cddaac0 (__TEXT,__text) non-external _nghttp2_bufs_add
000000018cddf778 (__TEXT,__text) non-external _nghttp2_bufs_addb
000000018cde1cd4 (__TEXT,__text) non-external _nghttp2_bufs_free
000000018cde8358 (__TEXT,__text) external _nghttp2_check_authority
000000018cdd9d4c (__TEXT,__text) external _nghttp2_check_header_name
000000018cdd9d98 (__TEXT,__text) external _nghttp2_check_header_value
000000018cde8284 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
000000018cde82f0 (__TEXT,__text) external _nghttp2_check_method
000000018cde8324 (__TEXT,__text) external _nghttp2_check_path
000000018cddf984 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000018cde2654 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
000000018cddd968 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
000000018cde2774 (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
000000018cde2574 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
000000018cddd938 (__TEXT,__text) external _nghttp2_hd_deflate_bound
000000018cde0028 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
000000018cde2d0c (__TEXT,__text) external _nghttp2_hd_deflate_del
000000018cde2f34 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
000000018cde2f3c (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
000000018cde2ec8 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
000000018cde2ed4 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
000000018cde29e4 (__TEXT,__text) external _nghttp2_hd_deflate_hd
000000018cddda8c (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
000000018cde2ae8 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
000000018cdda5bc (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
000000018cde2c7c (__TEXT,__text) external _nghttp2_hd_deflate_new
000000018cde2c84 (__TEXT,__text) external _nghttp2_hd_deflate_new2
000000018cde28dc (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
000000018cde2e84 (__TEXT,__text) external _nghttp2_hd_inflate_del
000000018cde116c (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
000000018cde1c7c (__TEXT,__text) non-external _nghttp2_hd_inflate_free
000000018cde2f54 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
000000018cde2f5c (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
000000018cde2f44 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
000000018cde2f50 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
000000018cde2d50 (__TEXT,__text) external _nghttp2_hd_inflate_hd
000000018cde2d54 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
000000018cde0788 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
000000018cdda658 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
000000018cde2dfc (__TEXT,__text) external _nghttp2_hd_inflate_new
000000018cde2e04 (__TEXT,__text) external _nghttp2_hd_inflate_new2
000000018cddf2f4 (__TEXT,__text) non-external _nghttp2_hd_table_get
000000018cde838c (__TEXT,__text) external _nghttp2_http2_strerror
000000018cde46c4 (__TEXT,__text) non-external _nghttp2_http_on_request_headers
000000018cde11ac (__TEXT,__text) non-external _nghttp2_http_on_response_headers
000000018cde4468 (__TEXT,__text) non-external _nghttp2_http_parse_priority
000000018cddd83c (__TEXT,__text) non-external _nghttp2_http_record_request_method
000000018cde7efc (__TEXT,__text) non-external _nghttp2_increase_local_window_size
000000018cde5154 (__TEXT,__text) external _nghttp2_is_fatal
000000018cddaeb0 (__TEXT,__text) non-external _nghttp2_iv_check
000000018cde017c (__TEXT,__text) non-external _nghttp2_map_each
000000018cddb19c (__TEXT,__text) non-external _nghttp2_map_find
000000018cddb5d4 (__TEXT,__text) non-external _nghttp2_nv_array_copy
000000018cde284c (__TEXT,__text) external _nghttp2_nv_compare_name
000000018cdd694c (__TEXT,__text) external _nghttp2_option_del
000000018cdd6858 (__TEXT,__text) external _nghttp2_option_new
000000018cde1fec (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
000000018cde205c (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
000000018cde2070 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
000000018cde1fa0 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
000000018cde2048 (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
000000018cde2084 (__TEXT,__text) external _nghttp2_option_set_max_settings
000000018cde2034 (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
000000018cdd6894 (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
000000018cdd68e0 (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
000000018cdd68b8 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
000000018cdd68cc (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
000000018cde1f8c (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
000000018cde20ac (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
000000018cdd68a8 (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
000000018cde2098 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
000000018cde1fb4 (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
000000018cdda8a4 (__TEXT,__text) non-external _nghttp2_outbound_item_free
000000018cde4ff0 (__TEXT,__text) external _nghttp2_pack_settings_payload
000000018cde2f64 (__TEXT,__text) non-external _nghttp2_pq_push
000000018cde312c (__TEXT,__text) non-external _nghttp2_pq_remove
000000018cde3240 (__TEXT,__text) external _nghttp2_priority_spec_check_default
000000018cddb5c0 (__TEXT,__text) external _nghttp2_priority_spec_default_init
000000018cdda080 (__TEXT,__text) external _nghttp2_priority_spec_init
000000018cdd9800 (__TEXT,__text) external _nghttp2_rcbuf_decref
000000018cde4778 (__TEXT,__text) external _nghttp2_rcbuf_get_buf
000000018cddf38c (__TEXT,__text) external _nghttp2_rcbuf_incref
000000018cde4784 (__TEXT,__text) external _nghttp2_rcbuf_is_static
000000018cddf3a4 (__TEXT,__text) non-external _nghttp2_rcbuf_new
000000018cde1e1c (__TEXT,__text) external _nghttp2_select_next_protocol
000000018cde192c (__TEXT,__text) non-external _nghttp2_session_add_goaway
000000018cddaf44 (__TEXT,__text) non-external _nghttp2_session_add_item
000000018cde6808 (__TEXT,__text) non-external _nghttp2_session_add_ping
000000018cde5870 (__TEXT,__text) non-external _nghttp2_session_add_rst_stream
000000018cddab50 (__TEXT,__text) non-external _nghttp2_session_add_settings
000000018cddb328 (__TEXT,__text) non-external _nghttp2_session_add_window_update
000000018cde5b34 (__TEXT,__text) non-external _nghttp2_session_adjust_closed_stream
000000018cddcaa4 (__TEXT,__text) non-external _nghttp2_session_adjust_idle_stream
000000018cdd6948 (__TEXT,__text) external _nghttp2_session_callbacks_del
000000018cdd67d0 (__TEXT,__text) external _nghttp2_session_callbacks_new
000000018cdd680c (__TEXT,__text) external _nghttp2_session_callbacks_set_before_frame_send_callback
