00000001000e0360 (__TEXT,__text) external _ConvertUTF16toUTF8
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000010002b8f0 (__TEXT,__text) non-external __GLOBAL__sub_I_BitcodeWriter.cpp
00000001000deec8 (__TEXT,__text) non-external __GLOBAL__sub_I_CommandLine.cpp
0000000100066fa0 (__TEXT,__text) non-external __GLOBAL__sub_I_Dominators.cpp
00000001000b2424 (__TEXT,__text) non-external __GLOBAL__sub_I_LegacyPassManager.cpp
00000001000edffc (__TEXT,__text) non-external __GLOBAL__sub_I_Process.cpp
00000001000eefec (__TEXT,__text) non-external __GLOBAL__sub_I_Signals.cpp
00000001000e90d8 (__TEXT,__text) non-external __GLOBAL__sub_I_Timer.cpp
00000001000ca6f4 (__TEXT,__text) non-external __GLOBAL__sub_I_Verifier.cpp
0000000100003f60 (__TEXT,__text) non-external __GLOBAL__sub_I_llvm_as.cpp
0000000100128060 (__DATA,__bss) non-external __MergedGlobals
0000000100128378 (__DATA,__bss) non-external __MergedGlobals
00000001001283e8 (__DATA,__bss) non-external __MergedGlobals
0000000100128428 (__DATA,__bss) non-external __MergedGlobals
0000000100128b80 (__DATA,__bss) non-external __MergedGlobals
0000000100128ee8 (__DATA,__bss) non-external __MergedGlobals
0000000100128f00 (__DATA,__bss) non-external __MergedGlobals
0000000100128f30 (__DATA,__bss) non-external __MergedGlobals
0000000100129078 (__DATA,__bss) non-external __MergedGlobals
0000000100129138 (__DATA,__bss) non-external __MergedGlobals
0000000100129960 (__DATA,__bss) non-external __MergedGlobals
0000000100129b58 (__DATA,__bss) non-external __MergedGlobals
0000000100129b78 (__DATA,__bss) non-external __MergedGlobals
0000000100128f28 (__DATA,__bss) non-external __ZGVZN4llvm22EnablePrettyStackTraceEvE17HandlerRegistered
0000000100128008 (__DATA,__data) non-external (was a private external) __ZGVZN4llvm7hashing6detail18get_execution_seedEvE4seed
0000000100049310 (__TEXT,__text) non-external __ZL10IdxComparePN4llvm8ConstantES1_PNS_4TypeE
00000001000e2d90 (__TEXT,__text) non-external __ZL10PrintStackPKN4llvm21PrettyStackTraceEntryERNS_11raw_ostreamE
0000000100128ef8 (__DATA,__bss) non-external __ZL10StaticList
000000010011bd48 (__TEXT,__const) non-external __ZL10colorcodes
0000000100045618 (__TEXT,__text) non-external __ZL11FoldBitCastPN4llvm8ConstantEPNS_4TypeE
0000000100128010 (__DATA,__data) non-external __ZL11ProgramName
000000010002a010 (__TEXT,__text) non-external __ZL11WriteMDNodePKN4llvm6MDNodeERKNS_15ValueEnumeratorERNS_15BitstreamWriterERNS_15SmallVectorImplIyEE
000000010001ead4 (__TEXT,__text) non-external __ZL11WriteModulePKN4llvm6ModuleERNS_15BitstreamWriterE
00000001000ea4f8 (__TEXT,__text) non-external __ZL11parseVendorN4llvm9StringRefE
00000001000e2bc8 (__TEXT,__text) non-external __ZL12CrashHandlerPv
000000010002a274 (__TEXT,__text) non-external __ZL12WriteUseListPKN4llvm5ValueERKNS_15ValueEnumeratorERNS_15BitstreamWriterE
00000001000db174 (__TEXT,__text) non-external __ZL12printHelpStrN4llvm9StringRefEmm
00000001000a20a0 (__TEXT,__text) non-external __ZL13DecodeIITTypeRjN4llvm8ArrayRefIhEERNS0_15SmallVectorImplINS0_9Intrinsic13IITDescriptorEEE
00000001000da7c4 (__TEXT,__text) non-external __ZL13GetOptionInfoRN4llvm15SmallVectorImplIPNS_2cl6OptionEEES5_RNS_9StringMapIS3_NS_15MallocAllocatorEEE
0000000100128410 (__DATA,__bss) non-external __ZL13GlobalContext
0000000100030960 (__TEXT,__text) non-external __ZL13PrintLLVMNameRN4llvm11raw_ostreamENS_9StringRefE10PrefixType
00000001000daf38 (__TEXT,__text) non-external __ZL13ProvideOptionPN4llvm2cl6OptionENS_9StringRefES3_iPKPKcRi
00000001000eebbc (__TEXT,__text) non-external __ZL13SignalHandleri
0000000100008af8 (__TEXT,__text) non-external __ZL13UnEscapeLexedRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
0000000100022ef0 (__TEXT,__text) non-external __ZL13WriteFunctionRKN4llvm8FunctionERNS_15ValueEnumeratorERNS_15BitstreamWriterE
0000000100010f04 (__TEXT,__text) non-external __ZL13getTypeStringPN4llvm4TypeE
0000000100129128 (__DATA,__bss) non-external __ZL14DummyTimeValue
00000001000de900 (__TEXT,__text) non-external __ZL14OptNameComparePKvS0_
