00007ff802de2fcf (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff802de2f8d (__TEXT,__text) external _CreateLSTMData
00007ff802de2e42 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff802de3168 (__TEXT,__text) external _DeleteLSTMData
00007ff802de3199 (__TEXT,__text) external _LSTMDataName
00007ff802dc41dc (__TEXT,__text) external _T_CString_int64ToString
00007ff802dc413d (__TEXT,__text) external _T_CString_integerToString
00007ff802dc427b (__TEXT,__text) external _T_CString_stringToInteger
00007ff802dc40dd (__TEXT,__text) external _T_CString_toLowerCase
00007ff802dc410d (__TEXT,__text) external _T_CString_toUpperCase
00007ff802e2876f (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff802e2852b (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff802e2842e (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff802e28647 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff802e28d0d (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff802e28cbb (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff802e28525 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff802e28cdd (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff802e745f5 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff802fc8ee7 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff802dbc5f0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff802dbc586 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff802dbc668 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff802dbc65c (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff802dbc580 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff802dbc57a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
