00007ff80262c311 (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff80262c2cf (__TEXT,__text) external _CreateLSTMData
00007ff80262c184 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff80262c4aa (__TEXT,__text) external _DeleteLSTMData
00007ff80262c4db (__TEXT,__text) external _LSTMDataName
00007ff80260d480 (__TEXT,__text) external _T_CString_int64ToString
00007ff80260d3e1 (__TEXT,__text) external _T_CString_integerToString
00007ff80260d51f (__TEXT,__text) external _T_CString_stringToInteger
00007ff80260d381 (__TEXT,__text) external _T_CString_toLowerCase
00007ff80260d3b1 (__TEXT,__text) external _T_CString_toUpperCase
00007ff8026719cf (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff80267178b (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff80267168e (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff8026718a7 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff802671f6d (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff802671f1b (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff802671785 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff802671f3d (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8026bd8f0 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff802811b85 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff8026058f0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff802605886 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff802605968 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff80260595c (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff802605880 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff80260587a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff802605870 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff8026e5290 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
00007ff8026e5380 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00007ff8026e51ca (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff8026e521a (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff8026e524a (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff8026e5244 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff8026e523a (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff8026e5250 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00007ff80260cda6 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00007ff80260cfb0 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00007ff80260ca06 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00007ff80260ce8a (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00007ff80260cf28 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00007ff80260ceea (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00007ff80260d01c (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00007ff80260cc2e (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00007ff80260cbe8 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00007ff80260c9ba (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00007ff80260cbc6 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00007ff80260c87c (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00007ff80260c81e (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00007ff80260c886 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00007ff802709a58 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00007ff802709944 (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00007ff80270980a (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
00007ff802709910 (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
00007ff8027097de (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
00007ff8027098f8 (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00007ff802709426 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
00007ff802709442 (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
00007ff8027098b4 (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
00007ff802709868 (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
00007ff8027092fa (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
00007ff8027092d0 (__TEXT,__text) external __ZN3icu10DateFormat18createTimeInstanceENS0_6EStyleERKNS_6LocaleE
00007ff802709a22 (__TEXT,__text) external __ZN3icu10DateFormat18setCalendarLenientEa
00007ff8027097d4 (__TEXT,__text) external __ZN3icu10DateFormat19getAvailableLocalesERi
00007ff802709aa0 (__TEXT,__text) external __ZN3icu10DateFormat19setBooleanAttributeE27UDateFormatBooleanAttributeaR10UErrorCode
00007ff8027092e2 (__TEXT,__text) external __ZN3icu10DateFormat22createDateTimeInstanceENS0_6EStyleES1_RKNS_6LocaleE
00007ff8027095ac (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonEPNS_8CalendarERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff8027097b0 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringER10UErrorCode
00007ff8027096f4 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff802709316 (__TEXT,__text) external __ZN3icu10DateFormat6createENS0_6EStyleES1_RKNS_6LocaleE
00007ff802708db0 (__TEXT,__text) external __ZN3icu10DateFormatC2ERKS0_
00007ff802708d76 (__TEXT,__text) external __ZN3icu10DateFormatC2Ev
00007ff802708ed4 (__TEXT,__text) external __ZN3icu10DateFormatD0Ev
00007ff802708ece (__TEXT,__text) external __ZN3icu10DateFormatD1Ev
00007ff802708e88 (__TEXT,__text) external __ZN3icu10DateFormatD2Ev
00007ff802708df6 (__TEXT,__text) external __ZN3icu10DateFormataSERKS0_
00007ff80273fa9c (__TEXT,__text) external __ZN3icu10GenderInfo11getInstanceERKNS_6LocaleER10UErrorCode
00007ff80273fbc6 (__TEXT,__text) external __ZN3icu10GenderInfo12loadInstanceERKNS_6LocaleER10UErrorCode
00007ff80273fee4 (__TEXT,__text) external __ZN3icu10GenderInfo18getNeutralInstanceEv
00007ff80273ff04 (__TEXT,__text) external __ZN3icu10GenderInfo21getMaleTaintsInstanceEv
00007ff80273fef2 (__TEXT,__text) external __ZN3icu10GenderInfo23getMixedNeutralInstanceEv
00007ff80273fa4c (__TEXT,__text) external __ZN3icu10GenderInfoC1Ev
00007ff80273fa66 (__TEXT,__text) external __ZN3icu10GenderInfoC2Ev
00007ff80273fa80 (__TEXT,__text) external __ZN3icu10GenderInfoD0Ev
00007ff80273fa5c (__TEXT,__text) external __ZN3icu10GenderInfoD1Ev
00007ff80273fa76 (__TEXT,__text) external __ZN3icu10GenderInfoD2Ev
00007ff802638218 (__TEXT,__text) external __ZN3icu10Normalizer10quickCheckERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00007ff8026388ae (__TEXT,__text) external __ZN3icu10Normalizer11clearBufferEv
00007ff802638360 (__TEXT,__text) external __ZN3icu10Normalizer11concatenateERKNS_13UnicodeStringES3_RS1_18UNormalizationModeiR10UErrorCode
00007ff8026382c0 (__TEXT,__text) external __ZN3icu10Normalizer12isNormalizedERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00007ff8026388d2 (__TEXT,__text) external __ZN3icu10Normalizer12setIndexOnlyEi
00007ff80263851c (__TEXT,__text) external __ZN3icu10Normalizer13nextNormalizeEv
00007ff802637bfa (__TEXT,__text) external __ZN3icu10Normalizer16getStaticClassIDEv
00007ff802638716 (__TEXT,__text) external __ZN3icu10Normalizer17previousNormalizeEv
00007ff802637c9e (__TEXT,__text) external __ZN3icu10Normalizer4initEv
00007ff802638964 (__TEXT,__text) external __ZN3icu10Normalizer4lastEv
00007ff802638674 (__TEXT,__text) external __ZN3icu10Normalizer4nextEv
00007ff802638918 (__TEXT,__text) external __ZN3icu10Normalizer5firstEv
00007ff802638868 (__TEXT,__text) external __ZN3icu10Normalizer5resetEv
00007ff8026381ec (__TEXT,__text) external __ZN3icu10Normalizer7composeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00007ff8026384ce (__TEXT,__text) external __ZN3icu10Normalizer7currentEv
00007ff802638c1a (__TEXT,__text) external __ZN3icu10Normalizer7getTextERNS_13UnicodeStringE
00007ff8026389f6 (__TEXT,__text) external __ZN3icu10Normalizer7setModeE18UNormalizationMode
00007ff802638b58 (__TEXT,__text) external __ZN3icu10Normalizer7setTextENS_14ConstChar16PtrEiR10UErrorCode
00007ff802638a34 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_13UnicodeStringER10UErrorCode
00007ff802638ad2 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_17CharacterIteratorER10UErrorCode
00007ff8026386cc (__TEXT,__text) external __ZN3icu10Normalizer8previousEv
00007ff802638202 (__TEXT,__text) external __ZN3icu10Normalizer9decomposeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00007ff8026380b0 (__TEXT,__text) external __ZN3icu10Normalizer9normalizeERKNS_13UnicodeStringE18UNormalizationModeiRS1_R10UErrorCode
00007ff802638a0e (__TEXT,__text) external __ZN3icu10Normalizer9setOptionEia
00007ff802637df0 (__TEXT,__text) external __ZN3icu10NormalizerC1ENS_14ConstChar16PtrEi18UNormalizationMode
00007ff802637d3c (__TEXT,__text) external __ZN3icu10NormalizerC1ERKNS_13UnicodeStringE18UNormalizationMode
00007ff802637e5a (__TEXT,__text) external __ZN3icu10NormalizerC1ERKNS_17CharacterIteratorE18UNormalizationMode
00007ff802637f20 (__TEXT,__text) external __ZN3icu10NormalizerC1ERKS0_
00007ff802637d46 (__TEXT,__text) external __ZN3icu10NormalizerC2ENS_14ConstChar16PtrEi18UNormalizationMode
00007ff802637c16 (__TEXT,__text) external __ZN3icu10NormalizerC2ERKNS_13UnicodeStringE18UNormalizationMode
00007ff802637dfa (__TEXT,__text) external __ZN3icu10NormalizerC2ERKNS_17CharacterIteratorE18UNormalizationMode
00007ff802637eba (__TEXT,__text) external __ZN3icu10NormalizerC2ERKS0_
00007ff802637f7c (__TEXT,__text) external __ZN3icu10NormalizerD0Ev
00007ff802637f72 (__TEXT,__text) external __ZN3icu10NormalizerD1Ev
00007ff802637f2a (__TEXT,__text) external __ZN3icu10NormalizerD2Ev
00007ff802664c24 (__TEXT,__text) external __ZN3icu10UCharsTrie10branchNextEPKDsii
00007ff802665178 (__TEXT,__text) external __ZN3icu10UCharsTrie15findUniqueValueEPKDsaRi
00007ff802664bd6 (__TEXT,__text) external __ZN3icu10UCharsTrie16nextForCodePointEi
00007ff802664b02 (__TEXT,__text) external __ZN3icu10UCharsTrie17firstForCodePointEi
00007ff802665344 (__TEXT,__text) external __ZN3icu10UCharsTrie19getNextBranchUCharsEPKDsiRNS_10AppendableE
00007ff802665000 (__TEXT,__text) external __ZN3icu10UCharsTrie25findUniqueValueFromBranchEPKDsiaRi
00007ff802664e34 (__TEXT,__text) external __ZN3icu10UCharsTrie4nextENS_14ConstChar16PtrEi
00007ff802664b7a (__TEXT,__text) external __ZN3icu10UCharsTrie4nextEi
00007ff802666a1a (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator10branchNextEPKDsiR10UErrorCode
00007ff8026666d6 (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator4nextER10UErrorCode
00007ff802666606 (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator5resetEv
00007ff8026664b0 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC1ENS_14ConstChar16PtrEiR10UErrorCode
00007ff8026665a8 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC1ERKS0_iR10UErrorCode
00007ff80266641c (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC2ENS_14ConstChar16PtrEiR10UErrorCode
00007ff8026664ba (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC2ERKS0_iR10UErrorCode
00007ff8026665dc (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorD1Ev
00007ff8026665b2 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorD2Ev
00007ff802664db0 (__TEXT,__text) external __ZN3icu10UCharsTrie8nextImplEPKDsi
00007ff802664ac6 (__TEXT,__text) external __ZN3icu10UCharsTrieD1Ev
00007ff802664ab8 (__TEXT,__text) external __ZN3icu10UCharsTrieD2Ev
00007ff8026134e4 (__TEXT,__text) external __ZN3icu10UStringSetD0Ev
00007ff8026134da (__TEXT,__text) external __ZN3icu10UStringSetD1Ev
00007ff8026134d0 (__TEXT,__text) external __ZN3icu10UStringSetD2Ev
00007ff8026a74a4 (__TEXT,__text) external __ZN3icu10UnicodeSet10complementERKNS_13UnicodeStringE
00007ff8026a73ee (__TEXT,__text) external __ZN3icu10UnicodeSet10complementEi
00007ff8026a625c (__TEXT,__text) external __ZN3icu10UnicodeSet10complementEii
00007ff8026a73fa (__TEXT,__text) external __ZN3icu10UnicodeSet10complementEv
00007ff8026a6d3c (__TEXT,__text) external __ZN3icu10UnicodeSet10createFromERKNS_13UnicodeStringE
00007ff8026a5220 (__TEXT,__text) external __ZN3icu10UnicodeSet10setPatternEPKDsi
00007ff8026a5206 (__TEXT,__text) external __ZN3icu10UnicodeSet10setToBogusEv
00007ff8026aa3aa (__TEXT,__text) external __ZN3icu10UnicodeSet11applyFilterEPFaiPvES1_PKS0_R10UErrorCode
00007ff8026a72a6 (__TEXT,__text) external __ZN3icu10UnicodeSet11exclusiveOrEPKiia
00007ff8026a5872 (__TEXT,__text) external __ZN3icu10UnicodeSet11getSingleCPERKNS_13UnicodeStringE
00007ff8026a799c (__TEXT,__text) external __ZN3icu10UnicodeSet11swapBuffersEv
00007ff8026a79be (__TEXT,__text) external __ZN3icu10UnicodeSet12_appendToPatERNS_13UnicodeStringERKS1_a
00007ff8026a7a3e (__TEXT,__text) external __ZN3icu10UnicodeSet12_appendToPatERNS_13UnicodeStringEia
00007ff8026a7ad4 (__TEXT,__text) external __ZN3icu10UnicodeSet12_appendToPatERNS_13UnicodeStringEiia
00007ff8026a92d0 (__TEXT,__text) external __ZN3icu10UnicodeSet12applyPatternERKNS_13UnicodeStringER10UErrorCode
00007ff8026a88e4 (__TEXT,__text) external __ZN3icu10UnicodeSet12applyPatternERKNS_13UnicodeStringERNS_13ParsePositionEjPKNS_11SymbolTableER10UErrorCode
00007ff8026a878c (__TEXT,__text) external __ZN3icu10UnicodeSet12applyPatternERKNS_13UnicodeStringEjPKNS_11SymbolTableER10UErrorCode
00007ff8026a94ee (__TEXT,__text) external __ZN3icu10UnicodeSet12applyPatternERNS_21RuleCharacterIteratorEPKNS_11SymbolTableERNS_13UnicodeStringEjMS0_FRS0_iEiR10UErrorCode
00007ff8026a78e2 (__TEXT,__text) external __ZN3icu10UnicodeSet12nextCapacityEi
00007ff8026a6a94 (__TEXT,__text) external __ZN3icu10UnicodeSet13complementAllERKNS_13UnicodeStringE
00007ff8026a6b48 (__TEXT,__text) external __ZN3icu10UnicodeSet13complementAllERKS0_
00007ff8026a6dc0 (__TEXT,__text) external __ZN3icu10UnicodeSet13createFromAllERKNS_13UnicodeStringE
00007ff8026a5098 (__TEXT,__text) external __ZN3icu10UnicodeSet14ensureCapacityEi
00007ff8026a5340 (__TEXT,__text) external __ZN3icu10UnicodeSet14releasePatternEv
00007ff8026a5146 (__TEXT,__text) external __ZN3icu10UnicodeSet15allocateStringsER10UErrorCode
