00007ff80df2ad02 (__TEXT,__text) non-external _Annihilate
00007ff80df7094a (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff80df709be (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff80df70984 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff80df71df7 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80df7264a (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80df709f8 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80df2aafb (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80df4e20b (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80df1bb08 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80df2addf (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80df1bd0b (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80df6f2fc (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80df6fcb4 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80df1bf7c (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80df330cc (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80df432c2 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80df43fc4 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80df425c0 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80df429c3 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80df436c5 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80df41cc1 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80df24610 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80df25e5e (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80df2753c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80df28c1a (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80df24780 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80df66294 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80df675e8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80df67e60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80df686d8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80df68f50 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80df697c8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80df6a040 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80df6a8b8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80df6b1de (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80df664f8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80df66d70 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80df3ccc2 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80df55f88 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80df49132 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80df3c249 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80df49009 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80df317a8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80df31879 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80df31958 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80df31844 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80df35af5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80df35aec (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80df359cc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80df38302 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80df35aae (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80df35a95 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80df3175c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80df382c7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80df38237 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80df380d8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80df381be (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80df35a00 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
