00007ffa4218eff0 (__DATA,__data) external _AKAdornmentZPositionOffset
00007ffa4218e938 (__DATA,__data) external _AKAnnotationChangeObjectKey
00007ffa4218e920 (__DATA,__data) external _AKAnnotationLayerSetupCompleteNotification
00007ffa4218e930 (__DATA,__data) external _AKAnnotationPropertiesChangedNotification
00007ffa4218e928 (__DATA,__data) external _AKAnnotationsAddedOrRemovedNotification
00007ffa401c1948 (__DATA_CONST,__const) external _AKAttributeControllerInkDidChangeNotification
00007ffa401c23a0 (__DATA_CONST,__const) external _AKChildAnnotationUUIDAssociatedObjectKey
00007ffa401c2590 (__DATA_CONST,__const) external _AKContentScrollViewEndScrollOrMagnifyNotification
00007ffa401c2588 (__DATA_CONST,__const) external _AKContentScrollViewVisibleRectChangeNotification
00007ffa4218e970 (__DATA,__data) external _AKControllerDrawingGestureRecognizerNeedsDependencyUpdate
00007ffa4218e968 (__DATA,__data) external _AKControllerWillSaveNotification
00007ffa401c1d30 (__DATA_CONST,__const) external _AKControllerWillTeardownNotification
00007ffa4218e948 (__DATA,__data) external _AKDidEndEditingTextAnnotationNotification
00007ffa4218e950 (__DATA,__data) external _AKEditingTextAnnotationKey
00007ffa0333d5f0 (__TEXT,__text) external _AKLog
00007ffa401c2398 (__DATA_CONST,__const) external _AKParentAnnotationUUIDAssociatedObjectKey
00007ffa4218ef68 (__DATA,__data) external _AKPointOfInterestRadius_Handle_Alternate
00007ffa4218ef60 (__DATA,__data) external _AKPointOfInterestSize_Handle
00007ffa4218ef58 (__DATA,__data) external _AKPointOfInterestSize_LargestHandleSize
00007ffa0325e43b (__TEXT,__text) external _AKQuadrilateralCreateDictionaryRepresentation
00007ffa0325eb9c (__TEXT,__text) external _AKQuadrilateralMakeWithDictionaryRepresentation
00007ffa4218e958 (__DATA,__data) external _AKSelectionChangedNotification
00007ffa4218e960 (__DATA,__data) external _AKSelectionChangedPageModelControllerKey
00007ffa0333c5d1 (__TEXT,__text) external _AKSidecarMarkupGetApplicationFromDictionary
00007ffa4218e978 (__DATA,__data) external _AKStatisticsDocumentTypeImage
00007ffa4218e980 (__DATA,__data) external _AKStatisticsDocumentTypePDF
00007ffa401c2860 (__DATA_CONST,__const) external _AKTextAnnotationTypingAttributesTextContentTypeKey
00007ffa4218e940 (__DATA,__data) external _AKWillBeginEditingTextAnnotationNotification
00007ffa0336e3b8 (__TEXT,__const) external _AKZeroQuadrilateral
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CARenderServerRenderLayerWithTransform (from QuartzCore)
                 (undefined) external _CATransform3DMakeScale (from QuartzCore)
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CGAffineTransformConcat (from CoreGraphics)
                 (undefined) external _CGAffineTransformEqualToTransform (from CoreGraphics)
                 (undefined) external _CGAffineTransformIdentity (from CoreGraphics)
                 (undefined) external _CGAffineTransformInvert (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeRotation (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeTranslation (from CoreGraphics)
                 (undefined) external _CGAffineTransformRotate (from CoreGraphics)
                 (undefined) external _CGAffineTransformScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformTranslate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreateImage (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitmapInfo (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerComponent (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerPixel (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBytesPerRow (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetColorSpace (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetData (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetHeight (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetWidth (from CoreGraphics)
                 (undefined) external _CGBitmapGetAlignedBytesPerRow (from CoreGraphics)
                 (undefined) external _CGColorCreate (from CoreGraphics)
                 (undefined) external _CGColorGetAlpha (from CoreGraphics)
                 (undefined) external _CGColorGetColorSpace (from CoreGraphics)
                 (undefined) external _CGColorGetComponents (from CoreGraphics)
                 (undefined) external _CGColorRelease (from CoreGraphics)
                 (undefined) external _CGColorRetain (from CoreGraphics)
