                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
000000018e22e6dc (__TEXT,__text) external _BNNSAffineGridSample
000000018e233618 (__TEXT,__text) external _BNNSApplyMultiheadAttention
000000018e233ba8 (__TEXT,__text) external _BNNSApplyMultiheadAttentionBackward
000000018e2324c8 (__TEXT,__text) external _BNNSArithmeticFilterApplyBackwardBatch
000000018e230dd0 (__TEXT,__text) external _BNNSArithmeticFilterApplyBatch
000000018e22e6c8 (__TEXT,__text) external _BNNSBandPart
000000018df7291c (__TEXT,__text) external _BNNSBitTranspose
000000018e5c5a98 (__TEXT,__text) external _BNNSClearNetwork
000000018e22ede4 (__TEXT,__text) external _BNNSClipByGlobalNorm
000000018e22ec64 (__TEXT,__text) external _BNNSClipByNorm
000000018e22eaec (__TEXT,__text) external _BNNSClipByValue
000000018e23a910 (__TEXT,__text) external _BNNSCompareTensor
000000018e239cac (__TEXT,__text) external _BNNSComputeLSTMTrainingCacheCapacity
000000018e22ef6c (__TEXT,__text) external _BNNSComputeNorm
000000018e22f0e4 (__TEXT,__text) external _BNNSComputeNormBackward
000000018e2e51c0 (__TEXT,__text) external _BNNSComputeSimilarities
000000018e11d8cc (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D1_d16
000000018e11db44 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D2_d15
000000018e11dfa4 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D3_d14
000000018e11d6fc (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S1_d16
000000018e11d8d0 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S2_d15
000000018e11db6c (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S3_d14
000000018e2341ac (__TEXT,__text) external _BNNSCopy
000000018e22b74c (__TEXT,__text) external _BNNSCreateNearestNeighbors
000000018e22ff24 (__TEXT,__text) external _BNNSCreateRandomGenerator
000000018e22ff28 (__TEXT,__text) external _BNNSCreateRandomGeneratorWithSeed
000000018e22e6d0 (__TEXT,__text) external _BNNSCropResize
000000018e22e6d4 (__TEXT,__text) external _BNNSCropResizeBackward
000000018e23a94c (__TEXT,__text) external _BNNSDataLayoutGetRank
000000018dfb1ad0 (__TEXT,__text) external _BNNSDequantize
000000018e22b750 (__TEXT,__text) external _BNNSDestroyNearestNeighbors
000000018e22ff2c (__TEXT,__text) external _BNNSDestroyRandomGenerator
000000018e239dac (__TEXT,__text) external _BNNSDirectApplyActivationBatch
000000018e239e74 (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
000000018e239c98 (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
000000018e23471c (__TEXT,__text) external _BNNSDirectApplyInTopK
000000018e239d24 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchBackward
000000018e239cb0 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchTrainingCaching
000000018e22e960 (__TEXT,__text) external _BNNSDirectApplyQuantizer
000000018e2344c8 (__TEXT,__text) external _BNNSDirectApplyReduction
000000018e2346d4 (__TEXT,__text) external _BNNSDirectApplyTopK
000000018e23a8f4 (__TEXT,__text) external _BNNSFilterApply
000000018e2379ac (__TEXT,__text) external _BNNSFilterApplyBackwardBatch
000000018e232f0c (__TEXT,__text) external _BNNSFilterApplyBackwardTwoInputBatch
000000018e236950 (__TEXT,__text) external _BNNSFilterApplyBatch
000000018e232968 (__TEXT,__text) external _BNNSFilterApplyTwoInput
000000018e232988 (__TEXT,__text) external _BNNSFilterApplyTwoInputBatch
000000018e234ec8 (__TEXT,__text) external _BNNSFilterCreateBatchLayerFullyConnected
000000018e23a764 (__TEXT,__text) external _BNNSFilterCreateConvolutionLayer
000000018e23a8ec (__TEXT,__text) external _BNNSFilterCreateFullyConnectedLayer
000000018e2350c8 (__TEXT,__text) external _BNNSFilterCreateFusedLayer
000000018e234ed4 (__TEXT,__text) external _BNNSFilterCreateLayerActivation
000000018e2350b8 (__TEXT,__text) external _BNNSFilterCreateLayerArithmetic
000000018e23295c (__TEXT,__text) external _BNNSFilterCreateLayerBroadcastMatMul
000000018e234eb4 (__TEXT,__text) external _BNNSFilterCreateLayerConvolution
000000018e2344c0 (__TEXT,__text) external _BNNSFilterCreateLayerDepthwiseConvolution
000000018e2350c0 (__TEXT,__text) external _BNNSFilterCreateLayerDropout
000000018e22e95c (__TEXT,__text) external _BNNSFilterCreateLayerEmbedding
000000018e234ec0 (__TEXT,__text) external _BNNSFilterCreateLayerFullyConnected
000000018e232934 (__TEXT,__text) external _BNNSFilterCreateLayerGram
000000018e234ed8 (__TEXT,__text) external _BNNSFilterCreateLayerLoss
000000018e233614 (__TEXT,__text) external _BNNSFilterCreateLayerMultiheadAttention
000000018e234edc (__TEXT,__text) external _BNNSFilterCreateLayerNormalization
000000018e2350c4 (__TEXT,__text) external _BNNSFilterCreateLayerPadding
000000018e2350bc (__TEXT,__text) external _BNNSFilterCreateLayerPermute
000000018e234ed0 (__TEXT,__text) external _BNNSFilterCreateLayerPooling
000000018e2344c4 (__TEXT,__text) external _BNNSFilterCreateLayerReduction
000000018e233610 (__TEXT,__text) external _BNNSFilterCreateLayerResize
000000018e22f274 (__TEXT,__text) external _BNNSFilterCreateLayerSparseEmbedding
000000018e234ecc (__TEXT,__text) external _BNNSFilterCreateLayerSparseFullyConnected
000000018e232910 (__TEXT,__text) external _BNNSFilterCreateLayerTensorContraction
000000018e234eb8 (__TEXT,__text) external _BNNSFilterCreateLayerTransposedConvolution
000000018e23a8f0 (__TEXT,__text) external _BNNSFilterCreatePoolingLayer
