0000000247b98a98 (__TEXT,__text) non-external _Done_iODBC
0000000247bb7a90 (__TEXT,__const) non-external _FunctionNumbers
0000000247bb68ac (__TEXT,__text) non-external _GetPrivateProfileString
0000000247b98914 (__TEXT,__text) non-external _Init_iODBC
00000002587ca53c (__DATA,__common) non-external _ODBCSharedTraceFlag
0000000247b97004 (__TEXT,__text) external _SQLAllocConnect
0000000247b96f14 (__TEXT,__text) non-external _SQLAllocConnect_Internal
0000000247b98884 (__TEXT,__text) external _SQLAllocEnv
0000000247b986e0 (__TEXT,__text) non-external _SQLAllocEnv_Internal
0000000247ba2854 (__TEXT,__text) external _SQLAllocHandle
0000000247ba296c (__TEXT,__text) non-external _SQLAllocHandleStd
0000000247ba25b4 (__TEXT,__text) non-external _SQLAllocHandle_Internal
0000000247b9b524 (__TEXT,__text) external _SQLAllocStmt
0000000247b9b07c (__TEXT,__text) non-external _SQLAllocStmt_Internal
0000000247ba04f4 (__TEXT,__text) external _SQLBindCol
0000000247ba8590 (__TEXT,__text) external _SQLBindParam
0000000247b9f99c (__TEXT,__text) external _SQLBindParameter
0000000247b93ce0 (__TEXT,__text) external _SQLBrowseConnect
0000000247b93e28 (__TEXT,__text) external _SQLBrowseConnectA
0000000247b93f70 (__TEXT,__text) external _SQLBrowseConnectW
0000000247b937a8 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
0000000247ba80a4 (__TEXT,__text) external _SQLBulkOperations
0000000247b9c44c (__TEXT,__text) external _SQLCancel
0000000247ba85d4 (__TEXT,__text) external _SQLCloseCursor
0000000247ba7ae8 (__TEXT,__text) external _SQLColAttribute
0000000247ba7c90 (__TEXT,__text) external _SQLColAttributeA
0000000247ba7e38 (__TEXT,__text) external _SQLColAttributeW
0000000247ba7410 (__TEXT,__text) non-external _SQLColAttribute_Internal
0000000247ba20bc (__TEXT,__text) external _SQLColAttributes
0000000247ba2264 (__TEXT,__text) external _SQLColAttributesA
0000000247ba240c (__TEXT,__text) external _SQLColAttributesW
0000000247ba1c20 (__TEXT,__text) non-external _SQLColAttributes_Internal
0000000247b8cc28 (__TEXT,__text) external _SQLColumnPrivileges
0000000247b8ce0c (__TEXT,__text) external _SQLColumnPrivilegesA
0000000247b8cff0 (__TEXT,__text) external _SQLColumnPrivilegesW
0000000247b8c998 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
0000000247b8d464 (__TEXT,__text) external _SQLColumns
0000000247b8d648 (__TEXT,__text) external _SQLColumnsA
0000000247b8d82c (__TEXT,__text) external _SQLColumnsW
0000000247b8d1d4 (__TEXT,__text) non-external _SQLColumns_Internal
0000000247b910e8 (__TEXT,__text) external _SQLConnect
0000000247b91888 (__TEXT,__text) external _SQLConnectA
0000000247b919e8 (__TEXT,__text) external _SQLConnectW
0000000247b91248 (__TEXT,__text) non-external _SQLConnect_Internal
0000000247bb751c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
0000000247ba7294 (__TEXT,__text) external _SQLCopyDesc
