                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff8134bfa70 (__TEXT,__text) external ___absvdi2
00007ff8134bfa99 (__TEXT,__text) external ___absvsi2
00007ff8134bfabe (__TEXT,__text) external ___absvti2
00007ff8134bfafe (__TEXT,__text) external ___addvdi3
00007ff8134bfb44 (__TEXT,__text) external ___addvsi3
00007ff8134bfb86 (__TEXT,__text) external ___addvti3
00007ff8134bfbe3 (__TEXT,__text) external ___ashldi3
00007ff8134bfc0f (__TEXT,__text) external ___ashlti3
00007ff8134bfc37 (__TEXT,__text) external ___ashrdi3
00007ff8134bfc68 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff8134bff00 (__TEXT,__text) external ___atomic_compare_exchange
00007ff8134c0440 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff8134c048c (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff8134c04d8 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff8134c0524 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff8134c0140 (__TEXT,__text) external ___atomic_exchange
00007ff8134c0372 (__TEXT,__text) external ___atomic_exchange_1
00007ff8134c03a8 (__TEXT,__text) external ___atomic_exchange_2
00007ff8134c03dc (__TEXT,__text) external ___atomic_exchange_4
00007ff8134c040c (__TEXT,__text) external ___atomic_exchange_8
00007ff8134c0570 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff8134c05a8 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff8134c05dc (__TEXT,__text) external ___atomic_fetch_add_4
00007ff8134c0610 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff8134c0720 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff8134c0798 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff8134c0818 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff8134c0888 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff8134c090c (__TEXT,__text) external ___atomic_fetch_or_1
00007ff8134c0984 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff8134c0a04 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff8134c0a74 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff8134c0644 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff8134c067c (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff8134c06b4 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff8134c06e8 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff8134c0af8 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff8134c0b70 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff8134c0bf0 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff8134c0c60 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff8134bfc98 (__TEXT,__text) external ___atomic_is_lock_free
00007ff8134bfcec (__TEXT,__text) external ___atomic_load
00007ff8134c02ec (__TEXT,__text) external ___atomic_load_1
00007ff8134c02fd (__TEXT,__text) external ___atomic_load_2
00007ff8134c030f (__TEXT,__text) external ___atomic_load_4
00007ff8134c031d (__TEXT,__text) external ___atomic_load_8
00007ff8134bfde8 (__TEXT,__text) external ___atomic_store
00007ff8134c032c (__TEXT,__text) external ___atomic_store_1
00007ff8134c033e (__TEXT,__text) external ___atomic_store_2
00007ff8134c0350 (__TEXT,__text) external ___atomic_store_4
00007ff8134c0360 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff8134c0d98 (__TEXT,__text) external ___clear_cache
00007ff8134c0d99 (__TEXT,__text) external ___clzdi2
00007ff8134c0dc9 (__TEXT,__text) external ___clzsi2
00007ff8134c0e39 (__TEXT,__text) external ___clzti2
00007ff8134c0e57 (__TEXT,__text) external ___cmpdi2
00007ff8134c0e83 (__TEXT,__text) external ___cmpti2
00007ff8134c3048 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff8134c0ea4 (__TEXT,__text) external ___ctzdi2
00007ff8134c0ec2 (__TEXT,__text) external ___ctzsi2
00007ff8134c0f26 (__TEXT,__text) external ___ctzti2
00007ff8134c0f41 (__TEXT,__text) external ___divdc3
00007ff8134bf9e5 (__TEXT,__text) external ___divdi3
00007ff8134c1587 (__TEXT,__text) external ___divsc3
00007ff8134bfa20 (__TEXT,__text) external ___divti3
00007ff8134c1b5c (__TEXT,__text) external ___divxc3
00007ff8134c2026 (__TEXT,__text) external ___enable_execute_stack
00007ff8134c2047 (__TEXT,__text) external ___extendhfsf2
00007ff8134c20b5 (__TEXT,__text) external ___ffsdi2
00007ff8134c20cf (__TEXT,__text) external ___ffsti2
00007ff8134c20eb (__TEXT,__text) external ___fixdfdi
00007ff8134c210c (__TEXT,__text) external ___fixdfti
00007ff8134c21c1 (__TEXT,__text) external ___fixsfdi
00007ff8134c21df (__TEXT,__text) external ___fixsfti
00007ff8134bf8d2 (__TEXT,__text) external ___fixunsdfdi
00007ff8134c2281 (__TEXT,__text) external ___fixunsdfsi
00007ff8134c22d6 (__TEXT,__text) external ___fixunsdfti
00007ff8134c2359 (__TEXT,__text) external ___fixunssfdi
00007ff8134c239e (__TEXT,__text) external ___fixunssfsi
00007ff8134c23f4 (__TEXT,__text) external ___fixunssfti
00007ff8134bf915 (__TEXT,__text) external ___fixunsxfdi
00007ff8134c246d (__TEXT,__text) external ___fixunsxfsi
00007ff8134c24e8 (__TEXT,__text) external ___fixunsxfti
00007ff8134c25a0 (__TEXT,__text) external ___fixxfdi
00007ff8134c263a (__TEXT,__text) external ___fixxfti
00007ff8134c271d (__TEXT,__text) external ___floatdidf
00007ff8134c2723 (__TEXT,__text) external ___floatdisf
00007ff8134c2729 (__TEXT,__text) external ___floatdixf
00007ff8134c2733 (__TEXT,__text) external ___floattidf
00007ff8134c284a (__TEXT,__text) external ___floattisf
00007ff8134c2935 (__TEXT,__text) external ___floattixf
00007ff8134c2a64 (__TEXT,__text) external ___floatundidf
00007ff8134c2a90 (__TEXT,__text) external ___floatundisf
00007ff8134c2abc (__TEXT,__text) external ___floatundixf
00007ff8134c2ad2 (__TEXT,__text) external ___floatuntidf
00007ff8134c2bda (__TEXT,__text) external ___floatuntisf
00007ff8134c2ca2 (__TEXT,__text) external ___floatuntixf
00007ff8134c2da8 (__TEXT,__text) external ___gcc_personality_v0
00007ff8134c44fa (__TEXT,__text) external ___gnu_f2h_ieee
00007ff8134c20b0 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff8134c3060 (__TEXT,__text) external ___lshrdi3
00007ff8134c308e (__TEXT,__text) external ___lshrti3
00007ff8134bf994 (__TEXT,__text) external ___moddi3
00007ff8134c30b6 (__TEXT,__text) external ___modti3
00007ff8134c311e (__TEXT,__text) external ___muldc3
00007ff8134c32dd (__TEXT,__text) external ___muldi3
00007ff8134c3362 (__TEXT,__text) external ___mulodi4
00007ff8134c33f9 (__TEXT,__text) external ___mulosi4
00007ff8134c3472 (__TEXT,__text) external ___muloti4
00007ff8134c357e (__TEXT,__text) external ___mulsc3
00007ff8134c36d7 (__TEXT,__text) external ___multi3
00007ff8134c3736 (__TEXT,__text) external ___mulvdi3
00007ff8134c383e (__TEXT,__text) external ___mulvsi3
00007ff8134c391c (__TEXT,__text) external ___mulvti3
00007ff8134c3aa3 (__TEXT,__text) external ___mulxc3
00007ff8134c3ec8 (__TEXT,__text) external ___negdi2
00007ff8134c3ecf (__TEXT,__text) external ___negti2
00007ff8134c3edb (__TEXT,__text) external ___negvdi2
00007ff8134c3efd (__TEXT,__text) external ___negvsi2
00007ff8134c3f1d (__TEXT,__text) external ___negvti2
00007ff8134c3f4f (__TEXT,__text) external ___paritydi2
00007ff8134c3f7e (__TEXT,__text) external ___paritysi2
00007ff8134c3fa4 (__TEXT,__text) external ___parityti2
00007ff8134c3fd6 (__TEXT,__text) external ___popcountdi2
00007ff8134c4038 (__TEXT,__text) external ___popcountsi2
00007ff8134c4071 (__TEXT,__text) external ___popcountti2
00007ff8134c40ff (__TEXT,__text) external ___powidf2
00007ff8134c4153 (__TEXT,__text) external ___powisf2
00007ff8134c41a4 (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff8134c4202 (__TEXT,__text) external ___subvdi3
00007ff8134c424a (__TEXT,__text) external ___subvsi3
00007ff8134c428d (__TEXT,__text) external ___subvti3
00007ff8134c42e1 (__TEXT,__text) external ___truncdfhf2
00007ff8134c440e (__TEXT,__text) external ___truncsfhf2
00007ff8134c44ff (__TEXT,__text) external ___ucmpdi2
00007ff8134c452e (__TEXT,__text) external ___ucmpti2
00007ff8134bf7f8 (__TEXT,__text) external ___udivdi3
00007ff8134c454f (__TEXT,__text) external ___udivmoddi4
00007ff8134bf738 (__TEXT,__text) external ___udivmodti4
00007ff8134bf730 (__TEXT,__text) external ___udivti3
00007ff8134bf867 (__TEXT,__text) external ___umoddi3
00007ff8134c4766 (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
00007ff8134c0ce4 (__TEXT,__text) external _atomic_flag_clear
00007ff8134c0ce9 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff8134c0cfc (__TEXT,__text) external _atomic_flag_test_and_set
00007ff8134c0d04 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff8134c0d38 (__TEXT,__text) external _atomic_signal_fence
00007ff8134c0d64 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff843787de0 (__DATA_DIRTY,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff8134c2f49 (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff8134c54c0 (__TEXT,__const) non-external two
00007ff8134c5490 (__TEXT,__const) non-external twop52
00007ff8134c54d0 (__TEXT,__const) non-external twop64
00007ff8134c54b0 (__TEXT,__const) non-external twop84
00007ff8134c54a0 (__TEXT,__const) non-external twop84_plus_twop52
