                 (undefined) external _APP_SANDBOX_READ (from libSystem)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
000000021d6cf508 (__DATA,__data) external _PXR_WORK_THREAD_LIMIT
000000021d91d088 (__DATA,__common) external _PXR_WORK_THREAD_LIMIT_value
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
000000020e29385c (__TEXT,__text) external __Z10pathYyfreePvS_
000000020e2937e4 (__TEXT,__text) external __Z11pathYyallocmPv
000000020e3f2468 (__TEXT,__text) external __Z11pathYyparseP21Sdf_PathParserContext
000000020e293c4c (__TEXT,__text) external __Z12pathYyget_inPv
000000020e293d34 (__TEXT,__text) external __Z12pathYyset_inP7__sFILEPv
000000020e293c54 (__TEXT,__text) external __Z13pathYyget_outPv
000000020e293edc (__TEXT,__text) external __Z13pathYyreallocPvmS_
000000020e2935e4 (__TEXT,__text) external __Z13pathYyrestartP7__sFILEPv
000000020e293d3c (__TEXT,__text) external __Z13pathYyset_outP7__sFILEPv
000000020e3fdbf8 (__TEXT,__text) external __Z14Sdf_ParseLayerRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_10shared_ptrIN38pxrInternal_v0_21__aapl__pxrReserved__7ArAssetEEES7_S7_bNS9_8TfRefPtrINS9_7SdfDataEEEPNS9_13SdfLayerHintsE
000000020e293c5c (__TEXT,__text) external __Z14pathYyget_lengPv
000000020e293d54 (__TEXT,__text) external __Z14pathYyget_lvalPv
000000020e293c64 (__TEXT,__text) external __Z14pathYyget_textPv
000000020e293d64 (__TEXT,__text) external __Z14pathYylex_initPPv
000000020e293d5c (__TEXT,__text) external __Z14pathYyset_lvalP18Sdf_PathLexerValuePv
000000020e293d44 (__TEXT,__text) external __Z15pathYyget_debugPv
000000020e293bfc (__TEXT,__text) external __Z15pathYyget_extraPv
000000020e293d4c (__TEXT,__text) external __Z15pathYyset_debugiPv
000000020e293c6c (__TEXT,__text) external __Z15pathYyset_extraPvS_
000000020e293c28 (__TEXT,__text) external __Z16pathYyget_columnPv
000000020e293c04 (__TEXT,__text) external __Z16pathYyget_linenoPv
000000020e293cd4 (__TEXT,__text) external __Z16pathYyset_columniPv
000000020e293c74 (__TEXT,__text) external __Z16pathYyset_linenoiPv
000000020e293b30 (__TEXT,__text) external __Z17pathYy_scan_bytesPKcmPv
000000020e293e64 (__TEXT,__text) external __Z17pathYylex_destroyPv
000000020e293a2c (__TEXT,__text) external __Z18pathYy_scan_bufferPcmPv
000000020e293aec (__TEXT,__text) external __Z18pathYy_scan_stringPKcPv
000000020e293860 (__TEXT,__text) external __Z19pathYy_flush_bufferP15yy_buffer_statePv
000000020e293f6c (__TEXT,__text) external __Z19textFileFormatYylexPN38pxrInternal_v0_21__aapl__pxrReserved__17Sdf_ParserHelpers5ValueEPv
000000020e293464 (__TEXT,__text) external __Z20pathYy_create_bufferP7__sFILEiPv
000000020e2937e8 (__TEXT,__text) external __Z20pathYy_delete_bufferP15yy_buffer_statePv
000000020e293dd8 (__TEXT,__text) external __Z20pathYylex_init_extraPvPS_
000000020e2965bc (__TEXT,__text) external __Z20textFileFormatYyfreePvS_
000000020e296544 (__TEXT,__text) external __Z21textFileFormatYyallocmPv
000000020e3fa2f8 (__TEXT,__text) external __Z21textFileFormatYyerrorPN38pxrInternal_v0_21__aapl__pxrReserved__21Sdf_TextParserContextEPKc
000000020e3f388c (__TEXT,__text) external __Z21textFileFormatYyparsePN38pxrInternal_v0_21__aapl__pxrReserved__21Sdf_TextParserContextE
000000020e293998 (__TEXT,__text) external __Z22pathYypop_buffer_statePv
000000020e2969ac (__TEXT,__text) external __Z22textFileFormatYyget_inPv
000000020e296a94 (__TEXT,__text) external __Z22textFileFormatYyset_inP7__sFILEPv
000000020e293734 (__TEXT,__text) external __Z23pathYy_switch_to_bufferP15yy_buffer_statePv
000000020e2938e4 (__TEXT,__text) external __Z23pathYypush_buffer_stateP15yy_buffer_statePv
000000020e2969b4 (__TEXT,__text) external __Z23textFileFormatYyget_outPv
000000020e296c3c (__TEXT,__text) external __Z23textFileFormatYyreallocPvmS_
000000020e296344 (__TEXT,__text) external __Z23textFileFormatYyrestartP7__sFILEPv
000000020e296a9c (__TEXT,__text) external __Z23textFileFormatYyset_outP7__sFILEPv
000000020e3fe07c (__TEXT,__text) external __Z24Sdf_ParseLayerFromStringRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEES7_S7_N38pxrInternal_v0_21__aapl__pxrReserved__8TfRefPtrINS8_7SdfDataEEEPNS8_13SdfLayerHintsE
000000020e2969bc (__TEXT,__text) external __Z24textFileFormatYyget_lengPv
000000020e296ab4 (__TEXT,__text) external __Z24textFileFormatYyget_lvalPv
000000020e2969c4 (__TEXT,__text) external __Z24textFileFormatYyget_textPv
000000020e296ac4 (__TEXT,__text) external __Z24textFileFormatYylex_initPPv
000000020e296abc (__TEXT,__text) external __Z24textFileFormatYyset_lvalPN38pxrInternal_v0_21__aapl__pxrReserved__17Sdf_ParserHelpers5ValueEPv
000000020e296aa4 (__TEXT,__text) external __Z25textFileFormatYyget_debugPv
000000020e29695c (__TEXT,__text) external __Z25textFileFormatYyget_extraPv
000000020e296aac (__TEXT,__text) external __Z25textFileFormatYyset_debugiPv
000000020e2969cc (__TEXT,__text) external __Z25textFileFormatYyset_extraPN38pxrInternal_v0_21__aapl__pxrReserved__21Sdf_TextParserContextEPv
000000020e296988 (__TEXT,__text) external __Z26textFileFormatYyget_columnPv
000000020e296964 (__TEXT,__text) external __Z26textFileFormatYyget_linenoPv
000000020e296a34 (__TEXT,__text) external __Z26textFileFormatYyset_columniPv
000000020e2969d4 (__TEXT,__text) external __Z26textFileFormatYyset_linenoiPv
000000020e296890 (__TEXT,__text) external __Z27textFileFormatYy_scan_bytesPKcmPv
000000020e296bc4 (__TEXT,__text) external __Z27textFileFormatYylex_destroyPv
000000020e29678c (__TEXT,__text) external __Z28textFileFormatYy_scan_bufferPcmPv
000000020e29684c (__TEXT,__text) external __Z28textFileFormatYy_scan_stringPKcPv
000000020e18e268 (__TEXT,__text) external __Z29__DarwinGetTemporaryDirectoryv
000000020e2965c0 (__TEXT,__text) external __Z29textFileFormatYy_flush_bufferP15yy_buffer_statePv
000000020e296088 (__TEXT,__text) external __Z30textFileFormatYy_create_bufferP7__sFILEiPv
000000020e296548 (__TEXT,__text) external __Z30textFileFormatYy_delete_bufferP15yy_buffer_statePv
000000020e296b38 (__TEXT,__text) external __Z30textFileFormatYylex_init_extraPN38pxrInternal_v0_21__aapl__pxrReserved__21Sdf_TextParserContextEPPv
000000020e2966f8 (__TEXT,__text) external __Z32textFileFormatYypop_buffer_statePv
000000020e296494 (__TEXT,__text) external __Z33textFileFormatYy_switch_to_bufferP15yy_buffer_statePv
000000020e296644 (__TEXT,__text) external __Z33textFileFormatYypush_buffer_stateP15yy_buffer_statePv
000000020e18e2fc (__TEXT,__text) external __Z50__DarwinGetTemporaryDirectoryAppropriateForURLPathRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERS5_
000000020e2929d0 (__TEXT,__text) external __Z9pathYylexP18Sdf_PathLexerValuePv
000000021d6d0de8 (__DATA,__data) weak external __ZGVZN38pxrInternal_v0_21__aapl__pxrReserved__23Usd_UntypedInterpolator12_InterpolateINS_8TfRefPtrINS_8SdfLayerEEEEEbRKT_RKNS_7SdfPathEdddE9valueType
000000021d6d0df8 (__DATA,__data) weak external __ZGVZN38pxrInternal_v0_21__aapl__pxrReserved__23Usd_UntypedInterpolator12_InterpolateINS_8TfRefPtrINS_8SdfLayerEEEEEbRKT_RKNS_7SdfPathEdddE9valueType_0
