                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
000000027844d4e0 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000027844df5c (__TEXT,__const) external _libopenpam
000000027844da00 (__TEXT,__text) external _misc_conv
000000027844d70c (__TEXT,__text) external _pam_acct_mgmt
000000027844d614 (__TEXT,__text) external _pam_authenticate
000000027844d788 (__TEXT,__text) external _pam_chauthtok
000000027844d880 (__TEXT,__text) external _pam_close_session
000000027844d5a0 (__TEXT,__text) external _pam_end
000000027844dc48 (__TEXT,__text) external _pam_get_data
000000027844d97c (__TEXT,__text) external _pam_get_item
000000027844de78 (__TEXT,__text) external _pam_get_pass
000000027844dd58 (__TEXT,__text) external _pam_get_user
000000027844db70 (__TEXT,__text) external _pam_getenv
000000027844dbe0 (__TEXT,__text) external _pam_getenvlist
000000027844d808 (__TEXT,__text) external _pam_open_session
000000027844dddc (__TEXT,__text) external _pam_prompt
000000027844dafc (__TEXT,__text) external _pam_putenv
000000027844dccc (__TEXT,__text) external _pam_set_data
000000027844d8f8 (__TEXT,__text) external _pam_set_item
000000027844d690 (__TEXT,__text) external _pam_setcred
000000027844d514 (__TEXT,__text) external _pam_start
000000027844da8c (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
000000027844d480 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
000000027844d490 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000027844d4dc (__TEXT,__text) external _xlate_pam_shim_item_type
000000027844d4b8 (__TEXT,__text) external _xlate_pam_shim_retval
000000027844d4a4 (__TEXT,__text) external _xlate_pam_shim_session_flags
000000027844d4b0 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
