                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000027e5393e8 (__TEXT,__text) external _apr__SHA256_Data
000000027e539320 (__TEXT,__text) external _apr__SHA256_End
000000027e539214 (__TEXT,__text) external _apr__SHA256_Final
000000027e538efc (__TEXT,__text) external _apr__SHA256_Init
000000027e538f2c (__TEXT,__text) external _apr__SHA256_Transform
000000027e539128 (__TEXT,__text) external _apr__SHA256_Update
000000027e5308c4 (__TEXT,__text) external _apr_allocator_alloc
000000027e530754 (__TEXT,__text) external _apr_allocator_create
000000027e5307b4 (__TEXT,__text) external _apr_allocator_destroy
000000027e530a7c (__TEXT,__text) external _apr_allocator_free
000000027e53083c (__TEXT,__text) external _apr_allocator_max_free_set
000000027e530824 (__TEXT,__text) external _apr_allocator_mutex_get
000000027e53081c (__TEXT,__text) external _apr_allocator_mutex_set
000000027e530834 (__TEXT,__text) external _apr_allocator_owner_get
000000027e53082c (__TEXT,__text) external _apr_allocator_owner_set
000000027e532fd8 (__TEXT,__text) external _apr_app_initialize
000000027e529f18 (__TEXT,__text) external _apr_array_append
000000027e529d48 (__TEXT,__text) external _apr_array_cat
000000027e529c68 (__TEXT,__text) external _apr_array_clear
000000027e529e24 (__TEXT,__text) external _apr_array_copy
000000027e529ed4 (__TEXT,__text) external _apr_array_copy_hdr
000000027e529be8 (__TEXT,__text) external _apr_array_make
000000027e529c70 (__TEXT,__text) external _apr_array_pop
000000027e529f78 (__TEXT,__text) external _apr_array_pstrcat
000000027e529c9c (__TEXT,__text) external _apr_array_push
000000027e527ee4 (__TEXT,__text) external _apr_atoi64
000000027e52b784 (__TEXT,__text) external _apr_atomic_add32
000000027e52b7b4 (__TEXT,__text) external _apr_atomic_cas32
000000027e52b7cc (__TEXT,__text) external _apr_atomic_casptr
000000027e52b7a4 (__TEXT,__text) external _apr_atomic_dec32
000000027e52b798 (__TEXT,__text) external _apr_atomic_inc32
000000027e52b76c (__TEXT,__text) external _apr_atomic_init
000000027e52b774 (__TEXT,__text) external _apr_atomic_read32
000000027e52b77c (__TEXT,__text) external _apr_atomic_set32
000000027e52b78c (__TEXT,__text) external _apr_atomic_sub32
000000027e52b7c0 (__TEXT,__text) external _apr_atomic_xchg32
000000027e52b7d8 (__TEXT,__text) external _apr_atomic_xchgptr
000000027e525460 (__TEXT,__text) external _apr_collapse_spaces
000000027e525120 (__TEXT,__text) external _apr_cpystrn
000000027e539478 (__TEXT,__text) external _apr_crypto_sha256_new
000000027e53b7f4 (__TEXT,__text) external _apr_ctime
000000027e53cf08 (__TEXT,__const) external _apr_day_snames
000000027e52bd64 (__TEXT,__text) external _apr_dir_close
000000027e52bfa0 (__TEXT,__text) external _apr_dir_make
000000027e52bfe0 (__TEXT,__text) external _apr_dir_make_recursive
000000027e52bc98 (__TEXT,__text) external _apr_dir_open
000000027e52bda4 (__TEXT,__text) external _apr_dir_read
000000027e52c0e8 (__TEXT,__text) external _apr_dir_remove
000000027e52bf80 (__TEXT,__text) external _apr_dir_rewind
000000027e52b9a8 (__TEXT,__text) external _apr_dso_error
000000027e52b84c (__TEXT,__text) external _apr_dso_load
000000027e52b958 (__TEXT,__text) external _apr_dso_sym
000000027e52b93c (__TEXT,__text) external _apr_dso_unload
000000027e531f00 (__TEXT,__text) external _apr_env_delete
000000027e531e9c (__TEXT,__text) external _apr_env_get
000000027e531edc (__TEXT,__text) external _apr_env_set
000000027e524a24 (__TEXT,__text) external _apr_escape_echo
000000027e5242e8 (__TEXT,__text) external _apr_escape_entity
000000027e524d00 (__TEXT,__text) external _apr_escape_hex
000000027e523f2c (__TEXT,__text) external _apr_escape_path
000000027e523d9c (__TEXT,__text) external _apr_escape_path_segment
