                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80c68a53f (__TEXT,__text) external ___cmph_dump
00007ff80c68a59b (__TEXT,__text) external ___cmph_load
00007ff80c68a535 (__TEXT,__text) external ___config_destroy
00007ff80c68a4fc (__TEXT,__text) external ___config_new
00007ff80c68d270 (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80c6808d3 (__TEXT,__text) external _bdz_config_destroy
00007ff80c68089c (__TEXT,__text) external _bdz_config_new
00007ff80c6808e1 (__TEXT,__text) external _bdz_config_set_b
00007ff80c6808fc (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff80c68188f (__TEXT,__text) external _bdz_destroy
00007ff80c68148e (__TEXT,__text) external _bdz_dump
00007ff80c681b5b (__TEXT,__text) non-external _bdz_dump_graph
00007ff80c6815d3 (__TEXT,__text) external _bdz_load
00007ff80c68eda0 (__TEXT,__const) external _bdz_lookup_table
00007ff80c680910 (__TEXT,__text) external _bdz_new
00007ff80c6818cc (__TEXT,__text) external _bdz_pack
00007ff80c681972 (__TEXT,__text) external _bdz_packed_size
00007ff80c681c05 (__TEXT,__text) external _bdz_ph_config_destroy
00007ff80c681be1 (__TEXT,__text) external _bdz_ph_config_new
00007ff80c68e14a (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff80c681c13 (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff80c682986 (__TEXT,__text) external _bdz_ph_destroy
00007ff80c682687 (__TEXT,__text) external _bdz_ph_dump
00007ff80c682ba9 (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff80c682773 (__TEXT,__text) external _bdz_ph_load
00007ff80c681c26 (__TEXT,__text) external _bdz_ph_new
00007ff80c6829ba (__TEXT,__text) external _bdz_ph_pack
00007ff80c682a30 (__TEXT,__text) external _bdz_ph_packed_size
00007ff80c68287d (__TEXT,__text) external _bdz_ph_search
00007ff80c682a71 (__TEXT,__text) external _bdz_ph_search_packed
00007ff80c681743 (__TEXT,__text) external _bdz_search
00007ff80c6819b9 (__TEXT,__text) external _bdz_search_packed
00007ff80c68eea0 (__TEXT,__const) non-external _bitmask
00007ff80c68eec0 (__TEXT,__const) non-external _bitmask
