000000000019ab10 (__DATA,__data) external _AKAdornmentZPositionOffset
000000000019a010 (__DATA,__data) external _AKAnnotationChangeObjectKey
0000000000199ff8 (__DATA,__data) external _AKAnnotationLayerSetupCompleteNotification
000000000019a008 (__DATA,__data) external _AKAnnotationPropertiesChangedNotification
000000000019a000 (__DATA,__data) external _AKAnnotationsAddedOrRemovedNotification
0000000000145950 (__DATA,__const) external _AKAttributeControllerInkDidChangeNotification
0000000000145ab8 (__DATA,__const) external _AKChildAnnotationUUIDAssociatedObjectKey
0000000000145740 (__DATA,__const) external _AKContentScrollViewEndScrollOrMagnifyNotification
0000000000145738 (__DATA,__const) external _AKContentScrollViewVisibleRectChangeNotification
0000000000199fe0 (__DATA,__data) external _AKControllerSuggestedTouchBarItemChanged
000000000019a040 (__DATA,__data) external _AKControllerWillSaveNotification
0000000000145510 (__DATA,__const) external _AKControllerWillTeardownNotification
000000000019a020 (__DATA,__data) external _AKDidEndEditingTextAnnotationNotification
000000000019a028 (__DATA,__data) external _AKEditingTextAnnotationKey
00000000000e816b (__TEXT,__text) external _AKLog
0000000000145ab0 (__DATA,__const) external _AKParentAnnotationUUIDAssociatedObjectKey
0000000000199c48 (__DATA,__data) external _AKPointOfInterestRadius_Handle_Alternate
0000000000199c40 (__DATA,__data) external _AKPointOfInterestSize_Handle
0000000000199c38 (__DATA,__data) external _AKPointOfInterestSize_LargestHandleSize
000000000009d3d9 (__TEXT,__text) external _AKQuadrilateralCreateDictionaryRepresentation
000000000009db37 (__TEXT,__text) external _AKQuadrilateralMakeWithDictionaryRepresentation
0000000000145150 (__DATA,__const) external _AKRawDataForCoder
000000000019a030 (__DATA,__data) external _AKSelectionChangedNotification
000000000019a038 (__DATA,__data) external _AKSelectionChangedPageModelControllerKey
000000000019a048 (__DATA,__data) external _AKStatisticsDocumentTypeImage
000000000019a050 (__DATA,__data) external _AKStatisticsDocumentTypePDF
0000000000199ff0 (__DATA,__data) external _AKTouchBarItemIdentifierHighlights
0000000000199fe8 (__DATA,__data) external _AKTouchBarItemIdentifierMain
000000000019a018 (__DATA,__data) external _AKWillBeginEditingTextAnnotationNotification
000000000013ee50 (__TEXT,__const) external _AKZeroQuadrilateral
                 (undefined) external _AVCaptureSessionErrorKey (from AVFoundation)
                 (undefined) external _AVCaptureSessionRuntimeErrorNotification (from AVFoundation)
                 (undefined) external _AVLayerVideoGravityResizeAspectFill (from AVFoundation)
                 (undefined) external _AVMediaTypeVideo (from AVFoundation)
                 (undefined) external _CATransform3DIdentity (from QuartzCore)
                 (undefined) external _CATransform3DMakeScale (from QuartzCore)
                 (undefined) external _CCCrypt (from libSystem)
                 (undefined) external _CC_SHA256 (from libSystem)
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CGAffineTransformConcat (from CoreGraphics)
                 (undefined) external _CGAffineTransformEqualToTransform (from CoreGraphics)
                 (undefined) external _CGAffineTransformIdentity (from CoreGraphics)
                 (undefined) external _CGAffineTransformInvert (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeRotation (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeTranslation (from CoreGraphics)
                 (undefined) external _CGAffineTransformRotate (from CoreGraphics)
                 (undefined) external _CGAffineTransformScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformTranslate (from CoreGraphics)
                 (undefined) external _CGAssociateMouseAndMouseCursorPosition (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreateImage (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitmapInfo (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerComponent (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerPixel (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBytesPerRow (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetColorSpace (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetData (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetHeight (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetWidth (from CoreGraphics)
