00000001a0175840 (__TEXT,__text) non-external +[Calculate _lock]
00000001a0175944 (__TEXT,__text) non-external +[Calculate _resetGlobals]
00000001a01757e8 (__TEXT,__text) non-external +[Calculate _unlock]
00000001a0168ef0 (__TEXT,__text) non-external +[Calculate evaluate:options:]
00000001a01696dc (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
00000001a0168f44 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
00000001a0169648 (__TEXT,__text) non-external +[CalculateRequest _lock]
00000001a016963c (__TEXT,__text) non-external +[CalculateRequest _unlock]
00000001a01695a4 (__TEXT,__text) non-external +[CalculateRequest serialQueue]
00000001a0175664 (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
00000001a017571c (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
00000001a017510c (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
00000001a01751e0 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
00000001a0170fac (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
00000001a0175fe8 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
00000001a0179680 (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
00000001a0179770 (__TEXT,__text) non-external +[CalculateTokenizer prepareString:]
00000001a0179710 (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
00000001a0174694 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
00000001a017e454 (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
00000001a017e4b4 (__TEXT,__text) non-external +[Converter dispatchQueue]
00000001a017e550 (__TEXT,__text) non-external +[Converter initialize]
00000001a017e40c (__TEXT,__text) non-external +[Converter needsRefresh]
00000001a017e37c (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
00000001a017e3c4 (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
00000001a0153504 (__TEXT,__text) non-external +[CurrencyCache shared]
00000001a0165508 (__TEXT,__text) non-external +[Localize availableLocaleNames]
00000001a0165114 (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
00000001a01653d0 (__TEXT,__text) non-external +[Localize localizationForLocale:]
00000001a0165034 (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
00000001a0164f94 (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
00000001a0165568 (__TEXT,__text) non-external +[Localize mainBundle]
00000001a0165730 (__TEXT,__text) non-external +[Localize systemLocale]
00000001a01655a8 (__TEXT,__text) non-external +[Localize systemLocales]
00000001a0168d5c (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
00000001a01684b0 (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
00000001a0166064 (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
00000001a01680e8 (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
00000001a0168088 (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
00000001a01690a4 (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
00000001a0169234 (__TEXT,__text) non-external -[CalculateRequest cancel]
00000001a0169154 (__TEXT,__text) non-external -[CalculateRequest expression]
00000001a016915c (__TEXT,__text) non-external -[CalculateRequest finish]
00000001a0169118 (__TEXT,__text) non-external -[CalculateRequest isCanceled]
00000001a0169140 (__TEXT,__text) non-external -[CalculateRequest options]
00000001a0169108 (__TEXT,__text) non-external -[CalculateRequest resultHandler]
00000001a016912c (__TEXT,__text) non-external -[CalculateRequest result]
00000001a0169148 (__TEXT,__text) non-external -[CalculateRequest setExpression:]
00000001a0169110 (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
00000001a0169134 (__TEXT,__text) non-external -[CalculateRequest setOptions:]
00000001a0169120 (__TEXT,__text) non-external -[CalculateRequest setResult:]
00000001a0169100 (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
00000001a0169300 (__TEXT,__text) non-external -[CalculateRequest update]
00000001a01719f4 (__TEXT,__text) non-external -[CalculateResult .cxx_destruct]
00000001a0174fe4 (__TEXT,__text) non-external -[CalculateResult _setConversions:]
00000001a0174f6c (__TEXT,__text) non-external -[CalculateResult _setExpression:]
00000001a0174f78 (__TEXT,__text) non-external -[CalculateResult _setInputValueAndUnit:]
00000001a0174e38 (__TEXT,__text) non-external -[CalculateResult _setTerms:]
00000001a0171b98 (__TEXT,__text) non-external -[CalculateResult autoScientificNotation]
00000001a0172a60 (__TEXT,__text) non-external -[CalculateResult availableConversions]
00000001a0172b28 (__TEXT,__text) non-external -[CalculateResult bestConversion]
00000001a0174b28 (__TEXT,__text) non-external -[CalculateResult compare:]
00000001a017389c (__TEXT,__text) non-external -[CalculateResult conversionsForMetric:US:UK:]
00000001a0171b50 (__TEXT,__text) non-external -[CalculateResult conversions]
00000001a0171c70 (__TEXT,__text) non-external -[CalculateResult convertedTo:]
00000001a0171ff4 (__TEXT,__text) non-external -[CalculateResult convertedTree:needsUpdate:]
00000001a0174d38 (__TEXT,__text) non-external -[CalculateResult dealloc]
00000001a0171bd0 (__TEXT,__text) non-external -[CalculateResult description]
00000001a01747e0 (__TEXT,__text) non-external -[CalculateResult enableMeasurementSystemsForLocale:metric:US:UK:]
00000001a0171bc8 (__TEXT,__text) non-external -[CalculateResult expression]
00000001a0171b88 (__TEXT,__text) non-external -[CalculateResult flexibleFractionDigits]
00000001a0174ab4 (__TEXT,__text) non-external -[CalculateResult formattedExpression]
00000001a0174948 (__TEXT,__text) non-external -[CalculateResult formattedResult]
00000001a0171b48 (__TEXT,__text) non-external -[CalculateResult hasStaleCurrencyData]
00000001a0174dc0 (__TEXT,__text) non-external -[CalculateResult init]
00000001a0171b58 (__TEXT,__text) non-external -[CalculateResult inputValueAndUnit]
00000001a0173734 (__TEXT,__text) non-external -[CalculateResult isAcceptableConversion:]
00000001a0174ab8 (__TEXT,__text) non-external -[CalculateResult isEqual:]
00000001a0171b78 (__TEXT,__text) non-external -[CalculateResult isTrivial]
00000001a0171bac (__TEXT,__text) non-external -[CalculateResult locales]
00000001a0171ad8 (__TEXT,__text) non-external -[CalculateResult localizeUnit]
00000001a01721fc (__TEXT,__text) non-external -[CalculateResult localizedConversions]
00000001a0173c8c (__TEXT,__text) non-external -[CalculateResult newUnit:]
00000001a0171bc0 (__TEXT,__text) non-external -[CalculateResult numberFormatter]
00000001a0171b0c (__TEXT,__text) non-external -[CalculateResult parent]
00000001a0171af8 (__TEXT,__text) non-external -[CalculateResult parseTree]
00000001a0171ae8 (__TEXT,__text) non-external -[CalculateResult resultTree]
00000001a0171b90 (__TEXT,__text) non-external -[CalculateResult setAutoScientificNotation:]
00000001a0171b80 (__TEXT,__text) non-external -[CalculateResult setFlexibleFractionDigits:]
00000001a0171ba0 (__TEXT,__text) non-external -[CalculateResult setLocales:]
00000001a0171ad0 (__TEXT,__text) non-external -[CalculateResult setLocalizeUnit:]
00000001a0171bb4 (__TEXT,__text) non-external -[CalculateResult setNumberFormatter:]
00000001a0171b00 (__TEXT,__text) non-external -[CalculateResult setParent:]
00000001a0171af0 (__TEXT,__text) non-external -[CalculateResult setParseTree:]
