0000000180fabdf8 (__TEXT,__text) external _OSAtomicAdd32
0000000180fabe04 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180fabe50 (__TEXT,__text) external _OSAtomicAdd64
0000000180fabe5c (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180fabea8 (__TEXT,__text) external _OSAtomicAnd32
0000000180fabeb8 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180fabec8 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180fabed4 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180fabf30 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180fabf44 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180fabfd0 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180fabfe4 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180fabf80 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180fabf94 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180fabfa8 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180fabfbc (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180fabf58 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180fabf6c (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180fabe30 (__TEXT,__text) external _OSAtomicDecrement32
0000000180fabe40 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180fabe88 (__TEXT,__text) external _OSAtomicDecrement64
0000000180fabe98 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180fac1d8 (__TEXT,__text) external _OSAtomicDequeue
0000000180fac0f8 (__TEXT,__text) external _OSAtomicEnqueue
0000000180faa368 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180fae094 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180faa2fc (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180fae094 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000180fabe10 (__TEXT,__text) external _OSAtomicIncrement32
0000000180fabe20 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180fabe68 (__TEXT,__text) external _OSAtomicIncrement64
0000000180fabe78 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180fabee0 (__TEXT,__text) external _OSAtomicOr32
0000000180fabeec (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180fabef8 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180fabf00 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180fac078 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180fac0b8 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180fabff8 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180fac038 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180fabf08 (__TEXT,__text) external _OSAtomicXor32
0000000180fabf14 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180fabf20 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180fabf28 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180fac234 (__TEXT,__text) external _OSMemoryBarrier
0000000180faa8dc (__TEXT,__text) external _OSSpinLockLock
0000000180faa8f8 (__TEXT,__text) external _OSSpinLockTry
0000000180faa928 (__TEXT,__text) external _OSSpinLockUnlock
0000000180fae8ac (__TEXT,__cstring) non-external __0x
0000000180fae88a (__TEXT,__cstring) non-external __H
0000000180fac270 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180fac23c (__TEXT,__text) non-external __OSAtomicDequeue_misalign_mte
0000000180fac168 (__TEXT,__text) non-external __OSAtomicDequeue_mte
0000000180fac1d8 (__TEXT,__text) non-external __OSAtomicDequeue_plain
