00000001d0f8e100 (__TEXT,__text) non-external +[NFPromise new]
00000001d0f8f9ac (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001d0f8f76c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001d0f8f754 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001d0f8f73c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001d0f8f634 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001d0f8f6dc (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001d0f8f674 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001d0f90f64 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00000001d0f90af0 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001d0f8c450 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001d0f8d928 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001d0f8d9b8 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001d0f8da4c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001d0f8dafc (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001d0f8fc40 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001d0f8fbb0 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001d0f931f8 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00000001d0f9313c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001d0f8c0cc (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001d0f8c2e0 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001d0f8beac (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001d0f8b970 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001d0f8be9c (__TEXT,__text) non-external -[NFEventManager events]
00000001d0f8b2d4 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001d0f934b8 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001d0f8bcd8 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001d0f8bad0 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001d0f8b250 (__TEXT,__text) non-external -[NFEventManager init]
00000001d0f8b4c0 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001d0f93630 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001d0f8b81c (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001d0f93864 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001d0f8b760 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001d0f937a8 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001d0f8b370 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001d0f93574 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001d0f8b610 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001d0f936ec (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001d0f8bea4 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001d0f8c008 (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001d0f8bff0 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001d0f8bfe8 (__TEXT,__text) non-external -[NFEventTrigger events]
00000001d0f8c000 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001d0f8bff8 (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001d0f8bef0 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001d0f8bfe0 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001d0f8d8d8 (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001d0f8d8c8 (__TEXT,__text) non-external -[NFLazy constructor]
00000001d0f8d6fc (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001d0f8d8d0 (__TEXT,__text) non-external -[NFLazy lock]
00000001d0f8d854 (__TEXT,__text) non-external -[NFLazy reset]
00000001d0f8d79c (__TEXT,__text) non-external -[NFLazy value]
00000001d0f92fd0 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001d0f928b0 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001d0f92fac (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001d0f92a88 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001d0f92fb4 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001d0f928ac (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001d0f92e3c (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001d0f927b0 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001d0f927b8 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00000001d0f92fbc (__TEXT,__text) non-external -[NFMultiDelegate lock]
00000001d0f92c94 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001d0f92938 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001d0f929c0 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001d0f92b1c (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001d0f92fc4 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00000001d0f9115c (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001d0f910bc (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001d0f910b4 (__TEXT,__text) non-external -[NFMutexLock init]
00000001d0f9120c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001d0f911a8 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001d0f91214 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001d0f8b200 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001d0f8b05c (__TEXT,__text) non-external -[NFPendingPromise init]
00000001d0f8b1cc (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001d0f8b1f0 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001d0f8b1e0 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001d0f8b1d4 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001d0f8b1f8 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001d0f8b1e8 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001d0f8f628 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001d0f8e220 (__TEXT,__text) non-external -[NFPromise always:]
00000001d0f8e8b8 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001d0f8e1b4 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001d0f8f4a8 (__TEXT,__text) non-external -[NFPromise delayOn]
00000001d0f8f38c (__TEXT,__text) non-external -[NFPromise delay]
00000001d0f8e210 (__TEXT,__text) non-external -[NFPromise error:]
00000001d0f8e82c (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001d0f8ede4 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001d0f8ece4 (__TEXT,__text) non-external -[NFPromise error]
00000001d0f8e12c (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001d0f8de6c (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001d0f8e078 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001d0f8dd18 (__TEXT,__text) non-external -[NFPromise init]
00000001d0f8eb90 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001d0f8ea4c (__TEXT,__text) non-external -[NFPromise pipe]
00000001d0f8f140 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001d0f8ee70 (__TEXT,__text) non-external -[NFPromise resolve]
00000001d0f8f614 (__TEXT,__text) non-external -[NFPromise seal]
00000001d0f8f61c (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001d0f8e200 (__TEXT,__text) non-external -[NFPromise then:]
00000001d0f8e230 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001d0f8e9c0 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001d0f8e938 (__TEXT,__text) non-external -[NFPromise then]
00000001d0f91678 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001d0f916ec (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001d0f90a24 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001d0f904d8 (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001d0f900fc (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001d0f93b78 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001d0f93c40 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001d0f909e4 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001d0f90a08 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001d0f90078 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001d0f8fff4 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001d0f8ff6c (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001d0f90a1c (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001d0f90640 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001d0f901dc (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001d0f901d0 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001d0f901ec (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001d0f90784 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001d0f93d08 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001d0f909ec (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001d0f90a10 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001d0f90a00 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001d0f909d8 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001d0f909f8 (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001d0f909d0 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001d0f91064 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001d0f90e94 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001d0f90d8c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001d0f91050 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001d0f91018 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001d0f90d40 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001d0f90b88 (__TEXT,__text) non-external -[NFReachability init]
00000001d0f9103c (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001d0f91028 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001d0f91058 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001d0f91020 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001d0f91044 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001d0f91030 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001d0f8d5f0 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001d0f8c868 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001d0f8c7f8 (__TEXT,__text) non-external -[NFStateMachine activate]
00000001d0f8caa0 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001d0f939e8 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001d0f8c994 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001d0f93920 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001d0f8c938 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001d0f8c8c4 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001d0f8c70c (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001d0f8c670 (__TEXT,__text) non-external -[NFStateMachine description]
00000001d0f8d5b8 (__TEXT,__text) non-external -[NFStateMachine events]
00000001d0f8cbac (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001d0f8c538 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001d0f8d5cc (__TEXT,__text) non-external -[NFStateMachine lock]
