                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffc0cee6538 (__TEXT,__text) external _PFCheckNATRule
00007ffc0cee3e96 (__TEXT,__text) external _PFCheckRule
00007ffc0cee2f9c (__TEXT,__text) external _PFFindStatesByDescriptor
00007ffc0cee3335 (__TEXT,__text) external _PFGetDescriptorStateDetails
00007ffc0cee7015 (__TEXT,__text) external _PFManagerAddUser
00007ffc0cee3d66 (__TEXT,__text) external _PFManagerCheckUserExists
00007ffc0cee3c7c (__TEXT,__text) external _PFManagerCreate
00007ffc0cee3a9c (__TEXT,__text) external _PFManagerDebugLog
00007ffc0cee3798 (__TEXT,__text) external _PFManagerErrorLog
00007ffc0cee36d4 (__TEXT,__text) external _PFManagerGetExternalAuthorizationObject
00007ffc0cee3b50 (__TEXT,__text) external _PFManagerGetQueue
00007ffc0cee39e8 (__TEXT,__text) external _PFManagerInfoLog
00007ffc0cee3892 (__TEXT,__text) external _PFManagerLogOpen
00007ffc0cee3937 (__TEXT,__text) external _PFManagerNoticeLog
00007ffc0cee7141 (__TEXT,__text) external _PFManagerRelease
00007ffc0cee70b3 (__TEXT,__text) external _PFManagerReleaseUser
00007ffc0cee3dcc (__TEXT,__text) external _PFManagerSendMessage
00007ffc0cee2d01 (__TEXT,__text) external _PFQueryGatewayAddrAndPortForDescriptor
00007ffc0cee3222 (__TEXT,__text) external _PFStateQueryAppendTrafficDescriptor
00007ffc0cee0f1f (__TEXT,__text) external _PFUserAddRule
00007ffc0cee0cea (__TEXT,__text) external _PFUserBeginRules
00007ffc0cee152b (__TEXT,__text) external _PFUserClearRules
00007ffc0cee25c2 (__TEXT,__text) external _PFUserClearStates
00007ffc0cee1183 (__TEXT,__text) external _PFUserCommitRules
00007ffc0cee240c (__TEXT,__text) external _PFUserCopyRules_S
00007ffc0cee0820 (__TEXT,__text) external _PFUserCreate
00007ffc0cee1f51 (__TEXT,__text) external _PFUserDeleteRule
00007ffc0cee1692 (__TEXT,__text) external _PFUserDeleteRules
00007ffc0cee21c3 (__TEXT,__text) external _PFUserGetRules
00007ffc0cee1a30 (__TEXT,__text) external _PFUserInsertRule
00007ffc0cee1d12 (__TEXT,__text) external _PFUserInsertRule_S
00007ffc0cee2823 (__TEXT,__text) external _PFUserNATLook
00007ffc0cee2ade (__TEXT,__text) external _PFUserNATLook_S
00007ffc0cee18f3 (__TEXT,__text) external _PFUserRelease
00007ffc0cee6dd0 (__TEXT,__text) external _PFXPCCleanup
00007ffc0cee6ae0 (__TEXT,__text) external _PFXPCGetResponse
00007ffc0cee6aed (__TEXT,__text) external _PFXPCSetupAndSend
00007ffc0cee7408 (__TEXT,__const) external _PacketFilterVersionNumber
00007ffc0cee73d0 (__TEXT,__const) external _PacketFilterVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc0cee482b (__TEXT,__text) non-external ___PFAddressCheck
00007ffc0cee5b32 (__TEXT,__text) non-external ___PFAllowOptsCheck
00007ffc0cee4672 (__TEXT,__text) non-external ___PFDirCheck
00007ffc0cee5dcc (__TEXT,__text) non-external ___PFDummyNetCheck
00007ffc0cee6401 (__TEXT,__text) non-external ___PFDummyNetConsistencyCheck
00007ffc0cee5b97 (__TEXT,__text) non-external ___PFExtFilterCheck
00007ffc0cee5c0b (__TEXT,__text) non-external ___PFExtMapCheck
00007ffc0cee479a (__TEXT,__text) non-external ___PFFamilyCheck
00007ffc0cee5ef3 (__TEXT,__text) non-external ___PFFilterConsistencyCheck
00007ffc0cee3071 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke
00007ffc0cee30f7 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_2
00007ffc0cee316a (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_3
00007ffc0cee4ed6 (__TEXT,__text) non-external ___PFFlagsCheck
00007ffc0cee5287 (__TEXT,__text) non-external ___PFGroupCheck
00007ffc0cee565e (__TEXT,__text) non-external ___PFICMPCheck
00007ffc0cee66d6 (__TEXT,__text) non-external ___PFIPAddressCheck
00007ffc0cee6650 (__TEXT,__text) non-external ___PFInterfaceExists
00007ffc0cee54ea (__TEXT,__text) non-external ___PFLogCheck
00007ffc40cb02a8 (__DATA_CONST,__const) non-external ___PFManagerClass
00007ffc0cee3849 (__TEXT,__text) non-external ___PFManagerCreateAuthorization
00007ffc0cee38ef (__TEXT,__text) non-external ___PFManagerLogCreate
00007ffc0cee7153 (__TEXT,__text) non-external ___PFManagerLogCreate.cold.1
00007ffc0cee3bb5 (__TEXT,__text) non-external ___PFManagerQueueCreate
00007ffc0cee3e0b (__TEXT,__text) non-external ___PFManagerRegister
00007ffc0cee3e24 (__TEXT,__text) non-external ___PFManagerRelease
00007ffc0cee718b (__TEXT,__text) non-external ___PFManagerRelease.cold.1
00007ffc0cee5d69 (__TEXT,__text) non-external ___PFMaxStatesCheck
00007ffc0cee5d04 (__TEXT,__text) non-external ___PFNatPassCheck
00007ffc0cee68ec (__TEXT,__text) non-external ___PFNegatedCheck
00007ffc0cee6817 (__TEXT,__text) non-external ___PFOperatorCheck
00007ffc0cee694a (__TEXT,__text) non-external ___PFParseFlags
00007ffc0cee6741 (__TEXT,__text) non-external ___PFPortCheck
00007ffc0cee46e0 (__TEXT,__text) non-external ___PFProtocolCheck
00007ffc0cee2ded (__TEXT,__text) non-external ___PFQueryGatewayAddrAndPortForDescriptor_block_invoke
00007ffc0cee6278 (__TEXT,__text) non-external ___PFRDRConsistencyCheck
00007ffc0cee5c7f (__TEXT,__text) non-external ___PFRTableCheck
00007ffc0cee69b5 (__TEXT,__text) non-external ___PFRuleStrToNum
00007ffc0cee5920 (__TEXT,__text) non-external ___PFScrubOptionsCheck
00007ffc0cee5ac4 (__TEXT,__text) non-external ___PFStateCheck
00007ffc0cee5778 (__TEXT,__text) non-external ___PFTagCheck
00007ffc0cee109b (__TEXT,__text) non-external ___PFUserAddRule_block_invoke
00007ffc0cee0e0a (__TEXT,__text) non-external ___PFUserBeginRules_block_invoke
00007ffc0cee5024 (__TEXT,__text) non-external ___PFUserCheck
00007ffc40cb00d8 (__DATA_CONST,__const) non-external ___PFUserClass
00007ffc0cee1602 (__TEXT,__text) non-external ___PFUserClearRules_block_invoke
00007ffc0cee2681 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke
00007ffc0cee2796 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke_2
00007ffc0cee1269 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke
