00007ff8400b8df0 (__DATA,__data) external _NDR_record
00007ff800bf4fe8 (__TEXT,__text) non-external __Xexception_raise
00007ff800bf5090 (__TEXT,__text) non-external __Xexception_raise_state
00007ff800bf519a (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800be1810 (__TEXT,__text) external _____sigwait_nocancel
00007ff800c0b868 (__TEXT,__const) external ____kernelVersionNumber
00007ff800c0b830 (__TEXT,__const) external ____kernelVersionString
00007ff800be1828 (__TEXT,__text) external ___abort_with_payload
00007ff800be1840 (__TEXT,__text) external ___accept
00007ff800be1858 (__TEXT,__text) external ___accept_nocancel
00007ff800be1870 (__TEXT,__text) external ___access_extended
00007ff800be1888 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800be18a0 (__TEXT,__text) external ___bind
00007ff800be18b8 (__TEXT,__text) external ___bsdthread_create
00007ff800be18d0 (__TEXT,__text) external ___bsdthread_ctl
00007ff800be18e8 (__TEXT,__text) external ___bsdthread_register
00007ff800be1900 (__TEXT,__text) external ___bsdthread_terminate
00007ff800bf4346 (__TEXT,__text) external ___carbon_delete
00007ff800be1918 (__TEXT,__text) external ___channel_get_info
00007ff800be1930 (__TEXT,__text) external ___channel_get_opt
00007ff800be1948 (__TEXT,__text) external ___channel_open
00007ff800be1960 (__TEXT,__text) external ___channel_set_opt
00007ff800be1978 (__TEXT,__text) external ___channel_sync
00007ff800be1990 (__TEXT,__text) external ___chmod
00007ff800be19a8 (__TEXT,__text) external ___chmod_extended
00007ff800be19c0 (__TEXT,__text) external ___close_nocancel
00007ff800be19d8 (__TEXT,__text) external ___coalition
00007ff800be19f0 (__TEXT,__text) external ___coalition_info
00007ff800be1a08 (__TEXT,__text) external ___coalition_ledger
00007ff800be77d3 (__TEXT,__text) external ___commpage_gettimeofday
00007ff800be77da (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800be1a20 (__TEXT,__text) external ___connect
00007ff800be1a38 (__TEXT,__text) external ___connect_nocancel
00007ff800be1a50 (__TEXT,__text) external ___copyfile
00007ff800be1a68 (__TEXT,__text) external ___crossarch_trap
00007ff800be1a80 (__TEXT,__text) external ___csrctl
00007ff800becaec (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800be1a98 (__TEXT,__text) external ___debug_syscall_reject
00007ff800be1ab0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800be1ac8 (__TEXT,__text) external ___delete
00007ff800be1ae0 (__TEXT,__text) external ___disable_threadsignal
00007ff800be7ef4 (__TEXT,__text) external ___error
00007ff800be1af8 (__TEXT,__text) external ___execve
