00007ffb05fef144 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007ffb05fef274 (__TEXT,__gcc_except_tab) non-external GCC_except_table160
00007ffb05fef2b0 (__TEXT,__gcc_except_tab) non-external GCC_except_table183
00007ffb05fef2c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table219
00007ffb05fef2d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table225
00007ffb05fef2ec (__TEXT,__gcc_except_tab) non-external GCC_except_table274
00007ffb05fef2fc (__TEXT,__gcc_except_tab) non-external GCC_except_table306
00007ffb05fef348 (__TEXT,__gcc_except_tab) non-external GCC_except_table401
00007ffb05fef35c (__TEXT,__gcc_except_tab) non-external GCC_except_table415
00007ffb05fef36c (__TEXT,__gcc_except_tab) non-external GCC_except_table416
00007ffb05fef380 (__TEXT,__gcc_except_tab) non-external GCC_except_table419
00007ffb05fef394 (__TEXT,__gcc_except_tab) non-external GCC_except_table420
00007ffb05fef3b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table421
00007ffb05fef3dc (__TEXT,__gcc_except_tab) non-external GCC_except_table478
00007ffb05fef400 (__TEXT,__gcc_except_tab) non-external GCC_except_table543
00007ffb05fef174 (__TEXT,__gcc_except_tab) non-external GCC_except_table61
00007ffb05fef1b4 (__TEXT,__gcc_except_tab) non-external GCC_except_table63
00007ffb05fef1dc (__TEXT,__gcc_except_tab) non-external GCC_except_table64
00007ffb05fef1f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table70
00007ffb05fef204 (__TEXT,__gcc_except_tab) non-external GCC_except_table73
00007ffb05fd8410 (__TEXT,__text) external _CCCacheDeleteDisablePurgeNotification
00007ffb05fd742f (__TEXT,__text) external _CCCacheDeleteEnablePurgeNotification
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateCopy (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArraySortValues (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryApplyFunction (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateCopy (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetKeysAndValues (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFErrorCopyFailureReason (from CoreFoundation)
                 (undefined) external _CFGetRetainCount (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNotificationCenterAddObserver (from CoreFoundation)
                 (undefined) external _CFNotificationCenterGetDarwinNotifyCenter (from CoreFoundation)
                 (undefined) external _CFNumberCompare (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
