00007ffa1e8ede3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e8ee11b (__TEXT,__text) non-external _DiToSHA1
00007ffa1e8d8040 (__TEXT,__text) external _DriverExecutableMain
00007ffa4193ec68 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa4193ef28 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa4193ee30 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa4193f020 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa4193f180 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa1e8d4f23 (__TEXT,__text) external _IODelay
00007ffa4193f330 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa4193f4e0 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa1e8d856e (__TEXT,__text) external _IODriverKitTest
00007ffa1e8fc783 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa1e8fc7ae (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa1e8fc7d1 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa1e8fc7fc (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa1e8fc81f (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa1e8fc842 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa1e8fc865 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa1e8fc888 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa4193f690 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa1e8d4ed2 (__TEXT,__text) external _IOFree
00007ffa1e8d4f09 (__TEXT,__text) external _IOFreeData
00007ffa1e8d8553 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa4193fee0 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa4193f7f0 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa1e8d4f36 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa1e8d7464 (__TEXT,__text) external _IOLockAlloc
00007ffa1e8d74b3 (__TEXT,__text) external _IOLockAssert
00007ffa1e8fc1d7 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa1e8d747f (__TEXT,__text) external _IOLockFree
00007ffa1e8d7495 (__TEXT,__text) external _IOLockLock
00007ffa1e8d749f (__TEXT,__text) external _IOLockTryLock
00007ffa1e8d74a9 (__TEXT,__text) external _IOLockUnlock
00007ffa1e8d4d3f (__TEXT,__text) external _IOLog
00007ffa1e8d4bc8 (__TEXT,__text) external _IOLogBuffer
00007ffa1e8d4de7 (__TEXT,__text) external _IOLogv
00007ffa1e8d4ea5 (__TEXT,__text) external _IOMalloc
00007ffa1e8d4edc (__TEXT,__text) external _IOMallocData
00007ffa1e8d4ec0 (__TEXT,__text) external _IOMallocZero
00007ffa1e8d4ef7 (__TEXT,__text) external _IOMallocZeroData
00007ffa4193f9a0 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa4193fb50 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa1e8d4fb6 (__TEXT,__text) external _IOParseBootArgNumber
00007ffa1e8d5465 (__TEXT,__text) external _IOParseBootArgString
00007ffa1e8d6779 (__TEXT,__text) external _IORPCMessageFromMach
00007ffa1e8fbf76 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffa1e8fbfab (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa1e8d76a1 (__TEXT,__text) external _IORWLockAlloc
00007ffa1e8fc2ef (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffa1e8d76d6 (__TEXT,__text) external _IORWLockFree
00007ffa1e8d76fd (__TEXT,__text) external _IORWLockRead
00007ffa1e8fc312 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa1e8d7725 (__TEXT,__text) external _IORWLockUnlock
00007ffa1e8fc358 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa1e8d7711 (__TEXT,__text) external _IORWLockWrite
