                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018ca6790c (__TEXT,__text) external __cg_jcopy_block_row
000000018ca678b4 (__TEXT,__text) external __cg_jcopy_sample_rows
000000018ca82e8c (__TEXT,__text) external __cg_jinit_1pass_quantizer
000000018ca5ec70 (__TEXT,__text) external __cg_jinit_2pass_quantizer
000000018ca66e00 (__TEXT,__text) external __cg_jinit_c_coef_controller
000000018ca67938 (__TEXT,__text) external __cg_jinit_c_main_controller
000000018ca71698 (__TEXT,__text) external __cg_jinit_c_master_control
000000018ca67b7c (__TEXT,__text) external __cg_jinit_c_prep_controller
000000018ca5dbd8 (__TEXT,__text) external __cg_jinit_color_converter
000000018ca66340 (__TEXT,__text) external __cg_jinit_color_deconverter
000000018ca5da60 (__TEXT,__text) external __cg_jinit_compress_master
000000018ca70670 (__TEXT,__text) external __cg_jinit_d_coef_controller
000000018ca7310c (__TEXT,__text) external __cg_jinit_d_main_controller
000000018ca73d60 (__TEXT,__text) external __cg_jinit_d_post_controller
000000018ca7ad5c (__TEXT,__text) external __cg_jinit_downsampler
000000018ca65868 (__TEXT,__text) external __cg_jinit_forward_dct
000000018ca7c1f4 (__TEXT,__text) external __cg_jinit_huff_decoder
000000018ca7ffa8 (__TEXT,__text) external __cg_jinit_huff_encoder
000000018ca68c3c (__TEXT,__text) external __cg_jinit_input_controller
000000018ca5e4e8 (__TEXT,__text) external __cg_jinit_inverse_dct
000000018ca60254 (__TEXT,__text) external __cg_jinit_marker_reader
000000018ca7eae4 (__TEXT,__text) external __cg_jinit_marker_writer
000000018ca72b10 (__TEXT,__text) external __cg_jinit_master_decompress
000000018ca840fc (__TEXT,__text) external __cg_jinit_memory_mgr
000000018ca7bb44 (__TEXT,__text) external __cg_jinit_merged_upsampler
000000018ca737e4 (__TEXT,__text) external __cg_jinit_upsampler
000000018ca7a89c (__TEXT,__text) external __cg_jpeg_CreateCompress
000000018ca68308 (__TEXT,__text) external __cg_jpeg_CreateDecompress
000000018ca625b4 (__TEXT,__text) external __cg_jpeg_abort
000000018ca7a9c8 (__TEXT,__text) external __cg_jpeg_abort_compress
000000018ca68410 (__TEXT,__text) external __cg_jpeg_abort_decompress
000000018ca6faac (__TEXT,__text) external __cg_jpeg_add_quant_table
000000018ca62670 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
000000018ca62644 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
000000018ca7275c (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
000000018ca684ac (__TEXT,__text) external __cg_jpeg_consume_input
000000018ca7e524 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
000000018ca6fee8 (__TEXT,__text) external __cg_jpeg_default_colorspace
000000018ca62608 (__TEXT,__text) external __cg_jpeg_destroy
000000018ca7a9c4 (__TEXT,__text) external __cg_jpeg_destroy_compress
000000018ca6840c (__TEXT,__text) external __cg_jpeg_destroy_decompress
000000018ca83b20 (__TEXT,__text) external __cg_jpeg_fdct_float
000000018ca7e108 (__TEXT,__text) external __cg_jpeg_fdct_ifast
000000018ca74704 (__TEXT,__text) external __cg_jpeg_fdct_islow
000000018ca7aa1c (__TEXT,__text) external __cg_jpeg_finish_compress
000000018ca68834 (__TEXT,__text) external __cg_jpeg_finish_decompress
000000018ca7fef0 (__TEXT,__text) external __cg_jpeg_finish_output
000000018ca63d38 (__TEXT,__text) external __cg_jpeg_free_large
000000018ca63d28 (__TEXT,__text) external __cg_jpeg_free_small
000000018ca63d30 (__TEXT,__text) external __cg_jpeg_get_large
000000018ca63d20 (__TEXT,__text) external __cg_jpeg_get_small
000000018ca687dc (__TEXT,__text) external __cg_jpeg_has_multiple_scans
000000018ca6a54c (__TEXT,__text) external __cg_jpeg_idct_1x1
000000018ca6a4b0 (__TEXT,__text) external __cg_jpeg_idct_2x2
000000018ca6a1c0 (__TEXT,__text) external __cg_jpeg_idct_4x4
000000018ca7437c (__TEXT,__text) external __cg_jpeg_idct_float
000000018ca65490 (__TEXT,__text) external __cg_jpeg_idct_ifast
000000018ca695c0 (__TEXT,__text) external __cg_jpeg_idct_islow
000000018ca68784 (__TEXT,__text) external __cg_jpeg_input_complete
000000018ca63d40 (__TEXT,__text) external __cg_jpeg_mem_available
000000018ca63f44 (__TEXT,__text) external __cg_jpeg_mem_init
000000018ca63f50 (__TEXT,__text) external __cg_jpeg_mem_term
000000018ca85ae0 (__TEXT,__const) external __cg_jpeg_natural_order
000000018ca72a60 (__TEXT,__text) external __cg_jpeg_new_colormap
000000018ca63d50 (__TEXT,__text) external __cg_jpeg_open_backing_store
000000018ca6fc98 (__TEXT,__text) external __cg_jpeg_quality_scaling
000000018ca741ac (__TEXT,__text) external __cg_jpeg_read_coefficients
000000018ca68414 (__TEXT,__text) external __cg_jpeg_read_header
000000018ca7fd64 (__TEXT,__text) external __cg_jpeg_read_raw_data
000000018ca7fc84 (__TEXT,__text) external __cg_jpeg_read_scanlines
000000018ca5ffe4 (__TEXT,__text) external __cg_jpeg_resync_to_restart
000000018ca61ad0 (__TEXT,__text) external __cg_jpeg_save_markers
000000018ca6ff80 (__TEXT,__text) external __cg_jpeg_set_colorspace
000000018ca6fd74 (__TEXT,__text) external __cg_jpeg_set_defaults
000000018ca6fc28 (__TEXT,__text) external __cg_jpeg_set_linear_quality
000000018ca61e2c (__TEXT,__text) external __cg_jpeg_set_marker_processor
000000018ca6fcd0 (__TEXT,__text) external __cg_jpeg_set_quality
000000018ca7032c (__TEXT,__text) external __cg_jpeg_simple_progression
000000018ca6f7e0 (__TEXT,__text) external __cg_jpeg_start_compress
000000018ca7fa50 (__TEXT,__text) external __cg_jpeg_start_decompress
000000018ca7fe60 (__TEXT,__text) external __cg_jpeg_start_output
000000018ca7b8c4 (__TEXT,__text) external __cg_jpeg_std_error
000000018ca6269c (__TEXT,__text) external __cg_jpeg_std_huff_table
000000018ca858ed (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
000000018ca8583a (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
000000018ca8581d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
000000018ca85800 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
000000018ca858fe (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
000000018ca8584b (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
