00007ff8062fb58c (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff8062fb553 (__TEXT,__text) external _CreateLSTMData
00007ff8062fb3f8 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff8062fb732 (__TEXT,__text) external _DeleteLSTMData
00007ff8062fb763 (__TEXT,__text) external _LSTMDataName
00007ff8062db709 (__TEXT,__text) external _T_CString_int64ToString
00007ff8062db65a (__TEXT,__text) external _T_CString_integerToString
00007ff8062db7bd (__TEXT,__text) external _T_CString_stringToInteger
00007ff8062db5f7 (__TEXT,__text) external _T_CString_toLowerCase
00007ff8062db62a (__TEXT,__text) external _T_CString_toUpperCase
00007ff80633fec7 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff80633fc68 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff80633fb60 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff80633fda1 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff806340475 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff806340423 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff80633fc62 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff806340445 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff80635e9fa (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8063663f0 (__TEXT,__text) external __Z15ulocimp_getNamePKcR10UErrorCode
00007ff80636648b (__TEXT,__text) external __Z15ulocimp_getNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff806367968 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff806365ff1 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00007ff80636608a (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
