00007ff8113eebc4 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff8113f4635 (__TEXT,__text) non-external +[CalCalendar _colorFromString:]
00007ff8113f4869 (__TEXT,__text) non-external +[CalCalendar _colorStringRepresentation:]
00007ff8113f4969 (__TEXT,__text) non-external +[CalCalendar calendarFromRemoteManagedObject:]
00007ff8113f4003 (__TEXT,__text) non-external +[CalCalendar calendar]
00007ff8113f3289 (__TEXT,__text) non-external +[CalCalendarStore _calStoreSpanWithCalSpan:]
00007ff8113f3aa6 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00007ff8113f3be0 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00007ff8113f395a (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00007ff8113f37b0 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00007ff8113edc10 (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00007ff8113ed235 (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00007ff8113ed21c (__TEXT,__text) non-external +[CalCalendarStore authorizationStatusForServiceName:]
00007ff8113ed0e8 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00007ff8113f3291 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00007ff8113eda75 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00007ff8113f13a8 (__TEXT,__text) non-external +[CalCalendarStore requestAccessForServiceName:]
00007ff8113f3483 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00007ff8113f34ed (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00007ff8113f3609 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00007ff8113f3694 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00007ff8113f5b44 (__TEXT,__text) non-external +[CalEvent eventFromRemoteManagedObject:]
00007ff8113f5b58 (__TEXT,__text) non-external +[CalEvent eventFromRemoteManagedObject:skipTimezoneTranslation:]
00007ff8113f52a6 (__TEXT,__text) non-external +[CalEvent event]
00007ff8113ef998 (__TEXT,__text) non-external +[CalEventPredicate predicateWithPredicate:startDate:endDate:UID:calendars:]
00007ff8113edc5e (__TEXT,__text) non-external +[CalEventPredicate predicateWithPredicate:startDate:endDate:calendars:]
00007ff8113f0abb (__TEXT,__text) non-external +[CalGroup _convertURLFromManagedServerURL:withLogin:]
00007ff8113f0ba7 (__TEXT,__text) non-external +[CalGroup _loginFromURL:]
00007ff8113f0bc5 (__TEXT,__text) non-external +[CalGroup groupFromRemoteManagedObject:]
00007ff8113f01d3 (__TEXT,__text) non-external +[CalGroup groupWithType:]
00007ff8113f01ba (__TEXT,__text) non-external +[CalGroup group]
00007ff8113f80ac (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00007ff8113f8565 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
00007ff8113f859b (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
00007ff8113f7580 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
