00007ff802ddefcf (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff802ddef8d (__TEXT,__text) external _CreateLSTMData
00007ff802ddee42 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff802ddf168 (__TEXT,__text) external _DeleteLSTMData
00007ff802ddf199 (__TEXT,__text) external _LSTMDataName
00007ff802dc01dc (__TEXT,__text) external _T_CString_int64ToString
00007ff802dc013d (__TEXT,__text) external _T_CString_integerToString
00007ff802dc027b (__TEXT,__text) external _T_CString_stringToInteger
00007ff802dc00dd (__TEXT,__text) external _T_CString_toLowerCase
00007ff802dc010d (__TEXT,__text) external _T_CString_toUpperCase
00007ff802e2476f (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff802e2452b (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff802e2442e (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff802e24647 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff802e24d0d (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff802e24cbb (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff802e24525 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff802e24cdd (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff802e705f5 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff802fc4ee7 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff802db85f0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff802db8586 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff802db8668 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff802db865c (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff802db8580 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff802db857a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff802db8570 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff802e97fa8 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
00007ff802e98098 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00007ff802e97ee2 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff802e97f32 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff802e97f62 (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff802e97f5c (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff802e97f52 (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff802e97f68 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00007ff802dbfb02 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00007ff802dbfd0c (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00007ff802dbf766 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00007ff802dbfbe6 (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00007ff802dbfc84 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00007ff802dbfc46 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00007ff802dbfd78 (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00007ff802dbf98a (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00007ff802dbf944 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00007ff802dbf71a (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00007ff802dbf922 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00007ff802dbf5dc (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00007ff802dbf57e (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00007ff802dbf5e6 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00007ff802ebc5f2 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00007ff802ebc4de (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00007ff802ebc3a4 (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
00007ff802ebc4aa (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
00007ff802ebc378 (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
00007ff802ebc492 (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00007ff802ebbfc0 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
00007ff802ebbfdc (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
00007ff802ebc44e (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
00007ff802ebc402 (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
00007ff802ebbe94 (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
00007ff802ebbe6a (__TEXT,__text) external __ZN3icu10DateFormat18createTimeInstanceENS0_6EStyleERKNS_6LocaleE
00007ff802ebc5bc (__TEXT,__text) external __ZN3icu10DateFormat18setCalendarLenientEa
00007ff802ebc36e (__TEXT,__text) external __ZN3icu10DateFormat19getAvailableLocalesERi
00007ff802ebc63a (__TEXT,__text) external __ZN3icu10DateFormat19setBooleanAttributeE27UDateFormatBooleanAttributeaR10UErrorCode
00007ff802ebbe7c (__TEXT,__text) external __ZN3icu10DateFormat22createDateTimeInstanceENS0_6EStyleES1_RKNS_6LocaleE
00007ff802ebc146 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonEPNS_8CalendarERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff802ebc34a (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringER10UErrorCode
00007ff802ebc28e (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff802ebbeb0 (__TEXT,__text) external __ZN3icu10DateFormat6createENS0_6EStyleES1_RKNS_6LocaleE
00007ff802ebb94a (__TEXT,__text) external __ZN3icu10DateFormatC2ERKS0_
00007ff802ebb910 (__TEXT,__text) external __ZN3icu10DateFormatC2Ev
00007ff802ebba6e (__TEXT,__text) external __ZN3icu10DateFormatD0Ev
00007ff802ebba68 (__TEXT,__text) external __ZN3icu10DateFormatD1Ev
00007ff802ebba22 (__TEXT,__text) external __ZN3icu10DateFormatD2Ev
00007ff802ebb990 (__TEXT,__text) external __ZN3icu10DateFormataSERKS0_
00007ff802ef2ca0 (__TEXT,__text) external __ZN3icu10GenderInfo11getInstanceERKNS_6LocaleER10UErrorCode
00007ff802ef2dca (__TEXT,__text) external __ZN3icu10GenderInfo12loadInstanceERKNS_6LocaleER10UErrorCode
00007ff802ef30e8 (__TEXT,__text) external __ZN3icu10GenderInfo18getNeutralInstanceEv
00007ff802ef3108 (__TEXT,__text) external __ZN3icu10GenderInfo21getMaleTaintsInstanceEv
00007ff802ef30f6 (__TEXT,__text) external __ZN3icu10GenderInfo23getMixedNeutralInstanceEv
00007ff802ef2c50 (__TEXT,__text) external __ZN3icu10GenderInfoC1Ev
00007ff802ef2c6a (__TEXT,__text) external __ZN3icu10GenderInfoC2Ev
00007ff802ef2c84 (__TEXT,__text) external __ZN3icu10GenderInfoD0Ev
00007ff802ef2c60 (__TEXT,__text) external __ZN3icu10GenderInfoD1Ev
00007ff802ef2c7a (__TEXT,__text) external __ZN3icu10GenderInfoD2Ev
00007ff802deaea8 (__TEXT,__text) external __ZN3icu10Normalizer10quickCheckERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00007ff802deb53e (__TEXT,__text) external __ZN3icu10Normalizer11clearBufferEv
00007ff802deaff0 (__TEXT,__text) external __ZN3icu10Normalizer11concatenateERKNS_13UnicodeStringES3_RS1_18UNormalizationModeiR10UErrorCode
00007ff802deaf50 (__TEXT,__text) external __ZN3icu10Normalizer12isNormalizedERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00007ff802deb562 (__TEXT,__text) external __ZN3icu10Normalizer12setIndexOnlyEi
00007ff802deb1ac (__TEXT,__text) external __ZN3icu10Normalizer13nextNormalizeEv
00007ff802dea88a (__TEXT,__text) external __ZN3icu10Normalizer16getStaticClassIDEv
00007ff802deb3a6 (__TEXT,__text) external __ZN3icu10Normalizer17previousNormalizeEv
00007ff802dea92e (__TEXT,__text) external __ZN3icu10Normalizer4initEv
00007ff802deb5f4 (__TEXT,__text) external __ZN3icu10Normalizer4lastEv
00007ff802deb304 (__TEXT,__text) external __ZN3icu10Normalizer4nextEv
00007ff802deb5a8 (__TEXT,__text) external __ZN3icu10Normalizer5firstEv
00007ff802deb4f8 (__TEXT,__text) external __ZN3icu10Normalizer5resetEv
00007ff802deae7c (__TEXT,__text) external __ZN3icu10Normalizer7composeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00007ff802deb15e (__TEXT,__text) external __ZN3icu10Normalizer7currentEv
00007ff802deb8aa (__TEXT,__text) external __ZN3icu10Normalizer7getTextERNS_13UnicodeStringE
00007ff802deb686 (__TEXT,__text) external __ZN3icu10Normalizer7setModeE18UNormalizationMode
00007ff802deb7e8 (__TEXT,__text) external __ZN3icu10Normalizer7setTextENS_14ConstChar16PtrEiR10UErrorCode
00007ff802deb6c4 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_13UnicodeStringER10UErrorCode
00007ff802deb762 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_17CharacterIteratorER10UErrorCode
00007ff802deb35c (__TEXT,__text) external __ZN3icu10Normalizer8previousEv
00007ff802deae92 (__TEXT,__text) external __ZN3icu10Normalizer9decomposeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00007ff802dead40 (__TEXT,__text) external __ZN3icu10Normalizer9normalizeERKNS_13UnicodeStringE18UNormalizationModeiRS1_R10UErrorCode
00007ff802deb69e (__TEXT,__text) external __ZN3icu10Normalizer9setOptionEia
00007ff802deaa80 (__TEXT,__text) external __ZN3icu10NormalizerC1ENS_14ConstChar16PtrEi18UNormalizationMode
00007ff802dea9cc (__TEXT,__text) external __ZN3icu10NormalizerC1ERKNS_13UnicodeStringE18UNormalizationMode
