                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
000000023d0f1730 (__TEXT,__text) external _DRBufferAsResource
000000023d0f1994 (__TEXT,__text) external _DRBufferCopyDescriptor
000000023d0f18b0 (__TEXT,__text) external _DRBufferCreateUnmanaged
000000023d0f180c (__TEXT,__text) external _DRBufferDescriptorCreate
000000023d0f1860 (__TEXT,__text) external _DRBufferDescriptorGetCapacity
000000023d0f1888 (__TEXT,__text) external _DRBufferDescriptorGetSizeMultiple
000000023d0f1874 (__TEXT,__text) external _DRBufferDescriptorSetCapacity
000000023d0f189c (__TEXT,__text) external _DRBufferDescriptorSetSizeMultiple
000000023d0f1a10 (__TEXT,__text) external _DRBufferGetBytesUsed
000000023d0f1a34 (__TEXT,__text) external _DRBufferRead
000000023d0f1a64 (__TEXT,__text) external _DRBufferReadUsing
000000023d0f1a44 (__TEXT,__text) external _DRBufferReplace
000000023d0f1ac8 (__TEXT,__text) external _DRBufferReplaceUsing
000000023d0f1a24 (__TEXT,__text) external _DRBufferSetBytesUsed
000000023d0f1a54 (__TEXT,__text) external _DRBufferUpdate
000000023d0f1dd8 (__TEXT,__text) external _DRClientConnectionConfigCreate
000000023d0f1e3c (__TEXT,__text) external _DRClientConnectionConfigSetServiceQueue
000000023d0f1e28 (__TEXT,__text) external _DRClientConnectionConfigSetUserData
000000023d0f1f68 (__TEXT,__text) external _DRClientConnectionGetCommitQueue
000000023d0f1f7c (__TEXT,__text) external _DRClientConnectionReceive
000000023d0f1f90 (__TEXT,__text) external _DRClientConnectionTearDown
000000023d0f2234 (__TEXT,__text) external _DRCommitQueueApplyAll
000000023d0f2174 (__TEXT,__text) external _DRCommitQueueApplyThrough
000000023d0f229c (__TEXT,__text) external _DRCommitQueueEntryGetCommitId
000000023d0f22a4 (__TEXT,__text) external _DRCommitQueueEntryGetUserPayload
000000023d0f2068 (__TEXT,__text) external _DRCommitQueueEnumerate
000000023d0f2240 (__TEXT,__text) external _DRCommitQueueGetLastAppliedCommitId
000000023d0f2254 (__TEXT,__text) external _DRCommitQueueGetLatestAvailableCommitId
000000023d0f2264 (__TEXT,__text) external _DRCommitQueueTakeFrom
000000023d0f2280 (__TEXT,__text) external _DRCommitQueueTakeThrough
000000023d0f0bd4 (__TEXT,__text) external _DRContextCommit
000000023d0f0d58 (__TEXT,__text) external _DRContextCommitAddFence
000000023d0f05c4 (__TEXT,__text) external _DRContextConfigCreate
000000023d0f0658 (__TEXT,__text) external _DRContextConfigGetMode
000000023d0f06a8 (__TEXT,__text) external _DRContextConfigSetDevice
000000023d0f0630 (__TEXT,__text) external _DRContextConfigSetDispatchQueue
000000023d0f0680 (__TEXT,__text) external _DRContextConfigSetMaxPendingFrames
000000023d0f0644 (__TEXT,__text) external _DRContextConfigSetMode
000000023d0f066c (__TEXT,__text) external _DRContextConfigSetReuseStrategy
000000023d0f0694 (__TEXT,__text) external _DRContextConfigSetUnusedResourceMaxAge
000000023d0f073c (__TEXT,__text) external _DRContextCreate
000000023d0f0abc (__TEXT,__text) external _DRContextCreateBuffer
000000023d0f1e50 (__TEXT,__text) external _DRContextCreateClient
000000023d0f202c (__TEXT,__text) external _DRContextCreateCommitQueue
000000023d0f07c8 (__TEXT,__text) external _DRContextCreateMesh
000000023d0f0888 (__TEXT,__text) external _DRContextCreateTexture
000000023d0f0948 (__TEXT,__text) external _DRContextCreateTextureFromResource
000000023d0f0ce0 (__TEXT,__text) external _DRContextGetCommitUserPayload
000000023d0f0b7c (__TEXT,__text) external _DRContextHasOpenCommit
000000023d0f1144 (__TEXT,__text) external _DRContextSetChangeObserver
000000023d0f0c34 (__TEXT,__text) external _DRContextSetCommitUserPayload
000000023d0f0df0 (__TEXT,__text) external _DRContextSetOnCommitBegan
000000023d0f0f94 (__TEXT,__text) external _DRContextSetOnCommitComplete
000000023d0eff58 (__TEXT,__text) external _DRFenceCreate
000000023d0effb8 (__TEXT,__text) external _DRFenceGetLabel
000000023d0effa8 (__TEXT,__text) external _DRFenceInvalidate
000000023d0f17cc (__TEXT,__text) external _DRMaterialAsResource
000000023d0f39a8 (__TEXT,__const) external _DRMaxVertexBuffers
000000023d0f1b9c (__TEXT,__text) external _DRMemoryResourceCopyBuffer
000000023d0f1bd0 (__TEXT,__text) external _DRMemoryResourceCopyToXPC
000000023d0f1b68 (__TEXT,__text) external _DRMemoryResourceCreate
000000023d0f1cfc (__TEXT,__text) external _DRMemoryResourceCreateFromSharedTextureHandle
000000023d0f1bfc (__TEXT,__text) external _DRMemoryResourceCreateFromXPC
000000023d0f1c84 (__TEXT,__text) external _DRMemoryResourceDidUpdateBytes
000000023d0f1c74 (__TEXT,__text) external _DRMemoryResourceGetBytes
000000023d0f1c60 (__TEXT,__text) external _DRMemoryResourceGetLength
000000023d0f1c4c (__TEXT,__text) external _DRMemoryResourceIsPrivateToProcess
000000023d0f15cc (__TEXT,__text) external _DRMeshAsResource
000000023d0ef1ec (__TEXT,__text) external _DRMeshCopyDescriptor
000000023d0ef108 (__TEXT,__text) external _DRMeshCreateUnmanaged
000000023d0ef880 (__TEXT,__text) external _DRMeshDescriptorCalculateBufferSizes
000000023d0eebd8 (__TEXT,__text) external _DRMeshDescriptorCreate
000000023d0eec5c (__TEXT,__text) external _DRMeshDescriptorGetIndexCapacity
000000023d0eec84 (__TEXT,__text) external _DRMeshDescriptorGetIndexType
000000023d0eecac (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeCount
000000023d0eee54 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeFormat
000000023d0eec0c (__TEXT,__text) external _DRMeshDescriptorGetVertexBufferCount
000000023d0eec34 (__TEXT,__text) external _DRMeshDescriptorGetVertexCapacity
000000023d0ef070 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayout
000000023d0eeed0 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayoutCount
000000023d0eec70 (__TEXT,__text) external _DRMeshDescriptorSetIndexCapacity
000000023d0eec98 (__TEXT,__text) external _DRMeshDescriptorSetIndexType
000000023d0eecc8 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeCount
000000023d0eeea0 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeFormat
000000023d0eec20 (__TEXT,__text) external _DRMeshDescriptorSetVertexBufferCount
