                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
000000027f378cb8 (__TEXT,__text) non-external _sbuf_extend
000000027f378de0 (__TEXT,__text) non-external _sbuf_put_byte
000000027f3789c8 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
000000027f378998 (__TEXT,__text) external _usbuf_bcat
000000027f378abc (__TEXT,__text) external _usbuf_bcpy
000000027f378b04 (__TEXT,__text) external _usbuf_cat
000000027f378854 (__TEXT,__text) external _usbuf_clear
000000027f378828 (__TEXT,__text) external _usbuf_clear_flags
000000027f378898 (__TEXT,__text) external _usbuf_count_drain
000000027f378b4c (__TEXT,__text) external _usbuf_cpy
000000027f379030 (__TEXT,__text) external _usbuf_data
000000027f379060 (__TEXT,__text) external _usbuf_delete
000000027f3790c8 (__TEXT,__text) external _usbuf_done
000000027f3788b4 (__TEXT,__text) external _usbuf_drain
000000027f37910c (__TEXT,__text) external _usbuf_end_section
000000027f378f8c (__TEXT,__text) external _usbuf_error
000000027f378f94 (__TEXT,__text) external _usbuf_finish
000000027f378820 (__TEXT,__text) external _usbuf_get_flags
000000027f3784b8 (__TEXT,__text) external _usbuf_hexdump
000000027f379038 (__TEXT,__text) external _usbuf_len
000000027f378710 (__TEXT,__text) external _usbuf_new
000000027f378e84 (__TEXT,__text) external _usbuf_nl_terminate
000000027f378d80 (__TEXT,__text) external _usbuf_printf
000000027f3786b4 (__TEXT,__text) external _usbuf_printf_drain
000000027f378684 (__TEXT,__text) external _usbuf_putbuf
000000027f378dac (__TEXT,__text) external _usbuf_putc
000000027f3788ac (__TEXT,__text) external _usbuf_set_drain
000000027f378840 (__TEXT,__text) external _usbuf_set_flags
000000027f378870 (__TEXT,__text) external _usbuf_setpos
000000027f3790d4 (__TEXT,__text) external _usbuf_start_section
000000027f378ee4 (__TEXT,__text) external _usbuf_trim
000000027f378bac (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
