00007ff80dab0dc0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80dab18c0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff80dab13c0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff80dab0ec0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff80dab17c0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff80dab12c0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80daac390 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80daac3b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80da9efa7 (__TEXT,__text) non-external _active_outbound_item_reset
00007ff80daa3d84 (__TEXT,__text) non-external _add_hd_table_incremental
00007ff80daa778f (__TEXT,__text) non-external _bubble_down
00007ff80daa772f (__TEXT,__text) non-external _bubble_up
00007ff80da9eecf (__TEXT,__text) non-external _buf_chain_new
00007ff80daa880a (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _calloc (from libSystem)
00007ff80da9ed4d (__TEXT,__text) non-external _default_calloc
00007ff80da9f123 (__TEXT,__text) non-external _default_free
00007ff80da9edf9 (__TEXT,__text) non-external _default_malloc
00007ff80da9ef97 (__TEXT,__text) non-external _default_realloc
00007ff80daa4085 (__TEXT,__text) non-external _emit_newname_block
00007ff80daa39e8 (__TEXT,__text) non-external _emit_string
00007ff80daa66f9 (__TEXT,__text) non-external _emit_table_size
00007ff80daaa166 (__TEXT,__text) non-external _find_stream_on_goaway_func
00007ff80daa412d (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff80daaa8df (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff80daa659f (__TEXT,__text) non-external _hd_context_free
00007ff80daa499f (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff80daa7612 (__TEXT,__text) non-external _hd_get_table_entry
00007ff80daa59f8 (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff80daa5abb (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff80daa5908 (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff80daa57dc (__TEXT,__text) non-external _hd_inflate_read_len
00007ff80daa6605 (__TEXT,__text) non-external _hd_ringbuf_get
00007ff80daacd70 (__TEXT,__const) non-external _huff_decode_table
