                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff813565225 (__TEXT,__text) external ___cmph_dump
00007ff813565281 (__TEXT,__text) external ___cmph_load
00007ff81356521b (__TEXT,__text) external ___config_destroy
00007ff8135651dc (__TEXT,__text) external ___config_new
00007ff813568035 (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff81355b5a5 (__TEXT,__text) external _bdz_config_destroy
00007ff81355b568 (__TEXT,__text) external _bdz_config_new
00007ff81355b5b3 (__TEXT,__text) external _bdz_config_set_b
00007ff81355b5ce (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff81355c575 (__TEXT,__text) external _bdz_destroy
00007ff81355c14b (__TEXT,__text) external _bdz_dump
00007ff81355c840 (__TEXT,__text) non-external _bdz_dump_graph
00007ff81355c292 (__TEXT,__text) external _bdz_load
00007ff813569ca0 (__TEXT,__const) external _bdz_lookup_table
00007ff81355b5e2 (__TEXT,__text) external _bdz_new
00007ff813568fe2 (__TEXT,__text) non-external _bdz_new.cold.1
00007ff81355c5b2 (__TEXT,__text) external _bdz_pack
00007ff81355c658 (__TEXT,__text) external _bdz_packed_size
00007ff81355c8f9 (__TEXT,__text) external _bdz_ph_config_destroy
00007ff81355c8cb (__TEXT,__text) external _bdz_ph_config_new
00007ff813569012 (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff81355c907 (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff81355d653 (__TEXT,__text) external _bdz_ph_destroy
00007ff81355d345 (__TEXT,__text) external _bdz_ph_dump
00007ff81355d878 (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff81355d431 (__TEXT,__text) external _bdz_ph_load
00007ff81355c91a (__TEXT,__text) external _bdz_ph_new
00007ff813569035 (__TEXT,__text) non-external _bdz_ph_new.cold.1
00007ff81355d687 (__TEXT,__text) external _bdz_ph_pack
00007ff81355d6fd (__TEXT,__text) external _bdz_ph_packed_size
00007ff81355d553 (__TEXT,__text) external _bdz_ph_search
00007ff81355d73e (__TEXT,__text) external _bdz_ph_search_packed
00007ff81355c42a (__TEXT,__text) external _bdz_search
00007ff81355c69f (__TEXT,__text) external _bdz_search_packed
00007ff813569da0 (__TEXT,__const) non-external _bitmask
00007ff813569dc0 (__TEXT,__const) non-external _bitmask
00007ff81356a2f0 (__TEXT,__const) non-external _bitmask
