                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
000000020cbc9340 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000020cbc9dbc (__TEXT,__const) external _libopenpam
000000020cbc9860 (__TEXT,__text) external _misc_conv
000000020cbc956c (__TEXT,__text) external _pam_acct_mgmt
000000020cbc9474 (__TEXT,__text) external _pam_authenticate
000000020cbc95e8 (__TEXT,__text) external _pam_chauthtok
000000020cbc96e0 (__TEXT,__text) external _pam_close_session
000000020cbc9400 (__TEXT,__text) external _pam_end
000000020cbc9aa8 (__TEXT,__text) external _pam_get_data
000000020cbc97dc (__TEXT,__text) external _pam_get_item
000000020cbc9cd8 (__TEXT,__text) external _pam_get_pass
000000020cbc9bb8 (__TEXT,__text) external _pam_get_user
000000020cbc99d0 (__TEXT,__text) external _pam_getenv
000000020cbc9a40 (__TEXT,__text) external _pam_getenvlist
000000020cbc9668 (__TEXT,__text) external _pam_open_session
000000020cbc9c3c (__TEXT,__text) external _pam_prompt
000000020cbc995c (__TEXT,__text) external _pam_putenv
000000020cbc9b2c (__TEXT,__text) external _pam_set_data
000000020cbc9758 (__TEXT,__text) external _pam_set_item
000000020cbc94f0 (__TEXT,__text) external _pam_setcred
000000020cbc9374 (__TEXT,__text) external _pam_start
000000020cbc98ec (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
000000020cbc92e0 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
000000020cbc92f0 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000020cbc933c (__TEXT,__text) external _xlate_pam_shim_item_type
000000020cbc9318 (__TEXT,__text) external _xlate_pam_shim_retval
000000020cbc9304 (__TEXT,__text) external _xlate_pam_shim_session_flags
000000020cbc9310 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
