000000019fc65600 (__TEXT,__text) non-external +[AMFI isAvailable]
000000019fc65624 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
000000019fc588d0 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
000000019fc58a78 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
000000019fc658e0 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
000000019fc68430 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
000000019fc684b8 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
000000019fc65c1c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
000000019fc59244 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
000000019fc5f490 (__TEXT,__text) non-external +[MIS currentDeviceID]
000000019fc5f528 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
000000019fc5faf8 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
000000019fc67a88 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
000000019fc67abc (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
000000019fc5f468 (__TEXT,__text) non-external +[MIS isAvailable]
000000019fc5f9f4 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
000000019fc67a20 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
000000019fc67a54 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
000000019fc5f930 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
000000019fc679ec (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
000000019fc5f6fc (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
000000019fc678bc (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
000000019fc67928 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
000000019fc6795c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
000000019fc67990 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
000000019fc5fd40 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
000000019fc67bf4 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
000000019fc67c74 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
000000019fc5fc08 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
000000019fc67b18 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
000000019fc67b98 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
000000019fc64798 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
000000019fc680e0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
000000019fc6813c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
000000019fc5a73c (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
000000019fc5a884 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
000000019fc58c9c (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
000000019fc540c8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
000000019fc660fc (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
000000019fc53dd4 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
000000019fc5ef8c (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
000000019fc5afe8 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
000000019fc5248c (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
000000019fc5a1ac (__TEXT,__text) non-external +[SPLog exec]
000000019fc5a504 (__TEXT,__text) non-external +[SPLog generateSignpostID]
000000019fc5a074 (__TEXT,__text) non-external +[SPLog generic]
000000019fc5a110 (__TEXT,__text) non-external +[SPLog kext]
000000019fc5a248 (__TEXT,__text) non-external +[SPLog measurements]
000000019fc5a4f8 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
000000019fc5a2e4 (__TEXT,__text) non-external +[SPLog signposts]
000000019fc5a380 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
000000019fc6219c (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
