                 (undefined) external _free (from libSystem)
00000000000012c7 (__TEXT,__text) external _hv_vcpu_create
00000000000012f4 (__TEXT,__text) external _hv_vcpu_destroy
0000000000001366 (__TEXT,__text) external _hv_vcpu_enable_native_msr
00000000000013a5 (__TEXT,__text) external _hv_vcpu_flush
00000000000013e3 (__TEXT,__text) external _hv_vcpu_get_exec_time
00000000000013d1 (__TEXT,__text) external _hv_vcpu_interrupt
00000000000013b0 (__TEXT,__text) external _hv_vcpu_invalidate_tlb
0000000000001324 (__TEXT,__text) external _hv_vcpu_read_fpstate
0000000000001391 (__TEXT,__text) external _hv_vcpu_read_msr
0000000000001310 (__TEXT,__text) external _hv_vcpu_read_register
00000000000013c2 (__TEXT,__text) external _hv_vcpu_run
0000000000001331 (__TEXT,__text) external _hv_vcpu_write_fpstate
000000000000139b (__TEXT,__text) external _hv_vcpu_write_msr
000000000000131a (__TEXT,__text) external _hv_vcpu_write_register
00000000000011d8 (__TEXT,__text) external _hv_vm_create
00000000000011ef (__TEXT,__text) external _hv_vm_destroy
0000000000001231 (__TEXT,__text) external _hv_vm_map
0000000000001283 (__TEXT,__text) external _hv_vm_protect
00000000000012af (__TEXT,__text) external _hv_vm_sync_tsc
0000000000001259 (__TEXT,__text) external _hv_vm_unmap
00000000000018f5 (__TEXT,__text) external _hv_vmx_read_capability
00000000000019aa (__TEXT,__text) external _hv_vmx_vcpu_create
0000000000001a2d (__TEXT,__text) external _hv_vmx_vcpu_destroy
00000000000015ab (__TEXT,__text) external _hv_vmx_vcpu_enable_native_msr
0000000000001990 (__TEXT,__text) external _hv_vmx_vcpu_flush
0000000000001acb (__TEXT,__text) external _hv_vmx_vcpu_get_exec_time
000000000000197e (__TEXT,__text) external _hv_vmx_vcpu_invalidate_tlb
0000000000001541 (__TEXT,__text) external _hv_vmx_vcpu_read_fpstate
00000000000016bc (__TEXT,__text) external _hv_vmx_vcpu_read_msr
0000000000001403 (__TEXT,__text) external _hv_vmx_vcpu_read_register
0000000000001870 (__TEXT,__text) external _hv_vmx_vcpu_read_vmcs
000000000000199b (__TEXT,__text) external _hv_vmx_vcpu_run
000000000000196c (__TEXT,__text) external _hv_vmx_vcpu_set_apic_address
0000000000001576 (__TEXT,__text) external _hv_vmx_vcpu_write_fpstate
000000000000178e (__TEXT,__text) external _hv_vmx_vcpu_write_msr
00000000000014b5 (__TEXT,__text) external _hv_vmx_vcpu_write_register
000000000000188a (__TEXT,__text) external _hv_vmx_vcpu_write_vmcs
0000000000001a33 (__TEXT,__text) external _hv_vmx_vm_create
0000000000001aa9 (__TEXT,__text) external _hv_vmx_vm_destroy
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000000000015d6 (__TEXT,__text) non-external _msr_addr_to_id
0000000000001b30 (__TEXT,__const) non-external _register_lut
0000000000005028 (__DATA,__bss) non-external _vcpu
0000000000005030 (__DATA,__bss) non-external _vcpu_interface_info
0000000000001456 (__TEXT,__text) non-external _vcpu_read_vmcs_id
00000000000050a0 (__DATA,__bss) non-external _vcpu_ro_interface
0000000000005098 (__DATA,__bss) non-external _vcpu_rw_interface
0000000000001b70 (__TEXT,__const) non-external _vmcs_lut
                 (undefined) external dyld_stub_binder (from libSystem)
