                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff8152fadbd (__TEXT,__text) external _pcre_assign_jit_stack
00007ff8428e2580 (__DATA,__common) external _pcre_callout
00007ff8152d72a3 (__TEXT,__text) external _pcre_compile
00007ff8152d72b8 (__TEXT,__text) external _pcre_compile2
00007ff8152e1b2c (__TEXT,__text) external _pcre_config
00007ff8152fab06 (__TEXT,__text) external _pcre_copy_named_substring
00007ff8152faaac (__TEXT,__text) external _pcre_copy_substring
00007ff8152e1bd0 (__TEXT,__text) external _pcre_dfa_exec
00007ff8152e9560 (__TEXT,__text) external _pcre_exec
00007ff8428e2568 (__DATA,__data) external _pcre_free
00007ff8152fca28 (__TEXT,__text) external _pcre_free_study
00007ff8152fada1 (__TEXT,__text) external _pcre_free_substring
00007ff8152facbc (__TEXT,__text) external _pcre_free_substring_list
00007ff8152fa56c (__TEXT,__text) external _pcre_fullinfo
00007ff8152fad5a (__TEXT,__text) external _pcre_get_named_substring
00007ff8152fa800 (__TEXT,__text) external _pcre_get_stringnumber
00007ff8152fa8f1 (__TEXT,__text) external _pcre_get_stringtable_entries
00007ff8152facca (__TEXT,__text) external _pcre_get_substring
00007ff8152fabdc (__TEXT,__text) external _pcre_get_substring_list
00007ff8152fadc3 (__TEXT,__text) external _pcre_jit_free_unused_memory
00007ff8152fadaf (__TEXT,__text) external _pcre_jit_stack_alloc
00007ff8152fadb7 (__TEXT,__text) external _pcre_jit_stack_free
00007ff8152fadc9 (__TEXT,__text) external _pcre_maketables
00007ff8428e2560 (__DATA,__data) external _pcre_malloc
00007ff8152d7090 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00007ff8152fb583 (__TEXT,__text) external _pcre_refcount
00007ff8428e2578 (__DATA,__data) external _pcre_stack_free
00007ff8428e2588 (__DATA,__common) external _pcre_stack_guard
00007ff8428e2570 (__DATA,__data) external _pcre_stack_malloc
00007ff8152fb5d4 (__TEXT,__text) external _pcre_study
00007ff8152fcf94 (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
