000000019dcd25d0 (__TEXT,__text) non-external +[Calculate _lock]
000000019dcd26d4 (__TEXT,__text) non-external +[Calculate _resetGlobals]
000000019dcd2578 (__TEXT,__text) non-external +[Calculate _unlock]
000000019dcc5ef0 (__TEXT,__text) non-external +[Calculate evaluate:options:]
000000019dcc66dc (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
000000019dcc5f44 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
000000019dcc6648 (__TEXT,__text) non-external +[CalculateRequest _lock]
000000019dcc663c (__TEXT,__text) non-external +[CalculateRequest _unlock]
000000019dcc65a4 (__TEXT,__text) non-external +[CalculateRequest serialQueue]
000000019dcd23f4 (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
000000019dcd24ac (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
000000019dcd1ea0 (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
000000019dcd1f74 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
000000019dccdd40 (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
000000019dcd2d78 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
000000019dcd6424 (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
000000019dcd64b4 (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
000000019dcd1428 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
000000019dcdb1d4 (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
000000019dcdb234 (__TEXT,__text) non-external +[Converter dispatchQueue]
000000019dcdb2d0 (__TEXT,__text) non-external +[Converter initialize]
000000019dcdb18c (__TEXT,__text) non-external +[Converter needsRefresh]
000000019dcdb0fc (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
000000019dcdb144 (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
000000019dcb0550 (__TEXT,__text) non-external +[CurrencyCache shared]
000000019dcc250c (__TEXT,__text) non-external +[Localize availableLocaleNames]
000000019dcc2118 (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
000000019dcc23d4 (__TEXT,__text) non-external +[Localize localizationForLocale:]
000000019dcc2038 (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
000000019dcc1f98 (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
000000019dcc256c (__TEXT,__text) non-external +[Localize mainBundle]
000000019dcc2734 (__TEXT,__text) non-external +[Localize systemLocale]
000000019dcc25ac (__TEXT,__text) non-external +[Localize systemLocales]
000000019dcc5d5c (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
000000019dcc54ac (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
000000019dcc3068 (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
000000019dcc50e4 (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
000000019dcc5084 (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
000000019dcc60a4 (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
000000019dcc6234 (__TEXT,__text) non-external -[CalculateRequest cancel]
000000019dcc6154 (__TEXT,__text) non-external -[CalculateRequest expression]
000000019dcc615c (__TEXT,__text) non-external -[CalculateRequest finish]
000000019dcc6118 (__TEXT,__text) non-external -[CalculateRequest isCanceled]
000000019dcc6140 (__TEXT,__text) non-external -[CalculateRequest options]
000000019dcc6108 (__TEXT,__text) non-external -[CalculateRequest resultHandler]
000000019dcc612c (__TEXT,__text) non-external -[CalculateRequest result]
000000019dcc6148 (__TEXT,__text) non-external -[CalculateRequest setExpression:]
000000019dcc6110 (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
000000019dcc6134 (__TEXT,__text) non-external -[CalculateRequest setOptions:]
000000019dcc6120 (__TEXT,__text) non-external -[CalculateRequest setResult:]
000000019dcc6100 (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
